ID,gene,dbeta,feature,cluster
cg01268859,A4GALT,-0.0823573724203568,TSS1500,4
cg20781461,ADAM11,-0.0828971355635725,TSS1500,2
cg05029189,ADCY5,-0.1201138532608817,TSS1500,2
cg02893180,ADM2,-0.0809427557583387,TSS1500,4
cg05963618,ADRA1B,-0.0998773092524003,TSS1500,4
cg24952075,ADRA1D,-0.0876015321704288,TSS1500,2
cg05387519,AGBL4,-0.0917379064732217,TSS200,3
cg24255896,AGXT2L1,-0.1002077034596983,TSS200,3
cg02781660,ALDH1A2,-0.085049224902723,TSS1500,3
cg07034362,ALDH1L1,-0.0908353024309138,TSS200,3
cg07162257,ALPL,-0.0854061306934994,TSS200,4
cg12209743,ANKRD6,-0.0960821761816251,TSS200,3
cg22216413,ANO3,-0.0843082901815458,TSS200,2
cg12784598,ANTXR1,-0.0940242211703182,TSS1500,2
cg06805557,APBB1,-0.084717475488715,TSS1500,3
cg16970232,APC,-0.1757470356613117,TSS200,3
cg27560922,ARHGDIG,-0.0974934782037962,TSS1500,2
cg08725962,ARL10,-0.0906932563891339,TSS200,4
cg00086670,AS3MT,-0.1036931375102141,TSS200,3
cg24935655,ATP13A5,0.0826115956307349,TSS1500,4
cg21591173,AUTS2,-0.1127559009084418,TSS1500,1
cg05445632,B3GAT1,-0.0917998544156293,TSS1500,4
cg00505979,BATF3,-0.0947497578139405,TSS1500,1
cg04389426,BNC2,-0.0921908691255836,TSS1500,1
cg05953927,BOC,-0.0969102868645625,TSS1500,2
cg25805482,C10orf128,0.0816420710132583,TSS1500,3
cg14835062,C12orf53,-0.0822603913537621,TSS200,2
cg02128087,C12orf68,-0.1104504921176092,TSS1500,3
cg10116794,C16orf5,-0.0886909505987378,TSS200,4
cg09695735,C17orf64,-0.1148779487535775,TSS1500,3
cg17376813,C19orf21,0.0814562438316154,TSS1500,2
cg23431851,C1orf190,-0.0872217892791697,TSS200,3
cg15863924,C20orf194,-0.0829813240463289,TSS200,3
cg14013195,C2orf39,-0.087962942468437,TSS200,2
cg24783642,C3orf55,-0.0819359109080589,TSS200,2
cg03797398,C4orf48,-0.1043994159348402,TSS1500,3
cg25770340,C6orf103,-0.0894254538762249,TSS200,3
cg14444140,C6orf145,-0.0861730113775514,TSS1500,4
cg26030713,C8orf45,-0.0947479692061833,TSS1500,4
cg13877315,C9orf167,-0.1161055867839637,TSS200,4
cg10373196,CA7,-0.0924977445941401,TSS200,3
cg26640370,CABP7,-0.0842426711002595,TSS1500,4
cg21482659,CACNA2D1,-0.0973540824916347,TSS1500,2
cg12609243,CACNA2D3,-0.0967705268579969,TSS1500,2
cg01151699,CACNG2,-0.0892938333754086,TSS1500,2
cg25836955,CBX6,-0.0864116129767,TSS1500,4
cg13423980,CCDC3,-0.080953923563013,TSS200,3
cg10995082,CCDC63,-0.0822750223036499,TSS200,3
cg13482209,CELSR3,-0.1201644832271648,TSS200,2
cg00282347,CHD5,-0.0943345582614067,TSS1500,1
cg21645164,CHFR,-0.1366426330527699,TSS200,4
cg09426197,CHST1,-0.1113226346058215,TSS200,4
cg04729562,CHSY3,-0.093461075293791,TSS1500,4
cg14186641,CNR1,-0.0863742445314798,TSS1500,2
cg02452416,COL11A2,-0.0907159927402746,TSS1500,4
cg20129242,COL12A1,-0.0874076572100538,TSS200,4
cg21665738,COL19A1,-0.0961608803642196,TSS200,4
cg12235144,COL2A1,-0.1023504885823697,TSS200,4
cg02177391,CORO2B,-0.0957555689286769,TSS1500,2
cg04568355,CORO6,-0.0813056390103516,TSS1500,2
cg16703647,CRABP1,-0.088500655031572,TSS200,4
cg21859434,CXCR4,-0.100669781298407,TSS1500,2
cg15574312,CYGB,-0.0977021886580972,TSS200,4
cg07057636,CYP1B1,-0.0916228881504153,TSS200,4
cg11034245,CYP26B1,-0.0906143326148883,TSS200,4
cg05412031,DGKZ,-0.0813163371903225,TSS200,4
cg02609127,DIO3,-0.0850804668871589,TSS1500,2
cg16438655,DOC2B,-0.0834398767726912,TSS200,2
cg10713073,DPYSL5,-0.0837646577173791,TSS200,2
cg09270675,DST,-0.0920460556300441,TSS200,4
cg08328777,DUOX1,-0.0838697040177376,TSS200,2
cg07732115,DYNLRB2,-0.0960669802798252,TSS1500,3
cg18851831,DYRK1B,-0.1014912732325298,TSS200,1
cg16317459,EBF1,-0.1131002088538583,TSS1500,1
cg00424572,EBF2,-0.0858155265365456,TSS1500,1
cg07045241,EBF3,-0.1007032094671631,TSS1500,1
cg18964582,EDARADD,0.0820592095366145,TSS1500,3
cg22657536,EDC3,-0.0883153122402157,TSS1500,3
cg14203118,EEF1D,-0.083875842800178,TSS1500,4
cg08653184,EFCAB6,-0.0876444831360091,TSS1500,3
cg02403180,EFEMP2,-0.0803507017866065,TSS200,4
cg16450309,EIF5A2,0.0881237537668788,TSS1500,4
cg02344943,EMB,0.0868652969615156,TSS200,2
cg22349573,EMILIN2,-0.0889114521164912,TSS200,4
cg23772205,EN2,-0.0952631914508622,TSS1500,1
cg20637307,ERBB4,-0.0815143639886577,TSS1500,4
cg16637178,ESYT3,-0.0898090697473702,TSS200,2
cg07800384,FAM150B,-0.0954985355851691,TSS1500,4
cg09551776,FAM176A,-0.1156151940951511,TSS200,2
cg23891286,FAM20B,0.0943297920186636,TSS1500,4
cg06636971,FAM65B,-0.1044508794086245,TSS1500,2
cg18820209,FAM69C,-0.0863289440425136,TSS200,4
cg12998491,FAM78A,-0.0846313175757154,TSS1500,4
cg17276118,FAT3,0.0846866722358318,TSS1500,2
cg00990763,FAT4,-0.1210895783513553,TSS1500,2
cg26561148,FBXL2,-0.1199559439511838,TSS200,2
cg03310242,FKBP4,-0.080296427638075,TSS1500,3
cg03247926,FLT1,-0.0978834169776111,TSS1500,4
cg25224094,FOXB1,-0.0841511855646601,TSS200,1
cg12690148,FOXD3,-0.1032523350355968,TSS1500,1
cg12611423,FOXF2,-0.0833447860929672,TSS200,1
cg22800400,FRMD6,0.0833166076061005,TSS1500,2
cg13355047,FSD1,-0.0859512033336331,TSS200,2
cg00586365,FSTL4,-0.1291891982052522,TSS200,4
cg02566518,FUT11,-0.0854554234755358,TSS200,4
cg23307385,FUZ,-0.089297422769253,TSS200,3
cg04661674,GABBR1,-0.0891414280572316,TSS1500,4
cg12603576,GAL,-0.0948132518083548,TSS200,4
cg05049361,GALNTL1,-0.1072419147403598,TSS200,4
cg02377685,GBX1,-0.0933041637457676,TSS200,1
cg07966910,GDF7,-0.0925467490752688,TSS200,4
cg14072903,GFRA2,-0.0871893917927396,TSS1500,2
cg08217227,GHR,-0.0899418975531963,TSS1500,2
cg26226487,GK2,0.0828515186530465,TSS200,4
cg09867835,GLP1R,-0.0929274452162312,TSS1500,2
