ID,gene,dbeta,feature
cg10734734,A1BG,0.005826321165804841,Body
cg05107500,A2BP1,0.041204160371113546,5'UTR
cg17902007,A2LD1,0.014748604499490892,5'UTR
cg08300930,A2M,-0.002666826962465656,Body
cg15384867,A2ML1,-0.004120059406985278,Body
cg05727648,A4GALT,0.03343677837882358,TSS1500
cg02299189,AAAS,-0.0214130127955347,1stExon
cg06987292,AACS,0.04966561423010671,Body
cg04196933,AACSL,-0.011527909132817322,Body
cg04505750,AADACL3,-0.014224494498912868,TSS1500
cg11157076,AADACL4,0.02205659096612361,TSS1500
cg14239811,AADAT,0.021949696266554054,TSS1500
cg01850785,AAK1,-0.028624190544854385,Body
cg04424379,AARS,0.010857389621015024,TSS200
cg04911280,AARS2,0.03689695785228365,TSS200
cg16143763,AARSD1,0.019513665529193612,Body
cg23250374,AASDH,-0.016113077606747014,5'UTR
cg02453779,AASDHPPT,0.03344895077830716,1stExon
cg03286969,AASS,0.02031524131266718,5'UTR
cg12740148,AATF,-0.0022459618958394338,TSS200
cg26729669,AATK,0.04922622236970099,Body
cg09489090,ABAT,0.013197138924904914,1stExon
cg14630985,ABCA1,0.018483046853222572,5'UTR
cg22872778,ABCA13,0.03477834316578879,Body
cg06979342,ABCA17P,0.0869812984505086,Body
cg14173587,ABCA2,-0.015759595702412643,Body
cg10154010,ABCA3,0.03432908465890289,3'UTR
cg12869058,ABCA4,0.03529560188020631,TSS1500
cg24971957,ABCA5,0.00266898027325067,5'UTR
cg02807077,ABCA7,0.0339091129748074,Body
cg15759056,ABCB1,0.002445913732508067,5'UTR
cg05552534,ABCB10,0.020153258253070433,Body
cg13338827,ABCB4,0.1003206472678807,5'UTR
cg19964303,ABCB6,0.014913581480017092,Body
cg23719549,ABCB8,-0.02160378212141473,Body
cg03328639,ABCB9,0.008983495623819988,5'UTR
cg05774166,ABCC1,0.03305896706962203,Body
cg04098547,ABCC12,-0.0057251896635071246,Body
cg12162424,ABCC13,0.00891823545115277,Body
cg19378330,ABCC2,0.004597610525813914,Body
cg13725958,ABCC3,-0.03816606477248857,5'UTR
cg25868675,ABCC4,-0.019303797423577945,Body
cg09623457,ABCC5,0.04842361016153083,1stExon
cg03181582,ABCC8,0.05097725110607325,TSS200
cg11237362,ABCD3,-0.013536107518555994,Body
cg10504545,ABCD4,0.0054702462796806595,TSS200
cg19065314,ABCE1,0.010747308792509076,5'UTR
cg05936555,ABCF1,0.027075671040635726,Body
cg25404069,ABCF2,-0.03929340259003716,TSS1500
cg06686306,ABCF3,0.015080670892890884,TSS200
cg05441651,ABCG1,0.05727987112542395,TSS1500
cg25223263,ABCG4,0.03428536057713081,TSS200
cg04221886,ABCG5,0.036311917548488504,Body
cg20926720,ABCG8,0.01946432400629043,TSS1500
cg26945050,ABHD1,-0.019646845413139106,TSS1500
cg13422008,ABHD10,-0.004644358072097429,TSS200
cg20033401,ABHD11,0.006120516311859446,Body
cg12533599,ABHD12,0.023734187764774175,TSS200
cg01270593,ABHD12B,0.004334132141822701,5'UTR
cg27040463,ABHD13,0.0496953674737326,5'UTR
cg04210566,ABHD14A,0.001690303030616124,Body
cg09254361,ABHD14B,-0.01177281167380147,1stExon
cg03739177,ABHD15,-0.015445510966566791,Body
cg04788288,ABHD2,0.023534697790664375,TSS1500
cg13628146,ABHD3,0.040215233122424476,TSS200
cg22792063,ABHD4,-0.030324585744023635,Body
cg12832630,ABHD5,0.03441439684033849,TSS200
cg05421946,ABHD6,0.014570315521953382,1stExon
cg14935078,ABHD8,0.04420004899870892,TSS200
cg20151668,ABI1,-0.01878836481283,TSS200
cg04836792,ABI2,0.036126412577328494,TSS1500
cg26334023,ABI3,-0.03586092299103566,TSS200
cg14205952,ABL1,-0.012210589189654092,TSS1500
cg04691540,ABL2,-0.026745076631846103,1stExon
cg27008230,ABLIM1,-0.011157668607197045,Body
cg03081615,ABLIM2,0.03819315031192188,Body
cg25326776,ABLIM3,0.05335800946495211,TSS200
cg21160290,ABO,-0.016824206384076838,Body
cg27573031,ABP1,0.008281587999443271,Body
cg11409361,ABR,0.06157517050318603,Body
cg24006936,ABT1,-0.009236096089314508,TSS200
cg00992117,ABTB1,-0.02447530487274832,TSS200
cg24458825,ABTB2,-0.018484710517094334,3'UTR
cg25525163,ACAA1,0.024800574477123305,TSS200
cg17939040,ACACA,0.02793030246678839,Body
cg16188537,ACACB,0.030895166210060117,3'UTR
cg07645393,ACAD10,0.00978365069586051,TSS1500
cg20307448,ACAD8,-0.026765294619929866,Body
cg04726800,ACAD9,0.027780246227337387,TSS200
cg04529066,ACADL,0.00408090544088026,5'UTR
cg18395777,ACADM,-0.023684574166189003,TSS200
cg14666369,ACADS,0.023439633902360594,Body
cg13648088,ACADSB,0.002765750167654656,1stExon
cg08505076,ACADVL,-0.007607379167131276,TSS1500
cg17057098,ACAN,0.04160779668623759,Body
cg11047049,ACAP2,-0.005428407884807923,TSS200
cg09556527,ACAP3,0.03808616228810122,Body
cg05973813,ACAT1,0.018232738664771347,TSS200
cg24683514,ACAT2,0.004476085886464702,5'UTR
cg04210991,ACBD3,0.034253072809266344,TSS200
cg20878190,ACBD4,0.007500532173148742,5'UTR
cg06185924,ACBD5,0.03650553949687212,5'UTR
cg04852103,ACBD6,0.026812478485216805,1stExon
cg01316983,ACBD7,0.00652829069964921,Body
cg24613080,ACCN1,0.059163824421738585,TSS1500
cg21669272,ACCN2,-0.016900055228148806,TSS200
cg01901107,ACCN3,-0.011534788740358626,Body
cg04255268,ACCN4,0.0535992472292115,Body
cg03856109,ACCS,0.0185977262151851,TSS200
cg08834429,ACD,0.015163557914918928,TSS200
cg01489398,ACE,0.03357071226558586,Body
cg06759328,ACER3,0.01523017140363459,Body
cg21962765,ACHE,0.05935459340608286,Body
cg00867446,ACIN1,-1.1416140204999329e-05,5'UTR
cg19443920,ACLY,-0.006394979501112382,TSS1500
cg10125443,ACN9,0.028418024212773327,1stExon
cg14237843,ACO1,0.003046490963579715,TSS200
cg21527621,ACOT11,0.03466345972348548,TSS1500
cg09247949,ACOT13,-0.02870071224955099,TSS200
cg18324862,ACOT7,-0.04216441428664917,Body
cg05202720,ACOT8,0.0009151782263153575,1stExon
cg19652678,ACOX1,0.030931496889555946,1stExon
cg18999185,ACOX3,0.044933014779032346,Body
cg12142521,ACOXL,0.0034133019321503596,5'UTR
cg19372772,ACP1,-0.020960387651170267,1stExon
cg04566159,ACP5,-0.03327014234963669,TSS1500
cg09264377,ACP6,0.06667700095937044,TSS1500
cg22251124,ACPL2,-0.01898179912530276,TSS200
cg06619706,ACPT,0.023018757610035735,TSS200
cg08423507,ACR,0.019164472824612772,Body
cg10282807,ACRBP,-0.01596856154561497,1stExon
cg02119938,ACSBG1,0.005248832222714351,Body
cg23674344,ACSF2,0.010677986463833543,TSS1500
cg26548542,ACSF3,0.05244918043087393,Body
cg22779802,ACSL1,-0.020278744212740115,5'UTR
cg08726005,ACSL3,0.00886081485936029,5'UTR
cg03271650,ACSL5,0.004777154612998766,TSS200
cg19096799,ACSL6,0.02490323067879241,Body
cg21132536,ACSS2,0.015314954891054205,Body
cg25971727,ACSS3,-0.028129427642229886,TSS1500
cg05347845,ACTA1,0.013179650693792897,TSS200
cg15356195,ACTB,0.023904732588738712,5'UTR
cg17242351,ACTC1,0.027282453724586046,Body
cg05984533,ACTG1,0.04789056538357808,5'UTR
cg08572611,ACTL6B,0.028043387347374788,Body
cg14480594,ACTL7A,0.008942624451976017,1stExon
cg13728285,ACTL7B,-0.027448441848523533,1stExon
cg02772379,ACTL8,0.023244041217464158,Body
cg02825211,ACTL9,0.02562716066564848,1stExon
cg18655522,ACTN1,0.023187638280264534,Body
cg06177278,ACTN2,0.06240575534094635,TSS1500
cg20648847,ACTN3,0.025904840600007237,Body
cg13711528,ACTN4,0.06205777939512575,TSS200
cg16006015,ACTR1A,0.05893603695246965,1stExon
cg11826338,ACTR1B,0.011443484206545375,Body
cg15811753,ACTR2,0.07661200388580115,TSS200
cg14373499,ACTR3,0.03082157243423587,TSS1500
cg11078175,ACTR3B,-0.004084385275432172,Body
cg11347411,ACTR3C,-0.011042611401656537,TSS200
cg08630055,ACTR6,-0.00995242265293743,TSS1500
cg06035161,ACTR8,-0.029559751538438865,Body
cg14365123,ACTRT2,-0.027944681041254964,1stExon
cg02089380,ACVR1,-0.005204763477878601,TSS1500
cg13401811,ACVR1B,0.03889957924019662,Body
cg19617792,ACVR1C,0.03988387442337467,TSS200
cg06120425,ACVR2A,-0.03641031642844674,TSS1500
cg20707780,ACVRL1,-0.010025218587279873,TSS200
cg18509826,ACY1,-0.004381665012384872,TSS200
cg12355172,ACY3,0.02691075697867008,TSS200
cg23093902,ACYP1,-0.009861230222587556,5'UTR
cg04153092,ACYP2,0.004068187223309943,1stExon
cg22316575,ADA,0.003272619266617063,3'UTR
cg10668096,ADAD1,0.039309119119634146,5'UTR
cg04497927,ADAD2,-0.04584163561392118,1stExon
cg20114781,ADAL,0.014983656931634157,TSS1500
cg26002784,ADAM11,0.01738188398450092,TSS1500
cg14621053,ADAM12,-0.017354447641718566,TSS200
cg03379131,ADAM15,0.04101459346975478,Body
cg01822537,ADAM17,0.005846286649908396,TSS200
cg21463869,ADAM18,0.004067692691725308,TSS200
cg23851860,ADAM19,0.03717802327429777,TSS200
cg11186850,ADAM2,0.015442932342191008,TSS200
cg08761693,ADAM22,-0.05706072271524932,TSS200
cg07319626,ADAM23,-0.028216121437125073,TSS200
cg03852045,ADAM30,-0.029797209208451095,TSS1500
cg22848598,ADAM32,0.0025443587643005023,TSS200
cg00539386,ADAM33,0.034231127449954275,Body
cg14742937,ADAM5P,0.023351602049565916,TSS200
cg25526061,ADAM8,-0.027950664654593345,Body
cg13064004,ADAM9,0.0069539739882648706,TSS200
cg24262066,ADAMTS1,-0.012257422938720869,1stExon
cg16191088,ADAMTS10,0.03761305665371301,Body
cg14206140,ADAMTS13,0.012297086120522084,Body
cg10975049,ADAMTS14,0.011868548671527526,TSS200
cg02484111,ADAMTS15,0.026745239439065073,TSS1500
cg04136610,ADAMTS16,0.0649662715425145,TSS1500
cg12954230,ADAMTS17,0.025466961944888164,TSS200
cg05178576,ADAMTS18,-0.022869114608768774,Body
cg20413471,ADAMTS19,0.024654758850888744,TSS200
cg23219282,ADAMTS2,0.05481200331452195,Body
cg19619405,ADAMTS20,0.036113097484763414,TSS200
cg18123319,ADAMTS3,0.02871851195447377,Body
cg02800810,ADAMTS5,-0.024258815902926258,TSS1500
cg10944144,ADAMTS6,0.012478409247908974,TSS200
cg20246113,ADAMTS7,-0.02674294068715279,TSS1500
cg10521851,ADAMTS8,-0.02941710828605767,1stExon
cg01336855,ADAMTS9,0.03754207561863641,TSS1500
cg14523394,ADAMTSL1,-0.0027404152377049637,Body
