gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO
ACCN1,cg24613080,0.425215,TSS1500,cg24613080,0.495892,TSS1500
ADCY4,cg23179456,0.435473,TSS200,cg14287235,0.371151,TSS1500
ANGPTL2,cg08076018,0.493064,TSS200,cg08076018,0.357255,TSS200
BARHL2,cg11823511,0.46937,TSS1500,cg11823511,0.38699,TSS1500
C10orf82,cg10616411,-0.338526,TSS1500,cg10616411,-0.365882,TSS1500
C1orf114,cg08047907,0.57879,TSS200,cg00002719,0.598478,TSS200
C21orf130,cg20727124,-0.366451,TSS1500,cg20727124,-0.432326,TSS1500
C5orf20,cg13577149,-0.343601,TSS1500,cg02379427,-0.427789,TSS1500
C5orf49,cg11208222,-0.338445,TSS1500,cg11208222,-0.373017,TSS1500
C7orf16,cg23348723,-0.361982,TSS1500,cg23348723,-0.539379,TSS1500
CA3,cg18674980,0.474765,TSS1500,cg18674980,0.426991,TSS1500
CFTR,cg00735923,0.441361,TSS200,cg17204129,0.375479,TSS1500
CNTNAP5,cg08523865,0.377861,TSS1500,cg13358636,0.386061,TSS1500
DARC,cg10808936,-0.339345,TSS1500,cg10808936,-0.377169,TSS1500
DDIT4L,cg25071651,0.408939,TSS1500,cg25071651,0.402959,TSS1500
DEFB115,cg09968709,-0.347444,TSS200,cg09968709,-0.442533,TSS200
DLGAP2,cg12618806,-0.414992,TSS200,cg12618806,-0.42448,TSS200
DNM3,cg17154724,0.506686,TSS1500,cg17154724,0.513484,TSS1500
FCER1A,cg14696870,-0.402795,TSS1500,cg14696870,-0.42932,TSS1500
FGF8,cg06169131,0.385376,TSS1500,cg25209842,0.351491,TSS1500
GNG4,cg09649610,0.466214,TSS1500,cg17816394,0.378037,TSS1500
H2AFY,cg24628744,0.351973,TSS1500,cg15613420,0.35463,TSS1500
HCK,cg17508991,0.427096,TSS1500,cg17508991,0.364321,TSS1500
HIST1H1A,cg15741433,0.350211,TSS200,cg14652095,0.433057,TSS200
HOXA4,cg11015251,0.387014,TSS200,cg11015251,0.446787,TSS200
IGFBP6,cg06559575,0.330479,TSS1500,cg06559575,0.336192,TSS1500
KCNAB1,cg24926465,-0.392804,TSS1500,cg24926465,-0.354227,TSS1500
KCNJ16,cg13606025,-0.331209,TSS1500,cg13606025,-0.443383,TSS1500
KIR2DL4,cg24838349,-0.336448,TSS200,cg24838349,-0.36553,TSS200
LAMA4,cg11934419,0.378915,TSS200,cg18080303,0.378786,TSS1500
LEP,cg00840332,0.409954,TSS200,cg19594666,0.348903,TSS200
LILRA4,cg24755177,-0.358099,TSS1500,cg19802477,-0.395115,TSS200
LOC121952,cg10628699,0.346154,TSS1500,cg22954906,0.373508,TSS1500
LOC134466,cg05016408,0.442945,TSS200,cg05016408,0.368613,TSS200
LOC257358,cg00191458,-0.380538,TSS1500,cg00191458,-0.431736,TSS1500
LOC340094,cg13453847,-0.370166,TSS200,cg13453847,-0.560915,TSS200
LOC645323,cg12393318,0.390441,TSS1500,cg12393318,0.338343,TSS1500
LOC727677,cg04557423,-0.334396,TSS1500,cg05261028,-0.43958,TSS1500
LRP4,cg09242181,0.398577,TSS1500,cg09242181,0.33319,TSS1500
METTL11B,cg24488391,-0.331799,TSS1500,cg09168501,-0.360294,TSS1500
MIR1197,cg25562958,-0.344954,TSS1500,cg25562958,-0.367937,TSS1500
MIR129-2,cg14416371,0.433901,TSS200,cg01939477,0.381493,TSS200
MIR663,cg20395967,0.478297,TSS1500,cg20395967,0.396207,TSS1500
MIR921,cg24554839,-0.372236,TSS1500,cg24428232,-0.506688,TSS1500
MMP26,cg02940362,-0.333376,TSS1500,cg02940362,-0.355249,TSS1500
MRGPRD,cg16659728,-0.34882,TSS200,cg16659728,-0.354735,TSS200
NDRG2,cg18081258,0.415019,TSS1500,cg18081258,0.339536,TSS1500
NKX2-6,cg10603004,0.379308,TSS1500,cg22747746,0.357352,TSS1500
NPY,cg05158615,0.435315,TSS1500,cg05158615,0.3892,TSS1500
NUP62,cg04315771,0.330925,TSS1500,cg04315771,0.383339,TSS1500
OPCML,cg18710784,0.400523,TSS1500,cg22791045,-0.498539,TSS1500
OPN3,cg16013670,-0.395538,TSS1500,cg16013670,-0.387987,TSS1500
OR10J5,cg07037019,-0.369067,TSS1500,cg07037019,-0.376273,TSS1500
PA2G4P4,cg08651937,-0.360653,TSS1500,cg25738116,-0.362091,TSS1500
PAX3,cg15133719,0.389475,TSS200,cg15133719,0.336271,TSS200
PFN3,cg06847624,0.396583,TSS200,cg20095656,0.355081,TSS200
PRLHR,cg20624923,0.398181,TSS1500,cg02531437,0.336308,TSS200
PROM1,cg14736058,0.335848,TSS200,cg14736058,0.413056,TSS200
PTPRN,cg03970036,0.437315,TSS200,cg01382864,0.336526,TSS200
RASSF1,cg04540383,0.41769,TSS1500,cg27569446,0.364268,TSS200
RGS17,cg17264670,0.427119,TSS1500,cg17264670,0.407347,TSS1500
RGS22,cg24848035,0.431049,TSS200,cg23208513,0.404591,TSS200
RYR2,cg07790615,0.486151,TSS1500,cg07790615,0.404413,TSS1500
SBK2,cg02363969,-0.342166,TSS1500,cg00149708,-0.361927,TSS1500
SCT,cg25774643,0.36508,TSS200,cg25774643,0.351751,TSS200
SFRP2,cg05164933,0.406396,TSS200,cg22178613,0.357153,TSS1500
SIM1,cg27252696,0.502036,TSS1500,cg27252696,0.429985,TSS1500
SLC2A10,cg27610561,-0.338904,TSS1500,cg27610561,-0.354194,TSS1500
SLC2A2,cg14777768,0.507654,TSS1500,cg14777768,0.343715,TSS1500
SLC4A11,cg21304453,0.34456,TSS1500,cg21304453,0.345652,TSS1500
SNORD32B,cg06308109,-0.335581,TSS1500,cg06308109,-0.415692,TSS1500
SYN2,cg02700894,0.372651,TSS1500,cg20888142,0.379163,TSS200
TBX20,cg17985646,0.350569,TSS200,cg17985646,0.377164,TSS200
TFF1,cg02643667,-0.339369,TSS200,cg02643667,-0.388457,TSS200
TLX3,cg26517714,0.379876,TSS200,cg26844246,0.385307,TSS200
TMEM196,cg04111071,0.448579,TSS1500,cg06896909,0.354415,TSS1500
TRABD,cg11213574,0.367601,TSS1500,cg11213574,0.346504,TSS1500
USP44,cg07783282,0.402197,TSS1500,cg13879483,0.375165,TSS1500
WISP1,cg04683149,0.332799,TSS200,cg04683149,0.363411,TSS200
ZFP106,cg12492087,0.43234,TSS200,cg12492087,0.355716,TSS200
ZNF177,cg09578475,0.527141,TSS200,cg09578475,0.378758,TSS200
