ID,gene,dbeta,feature,methylation_level
cg00146928,A2M,0.0109103948027034,TSS1500,Hypo
cg11756734,A2ML1,0.0175937920202739,3'UTR,Hypo
cg13001012,AADAC,0.0143805521169842,TSS1500,Hypo
cg00309402,AADAT,0.017484466443249,3'UTR,Hypo
cg14699839,AANAT,0.0146436860558615,5'UTR,Hypo
cg11738782,AASS,0.0126987268525906,Body,Hypo
cg06604249,ABAT,0.0162795030094246,5'UTR,Hypo
cg02715407,ABCA3,0.0141663776735136,Body,Hypo
cg01437135,ABCA4,0.0161277684318922,Body,Hypo
cg01517431,ABCA9,0.0163392015072802,TSS1500,Hypo
cg21346679,ABCB11,0.0134104395802504,TSS1500,Hypo
cg06716437,ABCB6,-0.0103217546470068,TSS1500,Hyper
cg00649632,ABCC1,0.0139767926460252,Body,Hypo
cg25274975,ABCC11,0.0163903069112681,TSS200,Hypo
cg05914069,ABCC2,0.0109132310270179,TSS1500,Hypo
cg18312989,ABCC3,0.0183273347366963,Body,Hypo
cg18016288,ABCC4,0.0110602680807959,Body,Hypo
cg13792075,ABCC5,-0.0107976043897624,TSS200,Hyper
cg07965331,ABCC6,0.0142409140372826,Body,Hypo
cg03181582,ABCC8,-0.0123856310587997,TSS200,Hyper
cg00177237,ABCG1,0.0126249281139786,Body,Hypo
cg25462896,ABCG4,0.0119538381850826,Body,Hypo
cg17574812,ABHD6,0.0163895680847999,Body,Hypo
cg10311020,ABI1,0.0137128145441505,Body,Hypo
cg03419646,ABI3,0.0115219756365515,Body,Hypo
cg15626105,ABI3BP,0.0152526751617983,Body,Hypo
cg27016262,ABR,-0.0130614811676375,Body,Hyper
cg07834934,ACACA,0.0109155317688821,Body,Hypo
cg04777824,ACACB,0.0100836099725776,Body,Hypo
cg06675190,ACAN,-0.0127140220808458,TSS1500,Hyper
cg19802564,ACE,0.0134460487428682,Body,Hypo
cg14204266,ACHE,0.017524332731551,Body,Hypo
cg27470486,ACLY,0.0126345053745357,5'UTR,Hypo
cg11837749,ACOT11,0.0148078914857073,Body,Hypo
cg04354126,ACOT7,0.0158212154068705,Body,Hypo
