ID,gene,t,P.Value,F1,CHR,MAPINFO,Strand,Type,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,logFC,AveExpr
cg07651914,CLDN15,34.84934121,4.65E-169,0.942655145,7,100881986,F,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.242323,0.850988517
cg00909706,MIR34A,32.98130175,5.60E-157,0.973720762,1,9211836,R,II,TSS200,opensea,TSS200-opensea,,,,,,,0.240722473,0.825191124
cg01794853,HSPG2,30.23797934,3.96E-139,0.990679095,1,22265174,R,II,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.316355393,0.728474211
cg14231297,ZSCAN18,29.70782236,1.13E-135,0.97299927,19,58629901,F,I,TSS200,island,TSS200-island,chr19:58629309-58630241,,,,rs8109359,,0.394577513,0.559091046
cg18115040,HOXD10,29.53951101,1.42E-134,0.863636364,2,176981328,R,I,TSS200,island,TSS200-island,chr2:176980765-176981423,TRUE,,,,rs79175736,0.366403032,0.559204461
cg03419151,XAF1,29.33088164,3.24E-133,0.918918919,17,6658728,F,II,TSS1500,opensea,TSS1500-opensea,,,,,rs79926030,,0.27430287,0.790491409
cg14642395,SLC22A11,29.18077391,3.08E-132,0.924731183,11,64322079,F,II,TSS1500,opensea,TSS1500-opensea,,TRUE,TRUE,,,,0.307044402,0.750957952
cg27409154,IGFBP6,28.55656624,3.59E-128,0.852359209,12,53490412,F,II,TSS1500,shore,TSS1500-shore,chr12:53491572-53491955,TRUE,,,rs711314,,0.302066991,0.787920428
cg18356276,AHR,28.08524609,4.19E-125,0.95393452,7,17337342,R,II,TSS1500,shore,TSS1500-shore,chr7:17338252-17339101,,,,,,0.242278653,0.870590409
cg05921232,CNTF,28.05671268,6.43E-125,0.843319449,11,58390088,R,II,TSS200,opensea,TSS200-opensea,,,,,,,0.105492762,0.934121225
cg15617545,SERPING1,27.89720736,7.01E-124,0.856748816,11,57365018,R,II,TSS1500,opensea,TSS1500-opensea,,TRUE,,,,,0.406966625,0.717392531
cg17408527,ZSCAN18,27.85252218,1.37E-123,0.975806878,19,58629967,R,II,TSS200,island,TSS200-island,chr19:58629309-58630241,,,,,,0.430584979,0.639123313
cg24604013,SOX1,27.7145985,1.08E-122,0.984959776,13,112721325,F,I,TSS1500,island,TSS1500-island,chr13:112720564-112723582,,,,,,0.418723745,0.515534232
cg15791248,FGFR1,27.60470544,5.58E-122,0.932773109,8,38326730,F,II,TSS1500,shore,TSS1500-shore,chr8:38325091-38326374,,,,rs17182044,,0.286298302,0.79085415
cg22188918,CLDN15,27.58644441,7.34E-122,0.901408451,7,100882175,F,I,TSS1500,opensea,TSS1500-opensea,,,TRUE,,rs12532195,,0.195866686,0.75077797
cg03100639,TGFB1I1,26.88454535,2.63E-117,0.909090909,16,31483137,F,II,TSS1500,shore,TSS1500-shore,chr16:31483276-31483646,,,high-CpG:31390567-31391258,rs45455396,,0.360000723,0.762953845
