node1,node2,combined_score
MPG,VPS18,827
HOXA2,HOXA5,812
HOXA5,HOXA6,883
CX3CL1,CCL2,837
CCL22,CCL2,977
CCL2,CCL1,730
CCL2,CXCL6,856
NID2,LAMA4,835
CFTR,CLCA1,765
HOXA5,HOXA7,882
HOXA6,HOXA7,889
CDC6,UNG,708
MPG,UNG,705
ULBP1,HCST,842
HOXD10,HOXD11,828
CYP4F2,ALOX12,914
CEACAM5,CRP,731
CCL2,CRP,805
CRP,APCS,757
NT5C1A,NT5E,903
SPI1,LMO2,871
FZD10,WNT10A,809
PROKR2,HS6ST1,710
CCL2,TLR2,776
HS6ST1,SULF1,758
CCL1,MNAT1,813
LMO2,MNAT1,900
MNAT1,CCND2,902
PLAT,VWF,777
PROC,VWF,948
CRP,VWF,760
TWIST1,RORA,901
FGF4,PDGFRB,771
FGF6,PDGFRB,760
CDC6,LIG1,847
UNG,LIG1,874
TWIST1,BRD4,727
DTX1,NOTCH3,899
LAMA4,MCAM,957
NT5E,MCAM,858
VWF,MCAM,705
PDGFRB,MCAM,727
HS6ST1,GPC1,953
HS3ST2,GPC1,927
TLR2,CD80,727
IL23A,FGF2,902
FGF6,FGF2,916
VWF,FGF2,706
PDGFRB,FGF2,876
GPC1,FGF2,992
CCL22,F13A1,903
PROC,F13A1,901
PRKG2,BST1,800
TLR2,VCAN,998
GPC1,VCAN,955
FZD10,WNT2,823
WNT10A,WNT2,909
GRP,GAL,710
SESN2,TCIRG1,902
TIMP2,HPX,989
WNT10A,SFRP5,872
WNT2,SFRP5,862
KCNA5,CACNA1C,736
PRKG2,CACNA1C,826
FGF2,ERBB3,751
WNT10A,SFRP2,868
WNT2,SFRP2,935
ADAMTS8,ADAMTS16,913
CDH17,EGFR,905
FGF4,EGFR,761
EFNA2,EGFR,717
FGF6,EGFR,739
TLR2,EGFR,833
PPP2R5A,EGFR,905
PDGFRB,EGFR,946
NOTCH3,EGFR,899
FGF2,EGFR,889
VCAN,EGFR,755
WNT2,EGFR,711
ERBB3,EGFR,997
MYH7B,MYL9,840
ISL1,POU4F2,802
NT5E,THY1,918
PDGFRB,THY1,710
MCAM,THY1,868
FGF2,THY1,729
USP5,UCHL1,715
FZD10,WNT3A,855
WNT10A,WNT3A,909
PPP2R5A,WNT3A,939
FGF2,WNT3A,798
WNT2,WNT3A,923
SFRP5,WNT3A,879
SFRP2,WNT3A,950
RSPO2,WNT3A,810
ADAMTS8,ADAMTS5,908
VCAN,ADAMTS5,724
ADAMTS16,ADAMTS5,913
WNT10A,DKK2,781
WNT2,DKK2,836
SFRP2,DKK2,729
WNT3A,DKK2,958
WNT10A,WIF1,809
WNT2,WIF1,927
SFRP5,WIF1,763
SFRP2,WIF1,784
WNT3A,WIF1,965
DKK2,WIF1,737
PRKG2,KCNMA1,918
CACNA1C,KCNMA1,935
ADAMTS8,ADAMTS3,914
ADAMTS16,ADAMTS3,913
ADAMTS5,ADAMTS3,923
CLDN16,CLDN17,831
CDC6,BUB1B,903
MAD2L2,BUB1B,891
PPP2R5A,BUB1B,990
CD80,CD1A,780
ABCC3,SLCO2B1,717
IGF2BP3,IGF2BP1,996
SESN2,ATP6V0D1,910
TCIRG1,ATP6V0D1,992
EGFR,TFF1,937
FGF23,STAT5B,904
CCND2,STAT5B,950
PDGFRB,STAT5B,955
EGFR,STAT5B,998
FZD10,WNT1,914
WNT10A,WNT1,907
PPP2R5A,WNT1,901
WNT2,WNT1,910
SFRP5,WNT1,842
SFRP2,WNT1,971
EGFR,WNT1,727
WNT3A,WNT1,927
DKK2,WNT1,944
WIF1,WNT1,980
SPI1,TAL1,970
LMO2,TAL1,999
MNAT1,TAL1,900
ISL1,NEUROD1,871
SPI1,MITF,942
TYR,MITF,930
TLR2,FSTL1,954
CX3CL1,CCR1,899
CCL22,CCR1,863
CCL2,CCR1,987
CCL1,CCR1,892
CXCL6,CCR1,756
CCL22,CSF2,964
CCL2,CSF2,988
TLR2,CSF2,716
PDGFRB,CSF2,706
CD80,CSF2,859
EGFR,CSF2,800
CD1A,CSF2,739
STAT5B,CSF2,973
TAL1,TLX3,721
AKR1B1,FABP5,742
CCL22,COL1A2,900
PDGFRB,COL1A2,714
F13A1,COL1A2,910
ADAMTS3,COL1A2,941
WNT3A,SOX17,725
ISL1,PHOX2A,708
CYP26C1,CRABP1,944
GAL,GALR1,998
TBX21,RUNX1,936
SPI1,RUNX1,951
LMO2,RUNX1,836
MNAT1,RUNX1,900
CCND2,RUNX1,701
SMARCB1,RUNX1,808
MYL9,RUNX1,909
TAL1,RUNX1,967
CSF2,RUNX1,915
RIPK3,FADD,999
EIF2AK2,FADD,864
SLC2A9,SLC22A11,851
CFTR,CCL11,905
CX3CL1,CCL11,709
CCL22,CCL11,747
CCR1,CCL11,869
CSF2,CCL11,862
ZIC1,GBX2,793
WNT1,GBX2,724
WNT10A,AXIN2,717
WNT2,AXIN2,782
WNT3A,AXIN2,859
WNT1,AXIN2,880
HNF1A,ONECUT1,787
FEZF2,OTP,709
CCND2,PITX2,929
TBX21,IL13,760
CCL22,IL13,969
CCL2,IL13,983
CHI3L1,IL13,706
TLR2,IL13,712
F13A1,IL13,907
EGFR,IL13,819
IFNGR2,IL13,701
CSF2,IL13,881
COL1A2,IL13,916
CCL11,IL13,890
TYR,PRKCB,837
SLC6A3,PRKCB,835
EGFR,PRKCB,935
GRIA4,PRKCB,920
STAT5B,PRKCB,914
RUNX1,PRKCB,901
PPP1R14A,PRKCB,917
NEFM,KIF5B,833
FEZ1,KIF5B,834
GRIA4,KIF5B,836
RIPK3,PCSK1,828
PDGFRB,CD248,728
TIMP2,MMP14,999
EGFR,MMP14,745
CRP,OLR1,985
TLR2,OLR1,704
MMP14,OLR1,921
MAD2L2,TERT,738
FADD,TNFRSF10D,875
NEFM,NEFH,777
KIF5B,NEFH,822
ALOX12,PLA2G1B,814
CRP,PLA2G1B,705
PDGFRB,CSPG4,797
GPC1,CSPG4,948
FGF2,CSPG4,869
NEUROD1,INSM1,729
CCL2,LEP,754
GHSR,LEP,730
CRP,LEP,956
EGFR,LEP,804
STAT5B,LEP,792
UCN,LEP,701
CARTPT,LEP,911
KLK1,KLK2,807
EGFR,EDNRA,936
ADCY8,EDNRA,903
SLC6A2,HTR1A,772
GAL,HTR1A,786
SLC6A3,HTR1A,777
GALR1,HTR1A,773
PKD2,PACS1,934
TYR,TPO,915
PYCARD,MALT1,768
PRKCB,MALT1,827
GRP,TAC1,934
GAL,TAC1,885
UCHL1,TAC1,707
CRP,LPA,727
KCNA5,KCNH5,723
PROKR2,FGF8,717
FGF23,FGF8,700
PDGFRB,FGF8,745
EGFR,FGF8,750
WNT3A,FGF8,810
WNT1,FGF8,803
GBX2,FGF8,822
SPI1,EBF1,725
HNF1A,SLC2A2,962
