Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	83	22.133333333333333	4.560097469358281E-25	CD40, ONECUT2, CRTC1, GLI2, HOXA10, HOXA9, SOX1, SALL1, SALL2, SOX17, SIX3, ZIC1, CREB3L2, HOXA1, FEZF2, PITX2, PITX1, ZNF521, HOXA4, EOMES, ACVR1, FOXD3, NKX2-8, BCAS3, SOX14, PAX3, PAX6, PAX5, UTF1, PAX2, RUNX1, ADCYAP1, TOX2, SFRP2, NR5A2, IRF4, TBL1XR1, PAX9, RARB, MAML3, GCM2, NOTCH3, NR1I2, BHLHE23, HOXD10, NEUROD1, GALR3, GALR1, PRDM16, ABL1, NKX2-1, HOXC4, NLRP3, OTX2, CYTL1, OTX1, SMYD3, NKX2-2, STAT5A, WNT3A, PDX1, NR1H3, WWP2, ESRRG, EVX1, BMP7, POU4F1, FLI1, POU4F2, PBX1, PHOX2A, GRIN1, DAB2, LHX2, WT1, TLX2, TLX1, MYF6, ID4, PTF1A, HOXD9, HOXD8, FOXA2	360	1232	19462	3.642104076479077	1.1924654882371904E-21	1.1924654882371904E-21	1.1728570691189498E-21
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	91	24.266666666666666	4.293742769166246E-20	FOXE1, ONECUT2, MYT1L, GLI2, HOXA10, FOXQ1, HOXA9, SIX6, SALL1, SALL2, SOX17, SALL3, PPP1R13L, SIX3, ZIC1, CREB3L2, HOXA1, PITX2, PITX1, ZNF521, HOXA4, EOMES, FOXD3, NKX2-8, NKX6-2, PRKCB, EBF1, PAX3, PAX6, PAX5, RFX1, MYT1, UTF1, PAX2, RUNX1, NCOR2, TOX2, NR5A2, IRF4, TBL1XR1, ZFP42, PAX9, AHRR, GCM2, ZBTB46, FOXG1, PRDM14, BHLHE23, HOXD11, HOXD10, NEUROD1, NFIL3, CUX1, PRDM16, ALX3, NKX2-1, HOXC4, OTX2, OTX1, MSC, ZSCAN18, NKX2-2, IRX1, STAT5A, TCF7L1, PDX1, ZIC4, ESRRG, EVX1, ZIC5, POU4F1, TBX18, FLI1, HOPX, POU4F2, PBX1, PHOX2A, TBX15, TLX3, LHX2, WT1, TLX2, LHX1, TLX1, MYF6, LHX6, PTF1A, SIM1, HOXD9, HOXD8, FOXA2	360	1736	19462	2.8338485663082436	1.1228137341369733E-16	5.614068670684866E-17	5.5217532011477924E-17
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	51	13.600000000000001	2.185807181785992E-10	FOXE1, MYT1L, GLI2, LOXL2, FOXQ1, SOX1, SALL1, SALL2, PPP1R13L, FEZF2, PITX2, EOMES, FOXD3, NKX6-2, SOX14, PAX6, PAX5, RUNX1, NCOR2, TBL1XR1, RARB, EZR, NOTCH3, ZBTB46, FOXG1, NR1I2, PRDM14, PRDM13, ATXN1, NFIL3, CUX1, PRDM16, NKX2-1, CRYM, MSC, IRX1, PDX1, NR1H3, WWP2, POU4F1, TBX18, HOPX, POU4F2, TBX15, DAB2, CDK6, WT1, LEP, ID4, HOXD9, HOXD8	360	1015	19462	2.7163711001642037	5.715883909518382E-7	1.9052952601234564E-7	1.873965357184524E-7
GOTERM_BP_DIRECT	GO:0007411~axon guidance	20	5.333333333333334	3.955372141905915E-9	NOTCH3, SEMA4A, BDNF, WNT3A, PTPRO, CRMP1, PAX6, UNC5D, BMP7, POU4F2, GLI2, CDH4, FLRT2, LHX2, KIF5C, DPYSL2, NKX2-1, TNR, OTX2, EPHB1	360	195	19462	5.544729344729345	1.0343244677302188E-5	2.585824537770992E-6	2.5433042872455035E-6
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	39	10.4	7.543570748235029E-9	ADCYAP1R1, FOXE1, BNC1, NR1I2, NDRG2, NKAPL, FOXQ1, SOX1, FGF8, SOX17, FRZB, DPYSL2, ZIC1, NKX2-1, NKX2-2, FOXD3, NKX2-8, SEMA4A, SRRM4, NKX6-2, CAV2, RARRES2, NR1H3, SOX14, ZIC5, MYT1, FLI1, DLK1, HCK, SFRP2, FES, SFRP5, FGF18, ID4, RARB, SIM1, VSTM2A, INA, FOXA2	360	725	19462	2.908114942528736	1.972624306789683E-5	3.9452875013269204E-6	3.8804127928920985E-6
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	36	9.6	2.6540387253887706E-7	FOXE1, NR1I2, GLI2, NEUROD1, SALL1, SOX17, NFIL3, PRDM16, ZIC1, CREB3L2, NKX2-1, CD38, OTX2, EOMES, ACVR1, RBPMS, PRKCB, ACTN2, WNT3A, NR1H3, PAX3, PAX6, BMP7, TBX18, FLI1, PAX2, RUNX1, TBX15, NR5A2, WT1, LHX2, IRF4, TBL1XR1, LHX1, TACC1, FOXA2	360	730	19462	2.666027397260274	6.937904348472967E-4	1.1567185444819392E-4	1.137697933616653E-4
GOTERM_BP_DIRECT	GO:0009653~anatomical structure morphogenesis	15	4.0	4.633858473896055E-7	FOXD3, FOXE1, SOX14, FOXQ1, SOX1, FGF8, SOX17, LHX1, SFRP5, FGF18, HOXA1, PITX2, PITX1, HOXA4, FOXA2	360	144	19462	5.6313657407407405	0.0012110203938507924	1.731077129891169E-4	1.7026119992658077E-4
GOTERM_BP_DIRECT	GO:0001658~branching involved in ureteric bud morphogenesis	9	2.4	1.2310292685371998E-6	ADAMTS16, SALL1, FGF8, WT1, LHX1, FAT4, HOXD11, PAX2, PBX1	360	44	19462	11.057954545454546	0.0032139676315838805	3.623203928494913E-4	3.5636254317739644E-4
GOTERM_BP_DIRECT	GO:0048856~anatomical structure development	10	2.666666666666667	1.2469917918338134E-6	GCM2, ATXN1, SFRP2, FRZB, PAX9, PAX3, PAX6, PAX5, HOXD11, PAX2	360	59	19462	9.162900188323917	0.0032555746557551	3.623203928494913E-4	3.5636254317739644E-4
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	19	5.066666666666666	1.4804575672809502E-6	GRIA1, SLC12A5, CHRNA4, PCDH8, CACNA1B, CACNA1A, CARTPT, SYN2, CACNA1E, GRM1, GRIN1, GALR3, GRM6, SST, MPZ, NPY, PENK, TAC1, NPTX2	360	257	19462	3.996735840899265	0.0038639151988096865	3.871396538439685E-4	3.807736863046604E-4
GOTERM_BP_DIRECT	GO:0045665~negative regulation of neuron differentiation	10	2.666666666666667	3.2791753483311664E-6	NOTCH3, TLX3, FOXG1, SIX3, ID4, PAX6, FEZF2, BMP7, PBX1, NKX2-2	360	66	19462	8.191077441077441	0.008538396653903657	7.795494123532727E-4	7.667308178097963E-4
GOTERM_BP_DIRECT	GO:0048663~neuron fate commitment	7	1.866666666666667	3.840140108792656E-6	NOTCH3, NKX6-2, MYT1L, PAX6, BHLHE23, PTF1A, ZNF521	360	24	19462	15.767824074074074	0.009991733279676951	8.368305320410663E-4	8.230700299845593E-4
GOTERM_BP_DIRECT	GO:0048566~embryonic digestive tract development	6	1.6	7.674573059375599E-6	TGFB2, SALL1, SCT, RARRES2, RARB, GLI2	360	16	19462	20.272916666666664	0.019869041929614473	0.0014630032412322471	0.0014389462089672428
GOTERM_BP_DIRECT	GO:0045471~response to ethanol	12	3.2	7.832522132792145E-6	CLDN5, ADCYAP1R1, RGS2, CA3, PRKCB, LEP, PENK, PAX6, CDO1, SLC6A3, RGS7, GRIN1	360	113	19462	5.741002949852507	0.020273791654682127	0.0014630032412322471	0.0014389462089672428
