Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:1990837~sequence-specific double-stranded DNA binding	64	17.066666666666666	1.6457759338687392E-30	FOXE1, ONECUT2, GLI2, HOXA10, FOXQ1, HOXA9, SIX6, SIX3, ZIC1, HOXA1, PITX2, PITX1, HOXA4, EOMES, FOXD3, NKX2-8, NKX6-2, SOX14, PAX3, PAX6, RFX1, PAX2, RUNX1, NR5A2, IRF4, ZFP42, PAX9, RARB, GCM2, FOXG1, NR1I2, BHLHE23, HOXD11, HOXD10, NEUROD1, CUX1, ALX3, ABL1, HOXC4, OTX2, OTX1, MSC, IRX1, TCF7L1, PDX1, ZIC4, ESRRG, EVX1, ZIC5, POU4F1, TBX18, FLI1, PBX1, PHOX2A, TBX15, TLX3, TLX2, LHX1, MYF6, LHX6, PTF1A, HOXD9, HOXD8, FOXA2	366	560	18976	5.9253708040593285	9.924028881228497E-28	9.924028881228497E-28	9.677162491148186E-28
GOTERM_MF_DIRECT	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding	86	22.933333333333334	1.4559403828644347E-24	FOXE1, ONECUT2, MYT1L, GLI2, HOXA10, FOXQ1, HOXA9, SIX6, SOX1, SALL1, SALL2, SOX17, SALL3, SIX3, ZIC1, CREB3L2, HOXA1, PITX2, PITX1, HOXA4, EOMES, FOXD3, NKX2-8, NKX6-2, EBF1, SOX14, PAX3, PAX6, PAX5, RFX1, MYT1, PAX2, RUNX1, NR5A2, IRF4, ZFP42, PAX9, AHRR, RARB, GCM2, ZBTB46, FOXG1, NR1I2, BHLHE23, HOXD11, HOXD10, NEUROD1, NFIL3, CUX1, ALX3, NKX2-1, HOXC4, OTX2, OTX1, MSC, ZSCAN18, NKX2-2, IRX1, STAT5A, TCF7L1, PDX1, NR1H3, ZIC4, ESRRG, EVX1, ZIC5, POU4F1, TBX18, FLI1, POU4F2, PBX1, PHOX2A, TBX15, TLX3, LHX2, WT1, TLX2, LHX1, TLX1, MYF6, LHX6, PTF1A, SIM1, HOXD9, HOXD8, FOXA2	366	1286	18976	3.467217363961621	8.779320508672541E-22	4.389660254336271E-22	4.280464725621438E-22
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	78	20.8	6.1546833295999716E-21	FOXE1, ONECUT2, MYT1L, GLI2, HOXA10, FOXQ1, HOXA9, SIX6, SOX1, SALL1, SALL2, SOX17, SALL3, SIX3, ZIC1, HOXA1, FEZF2, PITX2, PITX1, ZNF521, HOXA4, EOMES, FOXD3, NKX2-8, NKX6-2, EBF1, SOX14, PAX3, PAX6, PAX5, RFX1, MYT1, PAX2, RUNX1, NR5A2, IRF4, ZFP42, PAX9, RARB, GCM2, NR1I2, BHLHE23, HOXD11, HOXD10, NEUROD1, NFIL3, PRDM16, NKX2-1, HOXC4, OTX2, OTX1, SMYD3, MSC, ZSCAN18, NKX2-2, IRX1, STAT5A, TCF7L1, PDX1, NR1H3, ZIC4, ESRRG, EVX1, ZIC5, POU4F1, TBX18, FLI1, POU4F2, PBX1, TBX15, TLX3, LHX2, WT1, TLX2, TLX1, MYF6, HOXD9, FOXA2	366	1222	18976	3.309382629926753	3.711274047748783E-18	1.2370913492495943E-18	1.2063179326015945E-18
GOTERM_MF_DIRECT	GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	45	12.0	6.9355404066590534E-18	GCM2, ONECUT2, NR1I2, HOXD10, GLI2, HOXA10, NEUROD1, HOXA9, SOX1, SOX17, SALL2, SIX3, PRDM16, ZIC1, CREB3L2, HOXC4, OTX2, HOXA1, OTX1, FEZF2, ZNF521, PITX1, NKX2-2, STAT5A, NKX2-8, NR1H3, PAX6, ESRRG, PAX5, POU4F1, FLI1, POU4F2, PBX1, PHOX2A, RUNX1, NR5A2, WT1, LHX2, IRF4, TLX2, TLX1, PAX9, MYF6, PTF1A, HOXD8	366	483	18976	4.830465329396191	4.182130865215409E-15	1.0455327163038523E-15	1.019524439778881E-15
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	50	13.333333333333334	2.4105272266549538E-17	FOXE1, BNC1, GLI2, HOXA9, SOX1, ZIC1, CREB3L2, PITX2, PITX1, EOMES, FOXD3, NKX2-8, NKX6-2, EBF1, PAX3, PAX6, RFX1, MYT1, PAX2, RUNX1, NR5A2, IRF4, ZFP42, PAX9, NR1I2, BHLHE23, NEUROD1, NFIL3, NKX2-1, OTX2, OTX1, MSC, STAT5A, TCF7L1, PDX1, ESRRG, EVX1, TBX18, FLI1, PBX1, PHOX2A, TBX15, WT1, LHX1, TLX1, MYF6, LHX6, SIM1, HOXD9, FOXA2	366	618	18976	4.194740658213522	1.453547917672937E-14	2.9070958353458743E-15	2.8347800185462255E-15
GOTERM_MF_DIRECT	GO:0003677~DNA binding	61	16.266666666666666	8.041684003478873E-10	MYT1L, HOXA10, HOXA9, SIX6, SOX1, SOX17, SIX3, HOXA1, PITX2, PITX1, HOXA4, EOMES, NKX6-2, EBF1, SOX14, PAX3, PAX6, PAX5, RFX1, MYT1, PAX2, RUNX1, NCOR2, TOX2, NR5A2, PAX9, POLR1D, RARB, GCM2, FOXG1, PRDM13, HOXD11, RAD54B, NEUROD1, ATXN1, NFIL3, CUX1, ALX3, ABL1, NKX2-1, HOXC4, OTX2, OTX1, STAT5A, TCF7L1, NR1H3, ZIC4, EVX1, TBX18, FLI1, HOPX, PBX1, PHOX2A, LHX2, TLX2, LEP, TLX1, PTF1A, SIM1, HOXD8, FOXA2	366	1347	18976	2.347933679782232	4.849134269679922E-7	8.081892423496267E-8	7.880850323409296E-8
GOTERM_MF_DIRECT	GO:0043565~sequence-specific DNA binding	26	6.933333333333333	1.6229713547057776E-8	GCM2, FOXE1, NR1I2, GLI2, NEUROD1, CUX1, PRDM16, NLRP3, HOXA1, EOMES, IRX1, NKX2-8, NR1H3, SOX14, PAX3, ESRRG, POU4F1, FLI1, NR5A2, WT1, LHX2, IRF4, TLX2, LHX1, LHX6, FOXA2	366	346	18976	3.896016930414732	9.786469476136261E-6	1.3980738955536911E-6	1.3632959379528531E-6
GOTERM_MF_DIRECT	GO:0000976~transcription regulatory region sequence-specific DNA binding	19	5.066666666666666	9.446110921934725E-7	ZBTB46, NR1H3, PAX6, TBX18, FLI1, PAX2, PBX1, RUNX1, NR5A2, SOX17, WT1, TBL1XR1, IRF4, PRDM16, CREB3L2, NKX2-1, AHRR, PITX2, FOXA2	366	239	18976	4.121727599058006	5.694385659281709E-4	7.120006107408299E-5	6.942891527622023E-5
GOTERM_MF_DIRECT	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding	22	5.866666666666666	7.88425067393457E-6	FOXD3, ZBTB46, NR1I2, PRDM14, PBX1, GLI2, PHOX2A, RUNX1, NFIL3, CUX1, SALL2, LHX2, LHX1, PAX9, ALX3, NKX2-1, LHX6, PTF1A, MSC, SIM1, HOXD9, HOXD8	366	362	18976	3.150922319838179	0.004742938473570546	5.282447951536162E-4	5.151043773637252E-4
GOTERM_MF_DIRECT	GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding	18	4.8	3.04823691058831E-4	IRX1, FOXD3, NKX6-2, MYT1L, ZBTB46, PAX6, POU4F1, TBX18, POU4F2, FOXQ1, TBX15, SALL1, NFIL3, PRDM16, FEZF2, MSC, PITX2, HOXD9	366	337	18976	2.769275672520309	0.1679283349756533	0.01838086857084751	0.017923633034259263
