Probe_ID,import_level_in_forest,gene
cg26444528,0.07706281742823434,PCDH17
cg18675097,0.04959337766279308,NKAPL
cg25352836,0.03943772374704241,TSSK6
cg24848035,0.03622691646053258,RGS22
cg07445246,0.03043898814886725,TCL1A
cg05047401,0.030167167828303955,SEMA4A
cg12377139,0.02483759174194526,SPAG6
cg26132320,0.016035404141049373,MMP9
cg15215348,0.015358575717063503,PDE4C
cg13667243,0.0130237604417154,ADAM19
cg12290311,0.010926072319023133,DAB2
cg17241776,0.010214240390736285,DLEU7
cg17080882,0.009566315068473672,TGFBR3
cg23049458,0.00945198245638088,L1TD1
cg24932457,0.009238045955311152,TNR
cg16783744,0.008348921250486842,DPYS
cg02164046,0.007075532543661337,SST
cg13799919,0.0064062686075700625,POLR1D
cg03520644,0.005957521486331156,COL11A1
cg27083087,0.005931915576936298,VGLL4
cg07783282,0.00580294000463918,USP44
cg26870725,0.0049324115325193475,MAST1
cg00907288,0.0048352924977793435,SRGAP3
cg08351336,0.004636805804396074,CARTPT
cg18759209,0.004210033878145183,BMP7
cg07517893,0.004156365367691772,PPP1R13L
cg13870520,0.003939223518441262,SCARB2
cg04127342,0.003184389645002038,PENK
cg12338417,0.002921809768955658,TRIM71
cg21179088,0.002875221027479092,VSTM2A
cg27494647,0.0026324830222845775,RARRES2
cg17508991,0.0025779587484514445,HCK
cg13476133,0.0024261009688426394,GCK
cg24680586,0.0021770919401542673,INA
cg19811337,0.002146587378934492,MAP3K11
cg06355129,0.0021135467966831283,NES
cg09649610,0.001965691926959275,GNG4
cg23750206,0.0019639322000818728,AFAP1
cg25774643,0.0019460303388103728,SCT
cg21899596,0.0019430182068697634,HOPX
cg22694191,0.0019267684475693626,HAPLN4
cg03544320,0.0018968176417821104,CRMP1
cg02745847,0.0018677157926703268,IGF2BP1
cg17265829,0.0015768963467222652,FAT4
cg05741937,0.0015505414724164726,TXNRD1
cg13670057,0.0014581206938022173,ABL1
cg08481075,0.001379884810898979,COL11A2
cg00164949,0.0012146062605440937,C1QL1
cg00765705,0.0011906033352528608,NCOR2
cg18877506,0.001176184201248376,PDPN
cg24973993,0.0011687519546875352,CIT
cg18582992,0.0011498835357982337,SHF
cg12161228,0.0011333164897097427,NOX4
cg06571407,0.001081347406793994,CD40
cg21514227,0.0010616905248807095,NOTCH3
cg23290344,0.001019290621386895,NEFM
cg01009664,0.0009814060408609145,TRH
cg04191427,0.0009482477875795996,RPTOR
cg16596604,0.00080170074576515,CRYM
cg26860604,0.0007923592490228092,WWP2
cg05057720,0.0007669239249784751,CLEC14A
cg08680048,0.0007548040005730678,ITPKA
cg13391820,0.000754611630407809,CCND2
cg04842146,0.000743074520178839,RALYL
cg20965743,0.0006580761439695609,ASPG
cg21739530,0.0006542735719564988,GALNT7
cg02732252,0.0006388772749448754,CLDN6
cg15925365,0.0006097004018998902,GSTA4
cg16751493,0.0006084584195997263,PPP1R7
cg06970510,0.0006066989653520928,GRASP
cg12001304,0.000559748427672956,SPHKAP
cg07469637,0.0005573597430598425,CDK6
cg10896862,0.0005447816173368221,MPZ
cg03635766,0.0005089316257658997,IGFBP4
cg20486569,0.0004977978259166755,CLDN5
cg09743950,0.0004937464398048395,ITGAM
cg00630958,0.000490054285585763,LEPR
cg09053680,0.0004718307671598827,UTF1
cg27317046,0.00045773063323690117,LTBP2
cg00044665,0.0004424715909090909,CDH5
cg18081258,0.00043591395857081806,NDRG2
cg06276663,0.0004255573486342717,SH3PXD2A
cg26405020,0.0004189912557667329,FES
cg18952796,0.0004171047531703272,NPTX2
cg01158680,0.0003902082572159297,MAGI2
cg07581623,0.00038700139146567725,DPYSL2
cg13342435,0.0003470086057190943,MPPED2
cg27360326,0.00034240840066082786,PCDH8
cg03348397,0.00034157154673283694,RGS20
cg26841013,0.00032566399263465483,WNT3A
cg22831607,0.0003021324311794714,SFRP5
cg04037038,0.0002936809107408016,FRZB
cg24182521,0.0002884259259259261,PLTP
cg18770350,0.00028279936974789905,ACTN2
cg11859607,0.0002805725106137624,ADCYAP1
cg25839439,0.00027661227661227657,CAPZB
cg17264670,0.00027460443037974667,RGS17
cg03338754,0.0002613846907951519,F7
cg17154724,0.00025752314814814816,DNM3
cg12034943,0.0002472222222222222,CRTC1
cg07810039,0.00023036479818814193,TGFB2
cg02792792,0.00021814848313271026,CDO1
cg19974227,0.00021763246085929733,RGS12
cg16260298,0.00020107882176847693,CAV2
cg02874376,0.0001991104821229805,DLK1
cg21637392,0.00018723702664796637,RNF216
cg06169131,0.00018723702664796637,FGF8
cg19619405,0.00016984890449482987,ADAMTS20
cg09651145,0.00016390892985619399,AFAP1L1
cg00840332,0.00015451388888888893,LEP
cg00875805,0.00015109073932603355,MAML3
cg25032595,0.00013755221386800592,CLDN10
cg14156405,0.00013438981653267178,RGS7
cg26186239,0.00013084644254672637,EEF1A2
cg26029902,0.0001204004329004329,RAB22A
cg15031661,0.00010683475688795376,FMN2
cg14284618,3.6444134379368214e-05,TACC1
cg07198552,0.0,CDH4
cg19678828,0.0,CYYR1
cg01537995,0.0,FLRT2
cg12425861,0.0,PACS2
cg05164933,0.0,SFRP2
cg22881914,0.0,NID2
cg04918402,0.0,LIMD2
cg22784954,0.0,ADAMTS16
cg09293816,0.0,FCGRT
cg11814235,0.0,DSC3
cg10974980,0.0,LOXL1
cg24319381,0.0,CPEB1
cg10588135,0.0,BCAS3
cg05374271,0.0,RGS2
cg08076018,0.0,ANGPTL2
cg15341350,0.0,SRRM4
cg05905176,0.0,TNFAIP8L3
cg19593767,0.0,TOX2
cg22877509,0.0,RUSC1
cg05385513,0.0,EFEMP1
cg09211763,0.0,COL5A2
cg09499849,0.0,ACVR1
cg07113642,0.0,CPXM1
cg08862890,0.0,DOCK2
cg15873301,0.0,SYN2
cg01114088,0.0,CYTL1
cg04946749,0.0,MGAT5B
cg03306374,0.0,PRKCB
cg00489401,0.0,FLT4
cg06304097,0.0,TCERG1L
cg07100000,0.0,FGF18
cg26573704,0.0,ADAMTS12
cg20624391,0.0,BVES
cg23165899,0.0,ID4
cg19053239,0.0,KIF5C
cg09535960,0.0,LOXL2
cg24586039,0.0,RBPMS
cg15323528,0.0,CDH23
cg11718030,0.0,BDNF
cg13782615,0.0,STIM1
cg25272143,0.0,AHNAK
cg02534363,0.0,NBEAL2
