"","X","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","URL"
"1","hsa04950","Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","8/192","26/8644",5.68057846993791e-08,1.47695040218386e-05,1.33942060764852e-05,"3170/2645/4760/4821/2494/5080/3651/6514",8,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04950/3170/2645/4760/4821/2494/5080/3651/6514"
"2","hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","18/192","225/8644",2.3750757053257e-06,0.00030875984169234,0.00028000892525945,"116/117/627/11149/775/1080/1261/64764/2693/2890/2893/2902/4852/5142/5143/6262/6750/6751",18,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04024/116/117/627/11149/775/1080/1261/64764/2693/2890/2893/2902/4852/5142/5143/6262/6750/6751"
"3","hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","23/192","367/8644",6.15253017347237e-06,0.000533219281700939,0.000483567283809758,"116/117/136/140/1137/2587/8484/2693/2890/2893/2902/2911/2916/3952/3953/4852/5179/6343/6750/6751/6754/6863/7200",23,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04080/116/117/136/140/1137/2587/8484/2693/2890/2893/2902/2911/2916/3952/3953/4852/5179/6343/6750/6751/6754/6863/7200"
"4","hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","10/192","97/8644",5.43752307283152e-05,0.00266291350713601,0.00241494990120837,"116/117/775/8911/2786/2890/2893/2902/5579/6262",10,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04713/116/117/775/8911/2786/2890/2893/2902/5579/6262"
"5","hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","19/192","310/8644",5.63306303222676e-05,0.00266291350713601,0.00241494990120837,"25/894/1021/1545/7430/3236/10642/406908/406918/4318/4854/5579/11186/8434/57521/7042/7143/131405/89780",19,"https://www.kegg.jp/kegg-bin/show_pathway?hsa05206/25/894/1021/1545/7430/3236/10642/406908/406918/4318/4854/5579/11186/8434/57521/7042/7143/131405/89780"
"6","hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","7/192","46/8644",6.14518501646773e-05,0.00266291350713601,0.00241494990120837,"773/774/775/777/2645/3651/6514",7,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04930/773/774/775/777/2645/3651/6514"
"7","hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","14/192","193/8644",9.58801939700286e-05,0.00356126434745821,0.00322964863899044,"894/958/2313/3206/3205/3684/4318/5077/5079/5087/861/3195/30012/7490",14,"https://www.kegg.jp/kegg-bin/show_pathway?hsa05202/894/958/2313/3206/3205/3684/4318/5077/5079/5087/861/3195/30012/7490"
"8","hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","9/192","86/8644",0.000114749538556178,0.0037293600030758,0.00338209166270842,"116/117/775/64764/2645/3651/5579/6262/6514",9,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04911/116/117/775/64764/2645/3651/5579/6262/6514"
"9","hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","16/192","253/8644",0.000154759243800812,0.00447082259869014,0.00405451118261778,"136/773/774/775/777/8911/952/8817/2253/2324/2902/2911/3706/5579/6262/6786",16,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04020/136/773/774/775/777/8911/952/8817/2253/2324/2902/2911/3706/5579/6262/6786"
"10","hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","6/192","40/8644",0.000227245437412642,0.0059083813727287,0.00535820820846651,"773/774/1137/2890/2893/2902",6,"https://www.kegg.jp/kegg-bin/show_pathway?hsa05033/773/774/1137/2890/2893/2902"
"11","hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","10/192","132/8644",0.000689708906624857,0.0163022105202239,0.0147841909171261,"773/774/775/64764/2786/2890/2893/3800/5579/6531",10,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04728/773/774/775/64764/2786/2890/2893/3800/5579/6531"
"12","hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","7/192","69/8644",0.000805705281603336,0.0174569477680723,0.0158314020244866,"775/64764/2890/2893/2902/5579/6531",7,"https://www.kegg.jp/kegg-bin/show_pathway?hsa05031/775/64764/2890/2893/2902/5579/6531"
"13","hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","9/192","115/8644",0.00101031290355969,0.0202062580711939,0.0183247036759005,"773/775/2786/2890/2893/2902/2911/2916/5579",9,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04724/773/775/2786/2890/2893/2902/2911/2916/5579"
"14","hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","11/192","170/8644",0.00139514546116529,0.025909844278784,0.0234971867143628,"11149/910/911/912/1080/9071/7122/9074/7430/861/9368",11,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04530/11149/910/911/912/1080/9071/7122/9074/7430/861/9368"
"15","hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","10/192","158/8644",0.00268786728083538,0.0465896995344799,0.042251387432079,"57863/958/1002/1003/9071/7122/9074/3684/4359/114798",10,"https://www.kegg.jp/kegg-bin/show_pathway?hsa04514/57863/958/1002/1003/9071/7122/9074/3684/4359/114798"
