Model,ID1,ID2,ID3,ID4,average_accuracy,AUC,f1_score,AVG_accuracy,AVG_AUC,AVG_f1_score,,,Cluster1,Cluster2,Cluster3,Cluster4
Decision Tree,cg24848035,cg14502484,cg17152757,cg14231297,0.986516854,0.983080295,0.992424242,0.985168539,0.963562493,0.991714248,,,RGS22,SLC6A3,GHSR,ZSCAN18
Decision Tree,cg24848035,cg19619405,cg17152757,cg14231297,0.984269663,0.972441997,0.991172762,0.984719101,0.961434834,0.991460255,,,0.435,0.46,0.353,0.4
Decision Tree,cg24848035,cg03520644,cg17152757,cg14231297,0.986516854,0.983080295,0.992424242,0.984269663,0.961183577,0.991221632,,,,,,
Decision Tree,cg24848035,cg14502484,cg13545212,cg14231297,0.986516854,0.972441997,0.991172762,0.984719101,0.961183577,0.991205491,,,,,,
Decision Tree,cg24848035,cg16294013,cg17152757,cg14231297,0.986516854,0.972441997,0.991172762,0.984269663,0.959055918,0.990958901,,,,,,
Decision Tree,cg24848035,cg19619405,cg04574090,cg24604013,0.97752809,0.971185716,0.98989899,0.981573034,0.958302149,0.990192338,,,,,,
Decision Tree,cg24848035,cg14502484,cg05863502,cg14231297,0.986516854,0.963059981,0.991194969,0.983820225,0.956928258,0.990706843,,,,,,
Decision Tree,cg24848035,cg19619405,cg13545212,cg14231297,0.984269663,0.972441997,0.991172762,0.98247191,0.956425746,0.990202283,,,,,,
Decision Tree,cg24848035,cg09554951,cg17152757,cg14231297,0.979775281,0.969929434,0.988621997,0.981573034,0.955923233,0.9896902,,,,,,
Decision Tree,cg24848035,cg14502484,cg04574090,cg14231297,0.979775281,0.940527104,0.987437186,0.984269663,0.955303111,0.990970278,,,,,,
Decision Tree,cg24848035,cg16294013,cg17152757,cg24604013,0.975280899,0.948652839,0.986128625,0.98247191,0.954549343,0.990198655,,,,,,
Decision Tree,cg24848035,cg14502484,cg04574090,cg24604013,0.970786517,0.94990912,0.987405542,0.981123596,0.954549342,0.990199931,,,,,,
Decision Tree,cg24848035,cg16294013,cg04574090,cg14231297,0.97752809,0.951165401,0.988679245,0.981123596,0.95404683,0.9897011,,,,,,
Decision Tree,cg01158680,cg09554951,cg17152757,cg14231297,0.982022472,0.983080295,0.992424242,0.980674157,0.95404683,0.989699763,,,,,,
Decision Tree,cg24848035,cg19619405,cg05863502,cg14231297,0.982022472,0.973698279,0.992443325,0.980224719,0.953795574,0.989445129,,,,,,
Decision Tree,cg24848035,cg03520644,cg05863502,cg14231297,0.984269663,0.971185716,0.98989899,0.981123596,0.953544317,0.98919529,,,,,,
Decision Tree,cg24848035,cg19619405,cg00421624,cg14231297,0.97752809,0.940527104,0.987437186,0.980674157,0.953544317,0.989190875,,,,,,
Decision Tree,cg27494647,cg09554951,cg17152757,cg14231297,0.984269663,0.972441997,0.991172762,0.980224719,0.953293061,0.988941184,,,,,,
Decision Tree,cg24848035,cg16294013,cg13545212,cg14231297,0.984269663,0.972441997,0.991172762,0.982921348,0.952924195,0.990465904,,,,,,
Decision Tree,cg24848035,cg19619405,cg17152757,cg24604013,0.97752809,0.951165401,0.988679245,0.98247191,0.952924195,0.990459108,,,,,,
Decision Tree,cg24848035,cg14502484,cg17152757,cg24604013,0.979775281,0.948652839,0.986128625,0.982921348,0.952421683,0.989948984,,,,,,
Logistic Regression,cg24848035,cg10266490,cg17152757,cg24604013,0.986516854,0.945552229,0.9925,0.985168539,0.952304074,0.991728964,,,,,,
Decision Tree,cg24848035,cg19619405,cg04574090,cg14231297,0.973033708,0.929888806,0.986198243,0.981123596,0.952170426,0.989707993,,,,,,
Decision Tree,cg24848035,cg14502484,cg05863502,cg24604013,0.975280899,0.959291137,0.987373737,0.97752809,0.95203678,0.987658781,,,,,,
Decision Tree,cg24848035,cg16294013,cg00421624,cg14231297,0.979775281,0.951165401,0.988679245,0.979775281,0.951165401,0.988687813,,,,,,
Decision Tree,cg26405020,cg09554951,cg17152757,cg14231297,0.979775281,0.961803699,0.989924433,0.979325843,0.951165401,0.98868463,,,,,,
Decision Tree,cg01158680,cg03520644,cg17152757,cg14231297,0.986516854,0.973698279,0.992443325,0.979325843,0.950914145,0.988436818,,,,,,
Decision Tree,cg26405020,cg16294013,cg17152757,cg14231297,0.975280899,0.94990912,0.987405542,0.978876405,0.950914145,0.988426273,,,,,,
Decision Tree,cg24848035,cg22881914,cg17152757,cg14231297,0.97752809,0.951165401,0.988679245,0.982022472,0.950796536,0.990214418,,,,,,
Decision Tree,cg24848035,cg09554951,cg05863502,cg14231297,0.979775281,0.981824014,0.991150442,0.977977528,0.950662889,0.988176172,,,,,,
Decision Tree,cg24848035,cg09554951,cg17152757,cg24604013,0.97752809,0.940527104,0.987437186,0.982022472,0.95054528,0.989959711,,,,,,
Decision Tree,cg24848035,cg22881914,cg17152757,cg24604013,0.973033708,0.972441997,0.991172762,0.979775281,0.95054528,0.989960973,,,,,,
Decision Tree,cg24848035,cg10266490,cg17152757,cg14231297,0.975280899,0.928632524,0.984924623,0.982022472,0.950294023,0.989704875,,,,,,
Decision Tree,cg24848035,cg16294013,cg05863502,cg14231297,0.984269663,0.973698279,0.992443325,0.981123596,0.950294023,0.989712986,,,,,,
Decision Tree,cg24848035,cg14502484,cg00421624,cg14231297,0.984269663,0.951165401,0.988679245,0.982022472,0.950042767,0.989455178,,,,,,
Decision Tree,cg24848035,cg19619405,cg13545212,cg24604013,0.979775281,0.948652839,0.986128625,0.981123596,0.949540255,0.988943785,,,,,,
Decision Tree,cg18710784,cg09554951,cg17152757,cg14231297,0.979775281,0.961803699,0.989924433,0.979325843,0.949288998,0.988689828,,,,,,
Decision Tree,cg04037038,cg14502484,cg05863502,cg14231297,0.986516854,0.973698279,0.992443325,0.979325843,0.949037742,0.988440947,,,,,,
Decision Tree,cg24848035,cg14502484,cg17152757,cg16126280,0.979775281,0.952421683,0.989949749,0.982022472,0.948920133,0.990215514,,,,,,
Decision Tree,cg26405020,cg10266490,cg17152757,cg14231297,0.982022472,0.94990912,0.987405542,0.982022472,0.948166364,0.989456569,,,,,,
Decision Tree,cg04037038,cg14502484,cg17152757,cg14231297,0.982022472,0.961803699,0.989924433,0.97752809,0.948032717,0.987411614,,,,,,
Decision Tree,cg04037038,cg14502484,cg04574090,cg14231297,0.984269663,0.964316262,0.992462312,0.980224719,0.947915107,0.989207057,,,,,,
Decision Tree,cg01158680,cg09554951,cg13545212,cg14231297,0.982022472,0.961803699,0.989924433,0.979775281,0.947412595,0.988705909,,,,,,
Decision Tree,cg04037038,cg16294013,cg17152757,cg14231297,0.97752809,0.951165401,0.988679245,0.978876405,0.947161338,0.988443242,,,,,,
Decision Tree,cg24848035,cg09554951,cg13545212,cg14231297,0.979775281,0.969929434,0.988621997,0.978876405,0.946910082,0.988195087,,,,,,
Decision Tree,cg26405020,cg03520644,cg17152757,cg14231297,0.984269663,0.972441997,0.991172762,0.981573034,0.946541217,0.989729253,,,,,,
Decision Tree,cg01158680,cg14502484,cg04574090,cg14231297,0.986516854,0.963059981,0.991194969,0.978426966,0.94640757,0.987691856,,,,,,
Decision Tree,cg07445246,cg09554951,cg17152757,cg14231297,0.979775281,0.94990912,0.987405542,0.978426966,0.94640757,0.987682052,,,,,,
Decision Tree,cg24848035,cg19619405,cg05863502,cg24604013,0.97752809,0.928632524,0.984924623,0.978876405,0.94640757,0.987679111,,,,,,
Decision Tree,cg09293816,cg03520644,cg17152757,cg14231297,0.984269663,0.960547418,0.988650694,0.978426966,0.946156313,0.987434209,,,,,,
Decision Tree,cg24848035,cg10266490,cg05863502,cg14231297,0.975280899,0.940527104,0.987437186,0.979775281,0.945787448,0.988958203,,,,,,
Decision Tree,cg04037038,cg09554951,cg17152757,cg14231297,0.97752809,0.951165401,0.988679245,0.979775281,0.945787448,0.988956528,,,,,,
Decision Tree,cg04037038,cg19619405,cg04574090,cg14231297,0.97752809,0.958034855,0.986093552,0.977078652,0.945653801,0.986926346,,,,,,
Decision Tree,cg18710784,cg03520644,cg17152757,cg14231297,0.979775281,0.960547418,0.988650694,0.976629214,0.945653801,0.986924071,,,,,,
Decision Tree,cg26405020,cg14502484,cg17152757,cg14231297,0.982022472,0.952421683,0.989949749,0.979775281,0.945536192,0.988695552,,,,,,
Decision Tree,cg09293816,cg14502484,cg00421624,cg14231297,0.988764045,0.984336576,0.99369483,0.979775281,0.945536191,0.98871163,,,,,,
Decision Tree,cg27494647,cg14502484,cg04574090,cg14231297,0.988764045,0.97495456,0.993710692,0.976179775,0.945402545,0.986662244,,,,,,
Decision Tree,cg01158680,cg19619405,cg04574090,cg14231297,0.970786517,0.969929434,0.988621997,0.974382023,0.945402545,0.986674847,,,,,,
Decision Tree,cg24848035,cg14502484,cg00421624,cg24604013,0.966292135,0.948652839,0.986128625,0.97752809,0.945284935,0.988443307,,,,,,
Decision Tree,cg24848035,cg16294013,cg04574090,cg24604013,0.968539326,0.94990912,0.987405542,0.977078652,0.945033679,0.98818532,,,,,,
Decision Tree,cg24848035,cg22881914,cg04574090,cg14231297,0.97752809,0.940527104,0.987437186,0.978876405,0.945033679,0.988208995,,,,,,
Decision Tree,cg09293816,cg16294013,cg17152757,cg14231297,0.973033708,0.941783385,0.988707654,0.97752809,0.945033679,0.988194176,,,,,,
Decision Tree,cg24848035,cg10266490,cg13545212,cg24604013,0.979775281,0.952421683,0.989949749,0.981573034,0.94491607,0.989969723,,,,,,
Decision Tree,cg09293816,cg14502484,cg04574090,cg14231297,0.97752809,0.940527104,0.987437186,0.978426966,0.944782423,0.987941801,,,,,,
Decision Tree,cg07445246,cg19619405,cg05863502,cg14231297,0.973033708,0.917994226,0.983688833,0.978876405,0.944782423,0.987938824,,,,,,
Decision Tree,cg24848035,cg03520644,cg04574090,cg24604013,0.973033708,0.951165401,0.988679245,0.980224719,0.944664813,0.989720643,,,,,,
Decision Tree,cg07445246,cg19619405,cg00421624,cg14231297,0.973033708,0.938014541,0.98488665,0.977977528,0.944531166,0.987689137,,,,,,
Decision Tree,cg07445246,cg16294013,cg05863502,cg14231297,0.970786517,0.927376243,0.983647799,0.977977528,0.944531166,0.987683527,,,,,,
Decision Tree,cg07445246,cg16294013,cg00421624,cg14231297,0.973033708,0.938014541,0.98488665,0.97752809,0.94427991,0.987431857,,,,,,
Decision Tree,cg18710784,cg09554951,cg04574090,cg14231297,0.982022472,0.951165401,0.988679245,0.97752809,0.944028654,0.987180813,,,,,,
Decision Tree,cg24848035,cg22881914,cg00421624,cg14231297,0.97752809,0.940527104,0.987437186,0.980224719,0.943911045,0.988964533,,,,,,
Decision Tree,cg24848035,cg19619405,cg17152757,cg06274159,0.984269663,0.961803699,0.989924433,0.980674157,0.943911044,0.988963313,,,,,,
Decision Tree,cg24848035,cg10266490,cg13545212,cg14231297,0.973033708,0.929888806,0.986198243,0.979325843,0.943659788,0.988712974,,,,,,
Decision Tree,cg18710784,cg10266490,cg17152757,cg14231297,0.975280899,0.94990912,0.987405542,0.975730337,0.943526142,0.986665777,,,,,,
Decision Tree,cg26405020,cg19619405,cg04574090,cg14231297,0.970786517,0.947396557,0.984848485,0.975730337,0.943526141,0.986672431,,,,,,
Decision Tree,cg24848035,cg03520644,cg04574090,cg14231297,0.97752809,0.929888806,0.986198243,0.979775281,0.943408532,0.988461492,,,,,,
Decision Tree,cg24848035,cg19619405,cg17152757,cg13267264,0.973033708,0.938014541,0.98488665,0.979325843,0.943408532,0.98845079,,,,,,
Decision Tree,cg24848035,cg14502484,cg17152757,cg13267264,0.973033708,0.951165401,0.988679245,0.977977528,0.943408532,0.988447713,,,,,,
Decision Tree,cg24848035,cg14502484,cg13545212,cg24604013,0.979775281,0.94990912,0.987405542,0.979775281,0.943408532,0.988446955,,,,,,
Decision Tree,cg07445246,cg19619405,cg17152757,cg14231297,0.970786517,0.927376243,0.983647799,0.978876405,0.943157276,0.988202438,,,,,,
Decision Tree,cg04037038,cg19619405,cg17152757,cg14231297,0.979775281,0.960547418,0.988650694,0.978876405,0.943157276,0.988199239,,,,,,
Decision Tree,cg09293816,cg09554951,cg17152757,cg14231297,0.975280899,0.94990912,0.987405542,0.978426966,0.943157276,0.988207288,,,,,,
Decision Tree,cg09293816,cg14502484,cg17152757,cg14231297,0.982022472,0.931145087,0.987468672,0.979775281,0.943157276,0.988201128,,,,,,
Decision Tree,cg26405020,cg14502484,cg00421624,cg14231297,0.984269663,0.941783385,0.988707654,0.979775281,0.943157276,0.988194868,,,,,,
Decision Tree,cg24848035,cg14502484,cg17152757,cg01146232,0.982022472,0.961803699,0.989924433,0.982022472,0.943039666,0.989979137,,,,,,
Decision Tree,cg01158680,cg19619405,cg05863502,cg14231297,0.979775281,0.960547418,0.988650694,0.975280899,0.943023629,0.986158728,,,,,,
Decision Tree,cg01158680,cg16294013,cg13545212,cg14231297,0.973033708,0.958034855,0.986093552,0.974831461,0.943023629,0.98616456,,,,,,
Logistic Regression,cg07445246,cg16294013,cg17152757,cg14231297,0.973033708,0.900486475,0.985037406,0.975280899,0.943023629,0.986163755,,,,,,
Decision Tree,cg04037038,cg10266490,cg17152757,cg14231297,0.97752809,0.940527104,0.987437186,0.978426966,0.94290602,0.987942067,,,,,,
Decision Tree,cg22877509,cg09554951,cg17152757,cg14231297,0.984269663,0.951165401,0.988679245,0.979325843,0.942906019,0.987946908,,,,,,
Decision Tree,cg04037038,cg16294013,cg13545212,cg14231297,0.975280899,0.948652839,0.986128625,0.974831461,0.942772373,0.985909171,,,,,,
Decision Tree,cg01158680,cg16294013,cg17152757,cg14231297,0.975280899,0.940527104,0.987437186,0.97752809,0.942654763,0.987693459,,,,,,
Decision Tree,cg24848035,cg22881914,cg05863502,cg14231297,0.984269663,0.960547418,0.988650694,0.978876405,0.942654763,0.987691052,,,,,,
Decision Tree,cg26405020,cg19619405,cg17152757,cg14231297,0.979775281,0.938014541,0.98488665,0.979325843,0.942654763,0.987687348,,,,,,
Decision Tree,cg18710784,cg09554951,cg00421624,cg14231297,0.984269663,0.940527104,0.987437186,0.979325843,0.942654763,0.987691016,,,,,,
Decision Tree,cg24848035,cg09554951,cg04574090,cg14231297,0.966292135,0.907355929,0.98245614,0.977078652,0.942403507,0.987451099,,,,,,
Decision Tree,cg22877509,cg03520644,cg17152757,cg14231297,0.982022472,0.963059981,0.991194969,0.977078652,0.942403507,0.987446552,,,,,,
Decision Tree,cg01158680,cg09554951,cg05863502,cg14231297,0.97752809,0.971185716,0.98989899,0.976629214,0.942403507,0.987444307,,,,,,
Decision Tree,cg27494647,cg09554951,cg05863502,cg14231297,0.979775281,0.960547418,0.988650694,0.97752809,0.942403507,0.987439384,,,,,,
Decision Tree,cg07445246,cg19619405,cg17152757,cg24604013,0.973033708,0.940527104,0.987437186,0.976629214,0.942403507,0.987433883,,,,,,
Decision Tree,cg24848035,cg16294013,cg05863502,cg24604013,0.97752809,0.939270822,0.986163522,0.977977528,0.942403507,0.987433869,,,,,,
Decision Tree,cg18710784,cg09554951,cg13545212,cg14231297,0.982022472,0.963059981,0.991194969,0.976629214,0.942152251,0.987192541,,,,,,
Decision Tree,cg24848035,cg19619405,cg00421624,cg24604013,0.975280899,0.948652839,0.986128625,0.977078652,0.942152251,0.987181558,,,,,,
Decision Tree,cg18710784,cg19619405,cg17152757,cg14231297,0.973033708,0.951165401,0.988679245,0.975730337,0.942152251,0.987180938,,,,,,
Decision Tree,cg27494647,cg09554951,cg00421624,cg14231297,0.979775281,0.951165401,0.988679245,0.977078652,0.942152251,0.987186553,,,,,,
Decision Tree,cg24848035,cg10266490,cg17152757,cg13267264,0.970786517,0.939270822,0.986163522,0.979325843,0.942034641,0.988957806,,,,,,
Decision Tree,cg04037038,cg09554951,cg05863502,cg14231297,0.982022472,0.971185716,0.98989899,0.976629214,0.941900994,0.986940449,,,,,,
Decision Tree,cg04037038,cg19619405,cg13545212,cg14231297,0.973033708,0.959291137,0.987373737,0.975280899,0.941649738,0.98667879,,,,,,
Decision Tree,cg04037038,cg19619405,cg05863502,cg14231297,0.975280899,0.938014541,0.98488665,0.976629214,0.941649738,0.986673378,,,,,,
Decision Tree,cg24848035,cg16294013,cg17152757,cg06274159,0.982022472,0.951165401,0.988679245,0.979775281,0.941532128,0.988458389,,,,,,
Decision Tree,cg26405020,cg22881914,cg17152757,cg14231297,0.973033708,0.952421683,0.989949749,0.977078652,0.941280873,0.988210992,,,,,,
Decision Tree,cg07445246,cg09554951,cg05863502,cg14231297,0.973033708,0.940527104,0.987437186,0.977977528,0.941280872,0.988207959,,,,,,
Decision Tree,cg24848035,cg14502484,cg05863502,cg01146232,0.97752809,0.961803699,0.989924433,0.977977528,0.941280872,0.988207399,,,,,,
Decision Tree,cg04037038,cg03520644,cg17152757,cg14231297,0.979775281,0.961803699,0.989924433,0.977977528,0.941029616,0.987958856,,,,,,
Decision Tree,cg27494647,cg03520644,cg17152757,cg14231297,0.982022472,0.961803699,0.989924433,0.974831461,0.940895969,0.985912751,,,,,,
Decision Tree,cg24848035,cg09554951,cg05863502,cg24604013,0.975280899,0.939270822,0.986163522,0.977977528,0.94077836,0.987701068,,,,,,
Decision Tree,cg01158680,cg16294013,cg04574090,cg14231297,0.979775281,0.959291137,0.987373737,0.974831461,0.940644713,0.985663412,,,,,,
Decision Tree,cg27494647,cg14502484,cg00421624,cg14231297,0.973033708,0.964316262,0.992462312,0.971685393,0.940644713,0.985645419,,,,,,
Decision Tree,cg09293816,cg22881914,cg17152757,cg14231297,0.97752809,0.941783385,0.988707654,0.977078652,0.940527104,0.987444423,,,,,,
Decision Tree,cg26405020,cg14502484,cg04574090,cg14231297,0.982022472,0.953677964,0.991217064,0.977078652,0.940527103,0.987444419,,,,,,
Decision Tree,cg01158680,cg19619405,cg13545212,cg14231297,0.97752809,0.958034855,0.986093552,0.977977528,0.940527103,0.987442423,,,,,,
Decision Tree,cg01158680,cg14502484,cg05863502,cg14231297,0.988764045,0.97495456,0.993710692,0.977078652,0.940275847,0.987188456,,,,,,
Decision Tree,cg27494647,cg09554951,cg04574090,cg14231297,0.979775281,0.963059981,0.991194969,0.976179775,0.940275847,0.987205671,,,,,,
Decision Tree,cg01158680,cg14502484,cg17152757,cg14231297,0.973033708,0.906099647,0.981179423,0.978426966,0.940275847,0.987192937,,,,,,
Decision Tree,cg22877509,cg19619405,cg17152757,cg14231297,0.97752809,0.951165401,0.988679245,0.976629214,0.940275847,0.987190758,,,,,,
Decision Tree,cg24848035,cg09554951,cg00421624,cg14231297,0.97752809,0.948652839,0.986128625,0.977078652,0.940024591,0.986942776,,,,,,
Decision Tree,cg18710784,cg14502484,cg04574090,cg14231297,0.982022472,0.964316262,0.992462312,0.975730337,0.940024591,0.986934638,,,,,,
