Probe_ID,import_level_in_forest
cg03520644,0.003440719811420216
cg05047401,0.04371491524350681
cg06355129,0.003718369646376883
cg14156405,0.0
cg15031661,0.0006308897059246601
cg17154724,0.0002581751054852321
cg23049458,0.0003935461632590114
cg26841013,0.0021145629194564285
cg04037038,0.0008977583097200393
cg19053239,0.0010773098361501613
cg00907288,0.00017667493796526057
cg02164046,0.015936015622341138
cg27083087,0.00016061357996841885
cg00875805,0.00023036479818814193
cg03544320,0.000334760421161265
cg05164933,0.0
cg14866200,0.0019201783864794986
cg08862890,0.0009667700796676368
cg08481075,0.0016378371341866389
cg17264670,0.00032177882225335573
cg18675097,0.04225760401074928
cg00840332,0.004358727580424283
cg04778012,0.0007025113359789659
cg13476133,0.0003902082572159297
cg27494647,0.004597072544154139
cg04842146,0.0020103210076853036
cg07792478,0.0004292604501607717
cg16783744,0.008661413436579425
cg23290344,0.006223910088858069
cg24848035,0.038389126578843885
cg14416311,0.00025212056462056476
cg06304097,0.0
cg09053680,0.0
cg12377139,0.056039790483860034
cg22831607,0.00022975686370048116
cg24680586,0.0
cg12161228,0.0012537725621678333
cg14416371,0.0001408227848101266
cg19811337,0.002527732679684061
cg25774643,0.007438324087080252
cg00765705,0.014358171152069192
cg06947913,0.0001799615812354666
cg17241776,0.0033328368960529094
cg25032595,0.0002921926628823181
cg05057720,0.029429882271086352
cg07445246,0.0223147437763115
cg05905176,0.0
cg08680048,5.039229960365588e-05
cg18582992,0.0002794867036841428
cg02732252,0.0008875900172262736
cg03306374,0.0009845457395871262
cg16596604,0.00018376564718028128
cg00164949,0.000704793681421368
cg01452847,0.00020107882176847693
cg02374745,0.0020808582531991328
cg02745847,0.006120865002139557
cg04946749,0.0
cg05306745,0.0
cg14002960,0.0014357897010237363
cg02571816,0.0008871839202538267
cg07517893,0.005170976793130621
cg22694191,0.01834393625083982
cg25352836,0.07878962806283357
cg26870725,0.0019019989411924322
cg17508991,0.0007833264877347587
cg18759209,0.0
cg19593767,0.0
cg26995244,0.05384718362020742
cg00630958,0.00020715601686358194
cg04574507,1.4907918719168564e-05
cg05374271,0.002991390637701321
cg05799811,0.0
cg06203976,0.01586818726765029
cg07810039,0.00025777888116517713
cg09149672,0.0005784830311644191
cg09649610,0.0010369342044754565
cg10896862,0.0002513485272105962
cg11003133,0.015284793090204052
cg12280471,0.0018072705857637731
cg14856606,0.0346748139822348
cg17080882,0.015126508046731445
cg18877506,0.0009323787758515932
cg19313373,0.003084378644977794
cg22877509,0.0
cg24432768,0.001410394911571289
cg25839439,0.009523952289564678
cg26231761,0.011907713577251972
cg09211763,0.0
cg09499849,0.001181530762895699
cg12001304,0.0003522659806055806
cg15602548,0.06892624047707573
cg16751493,0.0021826640108953714
cg24749089,0.011024136129476683
cg01009664,0.00017389828736188065
cg02534363,0.0
cg04540383,0.0
cg15000071,0.024892029965381878
cg15873301,0.0006186693147964251
cg17578639,0.0012578417637488818
cg01114088,0.0
cg10019467,0.01296022009673543
cg13870520,0.00383112268693952
cg19974227,0.0
cg21899596,0.0010948030550012645
cg23750206,0.000346097221842202
cg25581330,0.001174429402277504
cg00489401,0.0
cg07100000,0.0036168677679766464
cg08351336,0.0001307436024213552
cg09651145,0.00041495595526754
cg12290311,0.0014537472993747858
cg07979401,0.002963521135166612
cg15925365,0.0026639645440023757
cg20624391,0.0008427406259684974
cg22871253,0.054012398602399064
cg23165899,0.00035992316247093314
cg24067911,0.008726105454935776
cg00029246,4.534538732777215e-05
cg00764217,0.00013769528012406583
cg01158680,0.0012819974608947438
cg01556466,0.023550149586180152
cg05158615,0.002333837173705044
cg07469637,0.002714389412969644
cg08991965,0.017670384630811026
cg16260298,0.0010983404229062662
cg17437939,0.0009246271343832319
cg18451588,0.00022495197654433325
cg21179088,0.0014897722630549375
cg03348397,0.0002226600369015229
cg04127342,0.007261731875048582
cg07581623,0.006215448009216531
cg09159022,0.0012642864372469636
cg14089503,0.004047082330537973
cg14284618,0.006510408772556561
cg24586039,0.0
cg25305774,0.005533516965215411
cg08076018,0.0
cg12717594,0.0024121314199586465
cg13670057,0.0006562811194537423
cg06169131,0.0
cg06276663,0.00027832504612690373
cg06974428,0.0019821713995301833
cg10119075,0.000137824235385211
cg04142864,0.0
cg05184519,0.019590391347528307
cg05327192,0.0023085520906220443
cg11718030,0.0002675049155280601
cg15918732,0.00014397799886758873
cg18282388,0.0029702009451139672
cg18710784,0.00584148560932273
cg25272143,0.0
cg00020799,1.0861098261627684e-05
cg05741937,0.0002686512487723907
cg07783282,0.0004110922875764107
cg12122146,0.00024002157497303157
cg13391820,0.0
cg15341350,0.0
cg24973993,0.0004323919734308817
cg13799919,0.0014359104894675295
cg16727923,0.0026552747346929124
cg01537995,0.0
cg12425861,0.000671823297382056
cg18081258,0.0
cg24319381,0.000605742644452322
cg26405020,8.41726958906702e-05
cg09743950,0.0
cg03635766,0.002300000631675332
cg04191427,0.002591662979093921
cg04918402,0.002393953517476852
cg10588135,0.0
cg11859607,0.0032706991171218922
cg03576469,0.002987235536050295
cg09293816,0.0004114553665040326
cg12034943,0.0010085154873038151
cg14945937,0.005202600076427204
cg21514227,0.002329764162948163
cg06571407,0.012330113917746039
cg10100887,0.02001609463583507
cg24182521,0.0003052518756698821
cg26029902,0.00017667493796526057
cg26186239,0.000397321428571429
cg19678828,0.0013910201761864163
cg20486569,0.00040201100859525203
