gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO
ACTBL2,cg20772593,-0.400823,TSS200,cg20772593,-0.394926,TSS200
ADAMTS16,cg15048991,0.428682,TSS1500,cg16508480,0.428322,TSS1500
ADCY4,cg14287235,0.447031,TSS1500,cg05031016,0.356912,TSS1500
B3GALT1,cg00282195,-0.413581,TSS1500,cg00282195,-0.358925,TSS1500
BMP10,cg10881615,-0.39008,TSS1500,cg10881615,-0.42439,TSS1500
BTG4,cg18515591,0.462752,TSS1500,cg18515591,0.350333,TSS1500
C10orf90,cg09621603,-0.436271,TSS200,cg09621603,-0.376375,TSS200
C1D,cg03138124,-0.398462,TSS1500,cg03138124,-0.405199,TSS1500
C6orf186,cg20737185,0.645586,TSS200,cg20737185,0.481006,TSS200
C8orf42,cg05142982,0.496476,TSS1500,cg05142982,0.352776,TSS1500
C8orf85,cg22869944,-0.453352,TSS1500,cg22869944,-0.412081,TSS1500
CCL7,cg01520122,-0.410935,TSS1500,cg01520122,-0.38603,TSS1500
CD40,cg19785066,0.404676,TSS1500,cg06571407,0.385795,TSS200
CHL1,cg01295518,0.507352,TSS1500,cg09861201,0.387957,TSS200
CLDN17,cg24936695,-0.412179,TSS200,cg17628023,-0.376336,TSS1500
CLRN1,cg24721964,-0.437084,TSS1500,cg16118414,-0.386823,TSS200
CLSTN2,cg02315940,0.407548,TSS200,cg11993539,0.386984,TSS200
CMTM3,cg16335762,0.504089,TSS1500,cg16335762,0.427979,TSS1500
CNTNAP2,cg23708361,0.461906,TSS200,cg23708361,0.419104,TSS200
COL23A1,cg07765621,0.434559,TSS1500,cg10730712,0.390867,TSS1500
COL4A1,cg27546237,0.58146,TSS1500,cg01956420,0.401242,TSS200
DOK6,cg27347269,0.586106,TSS1500,cg12799689,0.444457,TSS1500
DRD4,cg00556112,0.501686,TSS200,cg12928379,0.40505,TSS200
EFS,cg18844382,0.503696,TSS200,cg14370314,0.365811,TSS200
EIF3IP1,cg08496664,-0.403792,TSS1500,cg04454807,-0.371508,TSS200
ESRRG,cg00913949,0.464623,TSS1500,cg21784383,0.366246,TSS200
EYA4,cg20286200,0.605971,TSS1500,cg11664500,0.429873,TSS200
FAM184B,cg02108033,0.444891,TSS200,cg02108033,0.376759,TSS200
FAM19A4,cg09868336,0.522221,TSS200,cg04347354,0.369092,TSS1500
FAM5C,cg23010538,0.434187,TSS1500,cg23010538,0.386389,TSS1500
FBN2,cg11965976,0.613754,TSS1500,cg25532099,0.436135,TSS1500
FIGN,cg04457196,0.558779,TSS1500,cg03878133,0.448518,TSS1500
FLG,cg10500702,-0.409564,TSS1500,cg10500702,-0.362835,TSS1500
FOXI2,cg16642284,0.546439,TSS200,cg08829841,0.423216,TSS200
GAP43,cg05773207,-0.408279,TSS1500,cg23385162,-0.419595,TSS1500
GATA2,cg19638477,0.531777,TSS1500,cg13483882,0.385003,TSS1500
