ID,dbeta,UCSC_RefGene_Name,UCSC_RefGene_Group
cg16531903,0.013320545377980317,A1CF,TSS1500
cg27166707,-0.006353760557503567,A2M,Body
cg24309769,-0.07459705663043481,A2ML1,Body
cg13001012,0.007991043685354552,AADAC,TSS1500
cg25628542,0.03753614386645983,AADAT,Body
cg20367788,0.0017412954085841597,AAGAB,Body
cg09382492,0.016533288175120578,AANAT,Body
cg01748703,0.01271628773649564,AASS,Body
cg10760240,0.05401879825652187,AATF,3'UTR
cg16586594,0.02414307527345554,ABAT,5'UTR
cg13571501,0.007755338152174098,ABCA1,Body
cg14019757,0.0001589620652173834,ABCA10,5'UTR
cg13970341,-0.01588845835583523,ABCA2,TSS1500
cg16463165,0.009647318485177853,ABCA3,Body
cg04350215,0.01528988820380437,ABCA4,Body
cg06409153,-0.007948557382187926,ABCA5,TSS1500
cg17334372,0.00696959373517795,ABCA8,Body
cg12504828,0.007700045526755879,ABCA9,3'UTR
cg16772035,0.002945723956521736,ABCB1,5'UTR
cg00295325,0.0032556593499998066,ABCB11,TSS200
cg02000606,0.0069186955405140145,ABCB4,Body
cg14878128,0.028270461109565173,ABCB5,TSS200
cg02776283,-0.00794245584218995,ABCB6,3'UTR
cg02196379,0.024614211355249188,ABCC1,Body
cg23781719,0.005271429159420241,ABCC10,TSS1500
cg08536561,0.006882518478260871,ABCC11,Body
cg02672229,0.0069520827430827985,ABCC2,Body
cg20004659,0.009259601167391256,ABCC3,Body
cg11744861,0.023447166699859728,ABCC4,Body
cg00581783,0.006430386003864363,ABCC5,Body
cg10024478,0.00645986644861635,ABCC6,3'UTR
cg09575421,0.010349719217391617,ABCC8,Body
cg26690672,0.010454381248913153,ABCE1,Body
cg05639842,-0.029205408118513323,ABCG1,TSS1500
cg24352530,-0.004714570251263928,ABCG2,TSS1500
cg06622994,0.010725947581235816,ABCG4,3'UTR
cg03432151,0.010937354369565276,ABHD2,3'UTR
cg24595152,-0.009770777152173808,ABHD5,Body
cg01953156,0.007356596655072396,ABHD6,3'UTR
cg06020978,0.012495057438127148,ABI1,Body
cg10340038,-0.008625335389565196,ABI2,Body
cg21400896,0.009786719352033737,ABI3,Body
cg22532079,0.02183128731739133,ABI3BP,Body
cg08417804,-0.018680779980237133,ABL1,TSS1500
cg13927605,0.00890654310351961,ABL2,TSS1500
cg21160290,0.02442956230797096,ABO,Body
cg01978703,-0.04480622065217388,ABR,Body
cg20276743,0.017759199173912728,ACACA,Body
cg23921871,0.010883715923154604,ACACB,1stExon
cg19037107,-0.005400251123188523,ACAD8,Body
cg06062084,-0.015132808781055971,ACADL,TSS200
cg10523679,0.02010741427445644,ACADM,TSS1500
cg19719987,0.008699034280435058,ACADS,Body
cg04886934,0.019866809130434843,ACAN,Body
cg25472589,0.006294651364509788,ACAT1,Body
cg03373185,-0.025870560624999994,ACBD5,1stExon
cg18265608,0.008057574304347706,ACCS,TSS1500
cg05241309,0.0028730259782609457,ACD,3'UTR
cg01489398,0.007846669500000007,ACE,Body
cg14628274,0.006929269128260996,ACER2,Body
cg11385616,0.007923025750988034,ACHE,Body
cg04735908,-0.005020587879227026,ACIN1,Body
cg14583225,-0.007258463473649351,ACLY,5'UTR
cg01130192,-0.0034927985848861097,ACO1,5'UTR
cg08172947,-0.003284741978260952,ACO2,Body
cg11177235,0.010766364683518749,ACOT11,Body
cg11723698,0.021189397183794614,ACOT7,Body
cg23099439,0.007765079106592055,ACOX1,3'UTR
cg27226618,0.006285325653209331,ACP1,Body
cg17658002,-0.011268111154462293,ACP5,TSS1500
cg05615487,0.008977446372216091,ACR,TSS1500
cg10282807,0.008714533935340014,ACRBP,1stExon
cg13642872,0.013060478367007489,ACSBG1,TSS1500
cg03977443,0.007341332043478368,ACSL1,Body
cg25670688,0.009734016071014205,ACSL5,Body
cg09035699,0.015489271618012335,ACSL6,Body
cg02193806,0.026347218605072414,ACSM3,5'UTR
cg03321508,-0.009211980961956528,ACSS1,TSS200
cg06342430,0.0191115956360088,ACSS2,TSS1500
cg11649376,0.004921083750329322,ACSS3,Body
cg05353133,0.007901620012422398,ACTA1,Body
cg01741041,0.007816831086956544,ACTB,Body
cg13303682,0.004043526304347772,ACTBL2,1stExon
cg10607155,-0.02305907817391301,ACTG1,TSS1500
cg25118606,0.005410322400000073,ACTG2,5'UTR
cg03839554,-0.00411764337681159,ACTL6A,TSS1500
