Model,ID1,ID2,ID3,ID4,accuracy,AUC,f1_score,sensitivity,specificity,precision,accuracy,AUC,f1_score,sensitivity,specificity,precision,,,,,,,,,
XGBoost,RGS22,SLC6A3,GHSR,ZSCAN18,0.53015873,0.529411765,0.542857143,0.558823529,0.5,0.527777778,0.565132275,0.564705882,0.587017277,0.620588235,0.508823529,0.558418187,,,,,,,,,
XGBoost,RGS22,SLC6A3,KCNE3,ZSCAN18,0.544708995,0.544117647,0.550724638,0.558823529,0.529411765,0.542857143,0.544708995,0.539705882,0.566672253,0.605882353,0.473529412,0.533695235,,,,,,,,,
XGBoost,MIR124-2,SLC6A3,KCNE3,ZSCAN18,0.508465608,0.507352941,0.510948905,0.514705882,0.5,0.507246377,0.524232804,0.526470588,0.536570027,0.555882353,0.497058824,0.523710446,,,,,,,,,
XGBoost,MIR124-2,SLC6A3,GHSR,ZSCAN18,0.479365079,0.477941176,0.481751825,0.485294118,0.470588235,0.47826087,0.516931217,0.517647059,0.540597295,0.573529412,0.461764706,0.513541526,,,,,,,,,
RandomForest,RGS22,SLC6A3,GHSR,ZSCAN18,0.573809524,0.573529412,0.608108108,0.661764706,0.485294118,0.5625,,,,,,,,,,,,,,,
RandomForest,RGS22,SLC6A3,KCNE3,ZSCAN18,0.544708995,0.544117647,0.586666667,0.647058824,0.441176471,0.536585366,,,,,,,,,,,,,,,
RandomForest,MIR124-2,SLC6A3,GHSR,ZSCAN18,0.478571429,0.477941176,0.496453901,0.514705882,0.441176471,0.479452055,,,,,,,,,,,,,,,
RandomForest,MIR124-2,SLC6A3,KCNE3,ZSCAN18,0.493386243,0.492647059,0.536912752,0.588235294,0.397058824,0.49382716,,,,,,,,,,,,,,,
SVM,RGS22,SLC6A3,GHSR,ZSCAN18,0.573809524,0.573529412,0.618421053,0.691176471,0.455882353,0.55952381,,,,,,,,,,,,,,,
SVM,RGS22,SLC6A3,KCNE3,ZSCAN18,0.581216931,0.580882353,0.62745098,0.705882353,0.455882353,0.564705882,,,,,,,,,,,,,,,
SVM,MIR124-2,SLC6A3,GHSR,ZSCAN18,0.559259259,0.558823529,0.605263158,0.676470588,0.441176471,0.547619048,,,,,,,,,,,,,,,
SVM,MIR124-2,SLC6A3,KCNE3,ZSCAN18,0.574074074,0.573529412,0.623376623,0.705882353,0.441176471,0.558139535,,,,,,,,,,,,,,,
Logistic Regression,RGS22,SLC6A3,GHSR,ZSCAN18,0.55952381,0.558823529,0.577464789,0.602941176,0.514705882,0.554054054,,,,,,,,,,,,,,,
Logistic Regression,RGS22,SLC6A3,KCNE3,ZSCAN18,0.552116402,0.551470588,0.579310345,0.617647059,0.485294118,0.545454545,,,,,,,,,,,,,,,
Logistic Regression,MIR124-2,SLC6A3,GHSR,ZSCAN18,0.567195767,0.566176471,0.598639456,0.647058824,0.485294118,0.556962025,,,,,,,,,,,,,,,
Logistic Regression,MIR124-2,SLC6A3,KCNE3,ZSCAN18,0.55978836,0.558823529,0.583333333,0.617647059,0.5,0.552631579,,,,,,,,,,,,,,,
Decision Tree,RGS22,SLC6A3,GHSR,ZSCAN18,0.588359788,0.588235294,0.588235294,0.588235294,0.588235294,0.588235294,,,,,,,,,,,,,,,
Decision Tree,RGS22,SLC6A3,KCNE3,ZSCAN18,0.500793651,0.477941176,0.489208633,0.5,0.455882353,0.478873239,,,,,,,,,,,,,,,
Decision Tree,MIR124-2,SLC6A3,GHSR,ZSCAN18,0.507671958,0.522058824,0.471544715,0.426470588,0.617647059,0.527272727,,,,,,,,,,,,,,,
Decision Tree,MIR124-2,SLC6A3,KCNE3,ZSCAN18,0.478042328,0.485294118,0.47761194,0.470588235,0.5,0.484848485,,,,,,,,,,,,,,,
