Probe_ID,import_score_in_rfecv,import_rank_in_rfecv,should_use
cg03520644,0.10777542248165217,84,False
cg05047401,0.16382232764033183,1,True
cg06355129,0.1938230441245673,82,False
cg07790615,0.20229437889755938,128,False
cg09106903,0.20818895467088394,44,False
cg14156405,0.21398816013277405,78,False
cg14669379,0.2276475862835688,246,False
cg15031661,0.23642098148743793,11,False
cg17154724,0.24629774212980243,1,True
cg18279094,0.26018212418864317,280,False
cg18770350,0.257334221065907,144,False
cg23049458,0.2592064278123772,1,True
cg24932457,0.25930623954601595,176,False
cg26841013,0.2697261311114082,277,False
cg00097146,0.2740126854059598,71,False
cg04037038,0.27566332790492415,61,False
cg07974511,0.27623546516430925,68,False
cg09238180,0.2772056613875621,39,False
cg09799983,0.2794455677051476,1,True
cg10364040,0.27971762183074694,230,False
cg11546137,0.28063004829233124,13,False
cg19053239,0.2807182352043348,258,False
cg21185289,0.2809346299556301,273,False
cg22511877,0.2835180816964359,272,False
cg22674699,0.2849114990650959,222,False
cg00907288,0.28514561130549587,286,False
cg02164046,0.2897917062997398,108,False
cg04738965,0.28952275950225725,1,True
cg12338417,0.28822783638146326,1,True
cg12702981,0.29124541665742115,270,False
cg16768018,0.29174686056197896,1,True
cg17373442,0.290821242651921,159,False
cg20072171,0.2924244722678186,234,False
cg27083087,0.2927855914302029,271,False
cg00875805,0.2960520399389051,173,False
cg03544320,0.2949299862865543,4,False
cg05164933,0.29563173118146063,100,False
cg05835105,0.29594602144670973,79,False
cg06083330,0.2954395923433446,212,False
cg14866200,0.2949156481979206,267,False
cg17265829,0.29425323969295974,242,False
cg00396667,0.2936890177857784,1,True
cg00582971,0.2948265026820976,149,False
cg03604011,0.2957729401233984,245,False
cg08862890,0.2965780891211473,231,False
cg10530883,0.29600344526005123,18,False
cg13667243,0.2980515830396365,90,False
cg14502484,0.29891125963325005,1,True
cg16126280,0.30072939789471037,118,False
cg22784954,0.3021472844974407,162,False
cg26844246,0.30233396644200744,65,False
cg05452406,0.3012267446680346,81,False
cg06392169,0.3010006623483146,22,False
cg08481075,0.30000600527153126,2,False
cg08958294,0.2996730157149848,93,False
cg17264670,0.2981100287121717,141,False
cg17302155,0.30035497594381033,276,False
cg18675097,0.2991901521990209,1,True
cg26422161,0.30105431515389247,88,False
cg27252696,0.30132265438618583,198,False
cg00840332,0.30146873321288326,147,False
cg04778012,0.30203468304124115,195,False
cg06173663,0.3005623397511467,116,False
cg13476133,0.3014726348608322,138,False
cg14625175,0.3027041160009991,16,False
cg15564098,0.30265651496035006,6,False
cg18952796,0.30296179831442666,59,False
cg21637392,0.30294835606950254,92,False
cg26521404,0.3027947182677052,15,False
cg27494647,0.3024122486505391,253,False
cg04842146,0.3042222566076468,132,False
cg07792478,0.30413608009329096,179,False
cg13267264,0.30589136463801136,265,False
cg16783744,0.3063928795015502,199,False
cg22052659,0.30744142167796834,218,False
cg23290344,0.3082185195639224,210,False
cg24848035,0.3078926064307212,1,True
cg05863502,0.3082638417843168,5,False
cg13482308,0.3071553857182213,47,False
cg13759674,0.30974992171347215,1,True
cg13791254,0.308483170853387,196,False
cg14416311,0.30854591117876523,1,True
cg14425564,0.3085136878734659,1,True
cg06304097,0.3095106344671559,122,False
cg09053680,0.3095026248269944,228,False
cg11174855,0.3090165383536463,151,False
cg12377139,0.30883235638891726,95,False
cg14861089,0.3091101507867482,70,False
cg17538572,0.30922235338627735,1,True
cg22831607,0.3087939127053748,249,False
cg24680586,0.30915148377851487,52,False
cg09554951,0.30989306262713,1,True
cg10244666,0.3093606590124752,213,False
cg12161228,0.3096265566864573,256,False
cg14416371,0.3090864746774682,1,True
cg18372607,0.30998003114354616,254,False
cg19811337,0.30972043046985787,1,True
cg25774643,0.3094083832355574,1,True
cg00765705,0.3094781277350214,206,False
cg05860723,0.31014829953192286,171,False
cg06947913,0.31137366716168713,94,False
cg19619405,0.31166416819482035,186,False
cg20399616,0.31091496603677404,278,False
cg25136495,0.31019712300539204,1,True
cg17241776,0.3104638290685031,1,True
cg20985450,0.3099704593955833,1,True
cg24604013,0.3102423472598422,1,True
cg25032595,0.3094283700109009,1,True
cg26299169,0.3093557642865419,177,False
cg26444528,0.30851152339893356,216,False
cg27360326,0.30847861480775257,150,False
cg00800229,0.3110189488974807,121,False
cg02874376,0.30921299652391465,207,False
cg04415798,0.3090389192626266,1,True
cg05057720,0.3091875895315539,10,False
cg07445246,0.3075708926645272,1,True
cg07489048,0.30773744141862247,247,False
cg13019491,0.30900494230673303,72,False
cg13023623,0.31050628187962104,1,True
cg20965743,0.30919279299500324,217,False
cg23248887,0.30935247647106995,1,True
cg23906738,0.3099937393047189,125,False
cg27317046,0.30973196631526967,237,False
cg05905176,0.31015315959883843,129,False
cg08680048,0.31039568085712527,119,False
cg18582992,0.30963077593585,89,False
cg02732252,0.3082045060929029,1,True
cg03306374,0.30773981195673406,91,False
cg05520409,0.30749860326232936,1,True
cg16596604,0.3078612772243532,1,True
cg26860604,0.30799006544710084,1,True
cg27267227,0.30812080875484577,142,False
cg00164949,0.3072835008033037,1,True
cg01452847,0.3073620267373746,38,False
cg02374745,0.3073149372890053,111,False
cg02745847,0.305029064178962,126,False
cg04946749,0.305994795581645,130,False
cg05306745,0.30607164042993346,193,False
cg13545212,0.30543443080040733,1,True
cg14754787,0.30565464105203394,51,False
cg03502002,0.30499449549251173,48,False
cg13096208,0.3053898307433318,1,True
cg14002960,0.30688722512663774,194,False
cg25547580,0.30677610693913426,209,False
cg02571816,0.3062902908229042,1,True
cg07517893,0.30540670427963656,1,True
cg14231297,0.3051091144635635,124,False
cg15215348,0.3053601847000439,172,False
cg22694191,0.3065776635438574,110,False
cg25352836,0.30633035816749243,1,True
cg26870725,0.30673438122200636,1,True
cg03774514,0.3062244524381912,36,False
cg07113642,0.30704632066601156,190,False
cg07676859,0.3067444850120878,97,False
cg17508991,0.3078791208353936,203,False
cg18369516,0.30727652981534853,1,True
cg18759209,0.306811786247503,260,False
cg19593767,0.3059706020099348,1,True
cg22348992,0.30533540321864133,29,False
cg22474464,0.3058374056120998,225,False
cg26132320,0.30455427203091184,239,False
cg26492446,0.3051604754321886,112,False
cg11213574,0.3048586776750731,200,False
cg26995244,0.3045202663427696,268,False
cg00421624,0.30427451287597024,1,True
cg00630958,0.30462644991551063,23,False
cg02177231,0.3040881067931287,157,False
cg03082523,0.3060899928687312,1,True
cg04574507,0.3050814357511817,264,False
cg05374271,0.3032015151437925,283,False
cg05799811,0.3040589393799008,40,False
cg06203976,0.30376301518160753,75,False
cg06215569,0.3044710993103369,243,False
cg06880420,0.30480748516584705,1,True
cg07810039,0.30471068368022597,1,True
cg09149672,0.30468410443747695,55,False
cg09649610,0.30523903383831963,181,False
cg10266490,0.30456289552443516,202,False
cg10896862,0.3032940311479214,32,False
cg10976772,0.30364908189943546,133,False
cg11003133,0.3026112232789552,1,True
cg11388802,0.30361561331721415,152,False
cg12280471,0.3035685505285171,63,False
cg12636785,0.3039405139980659,143,False
cg14856606,0.3049758068166618,1,True
cg16294013,0.3054601749184683,85,False
cg17080882,0.30427673607514477,1,True
cg18877506,0.30420796893090796,153,False
cg19313373,0.30402323142835347,1,True
cg21291134,0.30401138548767676,145,False
cg22719314,0.3038574325289998,20,False
cg22877509,0.30363081068833775,105,False
cg24432768,0.3044471439650958,282,False
cg25025181,0.3042612683536188,214,False
cg25259754,0.30435209385782486,279,False
cg25762679,0.3041657237712395,167,False
cg25839439,0.3044421270127071,255,False
cg26026748,0.3042674107642165,1,True
cg26231761,0.30465776531758026,56,False
cg05385513,0.3032278645102117,244,False
cg06714480,0.30256759722786,165,False
cg07847030,0.3029930903534597,1,True
cg09211763,0.30215805612676416,58,False
cg09499849,0.30212676957207624,12,False
cg12001304,0.3028955117613597,87,False
cg13713922,0.3028682822356569,49,False
cg15133719,0.3028408225906464,241,False
cg15602548,0.30305243268818544,1,True
cg16751493,0.3020654528527932,1,True
cg19370054,0.30274014710988206,1,True
cg24749089,0.30261507522937986,166,False
cg01009664,0.3027293652330001,184,False
