Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration,Probe_ID,import_level_in_forest,gene,iteration
cg25352836,0.09071279250339383,TSSK6,1,cg25352836,0.06466856325349046,TSSK6,2,cg25352836,0.039973020511165414,TSSK6,3,cg25352836,0.03990119836948213,TSSK6,4,cg25352836,0.04995504080070237,TSSK6,5
cg26444528,0.054184493328471306,PCDH17,1,cg26444528,0.05509471702354594,PCDH17,2,cg26444528,0.0822724731460512,PCDH17,3,cg26444528,0.0650431926053255,PCDH17,4,cg26444528,0.06636727062405087,PCDH17,5
cg17241776,0.03695603363992857,DLEU7,1,cg17241776,0.005368989966128968,DLEU7,2,cg17241776,0.008739883829556165,DLEU7,3,cg17241776,0.009944980893539113,DLEU7,4,cg17241776,0.0129580341460133,DLEU7,5
cg18675097,0.03496847538450003,NKAPL,1,cg18675097,0.05887804361455536,NKAPL,2,cg18675097,0.0922151528027766,NKAPL,3,cg18675097,0.04187591738301756,NKAPL,4,cg18675097,0.07763309702380766,NKAPL,5
cg02164046,0.031408574932695985,SST,1,cg02164046,0.001562767367786733,SST,2,cg02164046,0.017847816621374055,SST,3,cg02164046,0.016838339420711917,SST,4,cg02164046,0.0328015481943081,SST,5
cg12377139,0.02957620936705611,SPAG6,1,cg12377139,0.020189058779766896,SPAG6,2,cg12377139,0.01701726101571529,SPAG6,3,cg12377139,0.036787322034139786,SPAG6,4,cg12377139,0.018696990825573988,SPAG6,5
cg05057720,0.028550389458827617,CLEC14A,1,cg05057720,0.025596815368467328,CLEC14A,2,cg05057720,0.010181534508343906,CLEC14A,3,cg05057720,0.02141630642141764,CLEC14A,4,cg05057720,0.018383821875735208,CLEC14A,5
cg24848035,0.02585683429724529,RGS22,1,cg24848035,0.01309762584873734,RGS22,2,cg24848035,0.0103340269193465,RGS22,3,cg24848035,0.028870964644407655,RGS22,4,cg24848035,0.023028214246986905,RGS22,5
cg03520644,0.019891910584588116,COL11A1,1,cg03520644,0.012658178498490297,COL11A1,2,cg03520644,0.00857908600589406,COL11A1,3,cg03520644,0.004637378554980384,COL11A1,4,cg03520644,0.0036182491681809245,COL11A1,5
cg23049458,0.016531323502299904,L1TD1,1,cg23049458,0.02422129675117507,L1TD1,2,cg23049458,0.0175822898427429,L1TD1,3,cg23049458,0.011524996269911183,L1TD1,4,cg23049458,0.016694865804516353,L1TD1,5
cg15031661,0.01606902481996856,FMN2,1,cg15031661,0.0033861268335275358,FMN2,2,cg15031661,0.0017513169275830648,FMN2,3,cg15031661,0.006496629013066239,FMN2,4,cg15031661,0.0003540943287037038,FMN2,5
cg13670057,0.015760438824680097,ABL1,1,cg13670057,0.00036462867563558267,ABL1,2,cg13670057,0.000781627101638512,ABL1,3,cg13670057,0.0038723532254866674,ABL1,4,cg13670057,0.00040491355777979985,ABL1,5
cg07445246,0.012158737689425953,TCL1A,1,cg07445246,0.0374401026764165,TCL1A,2,cg07445246,0.007843073150712802,TCL1A,3,cg07445246,0.017323356422275706,TCL1A,4,cg07445246,0.002547935899595906,TCL1A,5
cg26870725,0.009111119345633415,MAST1,1,cg26870725,0.0,MAST1,2,cg26870725,0.0049884939284784765,MAST1,3,cg26870725,0.00725358509073743,MAST1,4,cg26870725,0.007328469217095561,MAST1,5
cg05047401,0.00882206855390995,SEMA4A,1,cg05047401,0.0487374848305877,SEMA4A,2,cg05047401,0.04116838141884967,SEMA4A,3,cg05047401,0.0444473117557571,SEMA4A,4,cg05047401,0.04208272641217083,SEMA4A,5
cg26132320,0.008152841518625813,MMP9,1,cg26132320,0.009335961763836099,MMP9,2,cg26132320,0.0071260150147844864,MMP9,3,cg26132320,0.007297503124044515,MMP9,4,cg26132320,0.0007244792185421194,MMP9,5
cg07517893,0.00786644430336019,PPP1R13L,1,cg07517893,0.001262825322691945,PPP1R13L,2,cg07517893,0.006883118384082855,PPP1R13L,3,cg07517893,0.006232996433273624,PPP1R13L,4,cg07517893,0.0011338682033672676,PPP1R13L,5
cg27494647,0.007105629155928763,RARRES2,1,cg27494647,0.0003339900553522844,RARRES2,2,cg27494647,0.0014331538289130191,RARRES2,3,cg27494647,0.00037410351124308246,RARRES2,4,cg27494647,0.0004685611711784289,RARRES2,5
cg08481075,0.004834603159349994,COL11A2,1,cg08481075,0.0008716168091168092,COL11A2,2,cg08481075,0.0,COL11A2,3,cg08481075,0.0003770227908158943,COL11A2,4,cg08481075,0.00038476699090851305,COL11A2,5
cg19811337,0.004236090181963619,MAP3K11,1,cg19811337,0.0027356419798251603,MAP3K11,2,cg19811337,0.01617531750649763,MAP3K11,3,cg19811337,0.01771717953614638,MAP3K11,4,cg19811337,0.005783597198052776,MAP3K11,5
cg00765705,0.003595680194310096,NCOR2,1,cg00765705,0.0027410467490130413,NCOR2,2,cg00765705,0.010356988439762637,NCOR2,3,cg00765705,0.0,NCOR2,4,cg00765705,0.008354115325629567,NCOR2,5
