estimator_name,gene_0,gene_1,gene_2,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
XGBoost,CFTR,LAMA4,TMEM196,0.950530035335689,0.9779559118236473,0.746268656716418,0.9663366336633663,0.9721115537848606,0.9807525498758712,0.7544844985577165,0.975609756097561
XGBoost,SYN2,LAMA4,TMEM196,0.950530035335689,0.9779559118236473,0.746268656716418,0.9663366336633663,0.9721115537848606,0.9807525498758712,0.7544844985577165,0.975609756097561
XGBoost,HCK,SBK2,WISP1,0.9770318021201413,0.9899799599198397,0.8805970149253731,0.9840637450199203,0.987012987012987,0.9921783866239943,0.8880818723712983,0.988791032826261
XGBoost,PTPRN,SBK2,WISP1,0.9734982332155477,0.9859719438877755,0.8805970149253731,0.984,0.984984984984985,0.9925522687165376,0.8722356484959254,0.9855769230769231
XGBoost,HCK,LAMA4,SIM1,0.9628975265017667,0.9919839679358717,0.746268656716418,0.966796875,0.9792284866468842,0.9753237818921424,0.8118219945717832,0.9868421052631579
XGBoost,HCK,LAMA4,MIR921,0.9469964664310954,0.9739478957915831,0.746268656716418,0.9662027833001988,0.9700598802395209,0.9695659976669757,0.7397696422552881,0.9723889555822329
XGBoost,CFTR,LEP,MIR921,0.9858657243816255,0.9919839679358717,0.9402985074626866,0.9919839679358717,0.9919839679358717,0.9974576017707055,0.9322824753985584,0.9919839679358717
XGBoost,PTPRN,LEP,MIR921,0.9823321554770318,0.9859719438877755,0.9552238805970149,0.9939393939393939,0.9899396378269618,0.9957975652798133,0.9179856495828413,0.9875551987153753
XGBoost,C7orf16,SYN2,WISP1,0.9664310954063604,0.9759519038076152,0.8955223880597015,0.9858299595141701,0.9808660624370594,0.9940777076541142,0.8449140492132778,0.9779116465863453
XGBoost,ZNF177,SYN2,WISP1,0.9699646643109541,0.9779559118236473,0.9104477611940298,0.9878542510121457,0.9828801611278952,0.987168366583914,0.8613274673851173,0.9799196787148594
XGBoost,C7orf16,SFRP2,SLC4A11,0.9664310954063604,0.9839679358717435,0.835820895522388,0.9780876494023905,0.981018981018981,0.9850895821493734,0.8362725196850321,0.9827862289831866
XGBoost,MIR921,SFRP2,SLC4A11,0.9628975265017667,0.969939879759519,0.9104477611940298,0.9877551020408163,0.9787664307381193,0.9881853258756319,0.8341742417003136,0.9734513274336283
XGBoost,C7orf16,SYN2,WISP1,0.9664310954063604,0.9759519038076152,0.8955223880597015,0.9858299595141701,0.9808660624370594,0.9940777076541142,0.8449140492132778,0.9779116465863453
XGBoost,ZNF177,SYN2,WISP1,0.9699646643109541,0.9779559118236473,0.9104477611940298,0.9878542510121457,0.9828801611278952,0.987168366583914,0.8613274673851173,0.9799196787148594
XGBoost,CFTR,LAMA4,TMEM196,0.950530035335689,0.9779559118236473,0.746268656716418,0.9663366336633663,0.9721115537848606,0.9807525498758712,0.7544844985577165,0.975609756097561
XGBoost,SYN2,LAMA4,TMEM196,0.950530035335689,0.9779559118236473,0.746268656716418,0.9663366336633663,0.9721115537848606,0.9807525498758712,0.7544844985577165,0.975609756097561
XGBoost,HCK,SBK2,WISP1,0.9770318021201413,0.9899799599198397,0.8805970149253731,0.9840637450199203,0.987012987012987,0.9921783866239943,0.8880818723712983,0.988791032826261
XGBoost,PTPRN,SBK2,WISP1,0.9734982332155477,0.9859719438877755,0.8805970149253731,0.984,0.984984984984985,0.9925522687165376,0.8722356484959254,0.9855769230769231
XGBoost,HCK,LAMA4,SIM1,0.9628975265017667,0.9919839679358717,0.746268656716418,0.966796875,0.9792284866468842,0.9753237818921424,0.8118219945717832,0.9868421052631579
XGBoost,HCK,LAMA4,MIR921,0.9469964664310954,0.9739478957915831,0.746268656716418,0.9662027833001988,0.9700598802395209,0.9695659976669757,0.7397696422552881,0.9723889555822329
