Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
AHRR,3,cg03604011,AHRR,0.609061662,0.609061662,347.0,345.0,328.0,0.926651736
ALX3,3,cg06215569,ALX3,0.698367347,0.698367347,297.0,296.5,272.0,0.784754439
BNC1,3,cg09180848,BNC1,0.861333333,0.861333333,85.0,85.0,178.0,0.807604117
CREB3L2,3,cg18091615,CREB3L2,0.699782609,0.699782609,294.0,294.0,270.0,0.678718072
CUX1,3,cg06173663,CUX1,0.74,0.74,247.5,247.5,233.0,0.692129259
EBF1,3,cg16126280,EBF1,0.754565217,0.754565217,228.0,229.0,208.0,0.789233723
EOMES,3,cg15540820,EOMES,0.753106255,0.753106255,230.0,232.0,211.0,0.832933397
ESRRG,3,cg09106903,ESRRG,0.865,0.865,81.0,81.0,160.0,0.690849464
EVX1,3,cg15564098,EVX1,0.7225,0.7225,273.5,274.5,222.0,0.722391084
FEZF2,3,cg20072171,FEZF2,0.8425,0.8425,104.0,106.0,84.0,0.676265131
FLI1,3,cg19897940,FLI1,0.872613904,0.872613904,72.0,72.0,60.0,0.884391831
FOXA2,3,cg03774514,FOXA2,0.803676843,0.803676843,162.0,159.0,142.0,0.919639524
FOXD3,3,cg18279094,FOXD3,0.758367347,0.758367347,223.0,224.0,201.0,0.804484616
FOXE1,3,cg13791254,FOXE1,0.810089532,0.810089532,153.0,150.0,136.0,0.926785048
FOXG1,3,cg07489048,FOXG1,0.687287234,0.687287234,308.0,307.0,281.0,0.723430918
FOXQ1,3,cg26422161,FOXQ1,0.83,0.8325,127.0,122.5,101.0,0.795179438
GCM2,3,cg05452406,GCM2,0.796818182,0.796818182,179.0,177.0,152.0,0.879859223
GLI2,3,cg13713922,GLI2,0.662018048,0.662018048,318.0,317.0,324.0,0.863808457
HOXA1,3,cg09420439,HOXA1,0.766005222,0.766005222,218.0,219.0,190.0,0.922065803
HOXA10,3,cg14625175,HOXA10,0.800555556,0.800555556,167.5,166.5,148.0,0.784994401
HOXA4,3,cg07317062,HOXA4,0.749319899,0.749319899,237.0,239.0,221.0,0.907508132
HOXA9,3,cg26521404,HOXA9,0.954545455,0.954545455,9.0,9.0,7.0,0.811096891
HOXC4,3,cg07080050,HOXC4,0.84414972,0.84414972,100.0,102.0,75.0,0.861542153
HOXD10,3,cg10364040,HOXD10,0.7975,0.7975,174.5,173.0,158.0,0.760491655
HOXD11,3,cg11546137,HOXD11,0.643333333,0.643333333,328.0,327.0,306.0,0.86639471
HOXD8,3,cg09238180,HOXD8,0.74,0.74,247.5,247.5,297.0,0.831253666
HOXD9,3,cg22674699,HOXD9,0.861031023,0.861031023,86.0,86.0,73.0,0.877966192
IRF4,3,cg06392169,IRF4,0.7325,0.7325,259.0,260.0,223.0,0.566256066
IRX1,3,cg10530883,IRX1,0.689946809,0.689946809,304.0,304.0,323.0,0.828720738
LHX1,3,cg19760241,LHX1,0.8425,0.8425,104.0,106.0,112.0,0.876873034
LHX2,3,cg14425564,LHX2,0.8653125,0.8653125,80.0,80.0,69.0,0.907001546
LHX6,3,cg01549227,LHX6,0.8475,0.8475,97.0,97.0,58.0,0.819735509
