Gene,Cluster,Probe_ID,gene,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
NEUROD1,1,cg06714480,NEUROD1,1,1,1,1,1,0.866474697
NKX6-2,1,cg11174855,NKX6-2,0.980392157,0.980392157,4,5,12,0.860235696
TLX1,1,cg14861089,TLX1,0.956852792,0.956852792,6,6,4,0.884738442
HOXA9,1,cg26521404,HOXA9,0.954545455,0.954545455,9,9,7,0.811096891
LEMD2,1,cg07979401,LEMD2,0.935145119,0.935145119,16,16,125,0.824934677
SALL3,1,cg10717463,SALL3,0.934383202,0.934383202,17,17,35,0.822961659
KLHL35,1,cg05327192,KLHL35,0.925,0.925,25,24,19,0.814056418
PAX3,1,cg15133719,PAX3,0.923705722,0.923705722,26,25,20,0.875113315
PTF1A,1,cg06550984,PTF1A,0.913842239,0.913842239,33,33,215,0.800671892
PITX1,1,cg00396667,PITX1,0.909547739,0.909547739,34,34,26,0.891670666
FBXO39,1,cg02374745,FBXO39,0.906832298,0.906832298,35,35,181,0.901402442
ONECUT2,1,cg25547580,ONECUT2,0.8956743,0.8956743,47,46,49,0.856876233
MYF6,1,cg05860723,MYF6,0.8875,0.8875,54,54,44,0.78387458
PAX2,1,cg04436818,PAX2,0.881283069,0.881283069,61,61,111,0.814616328
STAT5A,1,cg20388732,STAT5A,0.8801646,0.846188067,65,98,132,0.889617661
WT1,1,cg10244666,WT1,0.880102041,0.880102041,66,65,52,0.724684051
SOX1,1,cg24604013,SOX1,0.87628866,0.87628866,70,69,25,0.797632379
FLI1,1,cg19897940,FLI1,0.872613904,0.872613904,72,72,60,0.884391831
SALL2,1,cg00800229,SALL2,0.868586957,0.868586957,75,75,189,0.825147976
LHX2,1,cg14425564,LHX2,0.8653125,0.8653125,80,80,69,0.907001546
ESRRG,1,cg09106903,ESRRG,0.865,0.865,81,81,160,0.690849464
RFX1,1,cg18642503,RFX1,0.8625,0.8625,84,84,72,0.806324321
BNC1,1,cg09180848,BNC1,0.861333333,0.861333333,85,85,178,0.807604117
HOXD9,1,cg22674699,HOXD9,0.861031023,0.861031023,86,86,73,0.877966192
TMEM132D,1,cg12122146,TMEM132D,0.855,0.855,91,91,77,0.695995307
PRDM16,1,cg03082523,PRDM16,0.854636591,0.853410121,92,93,78,0.898309604
ST7,1,cg00764217,ST7,0.847866419,0.847866419,96,96,237,0.806910894
LHX6,1,cg01549227,LHX6,0.8475,0.8475,97,97,58,0.819735509
HOXC4,1,cg07080050,HOXC4,0.84414972,0.84414972,100,102,75,0.861542153
FEZF2,1,cg20072171,FEZF2,0.8425,0.8425,104,106,84,0.676265131
LHX1,1,cg19760241,LHX1,0.8425,0.8425,104,106,112,0.876873034
TBX18,1,cg06733419,TBX18,0.83998227,0.83998227,109,112,89,0.820322082
CSMD1,1,cg09159022,CSMD1,0.837739241,0.837739241,110,113,268,0.812989922
NKX2-8,1,cg18396984,NKX2-8,0.835,0.835,115,118,351,0.800485256
SHISA3,1,cg14866200,SHISA3,0.831658291,0.789346734,123,187,163,0.76321122
NR5A2,1,cg06880420,NR5A2,0.830769231,0.871794872,125,74,62,0.944648856
FOXQ1,1,cg26422161,FOXQ1,0.83,0.8325,127,122.5,101,0.795179438
TLX3,1,cg26844246,TLX3,0.829931973,0.829931973,128,129,103,0.78398123
TMEM45B,1,cg18282388,TMEM45B,0.8275,0.84,133.5,109.5,87,0.736708793
RUNX1,1,cg15242225,RUNX1,0.824244186,0.824244186,138,138,133,0.771663201
OTX2,1,cg13023623,OTX2,0.818832796,0.782670963,144,195,173,0.868421053
NTM,1,cg05184519,NTM,0.818055556,0.818055556,147,145,124,0.872233776
SALL1,1,cg01146232,SALL1,0.81763285,0.81763285,148,146,126,0.878686077
TCF7L1,1,cg07847030,TCF7L1,0.81524428,0.81524428,149,147,155,0.667839812
ZIC1,1,cg04738965,ZIC1,0.814249364,0.814249364,150,148,90,0.890070922
NFIL3,1,cg07084627,NFIL3,0.810277778,0.810277778,152,149,165,0.813843118
FOXE1,1,cg13791254,FOXE1,0.810089532,0.810089532,153,150,136,0.926785048
ZIC4,1,cg16768018,ZIC4,0.81,0.81,154,151,120.5,0.800005332
PBX1,1,cg26026748,PBX1,0.805,0.805,159.5,156.5,137,0.757185517
ZIC5,1,cg20985450,ZIC5,0.804281984,0.804281984,161,158,269,0.826214472
FOXA2,1,cg03774514,FOXA2,0.803676843,0.803676843,162,159,142,0.919639524
NOL4,1,cg14002960,NOL4,0.801666667,0.801666667,165,162,120.5,0.835786274
HOXA10,1,cg14625175,HOXA10,0.800555556,0.800555556,167.5,166.5,148,0.784994401
PRR5,1,cg26995244,PRR5,0.8,0.8,169.5,168.5,149.5,0.854316643
HOXD10,1,cg10364040,HOXD10,0.7975,0.7975,174.5,173,158,0.760491655
GCM2,1,cg05452406,GCM2,0.796818182,0.796818182,179,177,152,0.879859223
TBX15,1,cg02177231,TBX15,0.795,0.795,181,179,130,0.808563963
BHLHE23,1,cg26492446,BHLHE23,0.79326087,0.79326087,183,181,250,0.801551752
PAX9,1,cg04415798,PAX9,0.787282609,0.787282609,191,190,172,0.762651309
POU4F1,1,cg08097882,POU4F1,0.786358913,0.786358913,192,191,168,0.912360689
SIX3,1,cg00097146,SIX3,0.78,0.78,197.5,198,277,0.659254519
TLX2,1,cg21185289,TLX2,0.779183673,0.80127551,200,165,147,0.874766704
SMYD3,1,cg25025181,SMYD3,0.777045455,0.777045455,202,201,177,0.780488455
PDX1,1,cg26299169,PDX1,0.775,0.775,205,204,169,0.71001973
GAS1,1,cg14416311,GAS1,0.774456522,0.774456522,208,207,304,0.891084093
OPCML,1,cg18710784,OPCML,0.772122251,0.772122251,210,209,47,0.887191383
HOXA1,1,cg09420439,HOXA1,0.766005222,0.766005222,218,219,190,0.922065803
FOXD3,1,cg18279094,FOXD3,0.758367347,0.758367347,223,224,201,0.804484616
