Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
CFTR,2,cg00735923,CFTR,0.989769821,0.989769821,2.0,2.0,27.0,0.861648803
NLRP3,2,cg12280471,NLRP3,0.954750656,0.954750656,8.0,8.0,6.0,0.789340372
SERPING1,2,cg15918732,SERPING1,0.947368421,0.947368421,11.0,11.0,15.0,0.789260385
SSTR4,2,cg07676859,SSTR4,0.947166667,0.947166667,12.0,12.0,8.0,0.87660641
KCNE3,2,cg04574090,KCNE3,0.930666667,0.930666667,21.0,20.0,16.0,0.839865622
ADORA3,2,cg14669379,ADORA3,0.929919137,0.929919137,22.0,21.0,97.0,0.903908708
FCRL3,2,cg25259754,FCRL3,0.923564287,0.923564287,27.0,26.0,21.0,0.898976164
BCAT1,2,cg20399616,BCAT1,0.918367347,0.918367347,30.0,30.0,23.0,0.868661014
ADORA2B,2,cg07563400,ADORA2B,0.905128205,0.923076923,37.0,27.0,39.0,0.942329227
CACNA1E,2,cg11388802,CACNA1E,0.9,0.9,41.0,40.0,135.0,0.819708847
CNGA3,2,cg19370054,CNGA3,0.895774648,0.895774648,46.0,45.0,113.0,0.797819016
RAD54B,2,cg25305774,RAD54B,0.893013819,0.893013819,48.0,48.0,40.0,0.879219325
CHST2,2,cg17373442,CHST2,0.891867392,0.891867392,49.0,49.0,43.0,0.767930464
LILRA2,2,cg14575739,LILRA2,0.889347826,0.889347826,53.0,53.0,63.0,0.80008532
SLC6A3,2,cg14502484,SLC6A3,0.886831512,0.886831512,55.0,55.0,45.0,0.829227324
HS3ST2,2,cg08214995,HS3ST2,0.88078526,0.88078526,64.0,64.0,65.0,0.856049699
MIR196A1,2,cg01452847,MIR196A1,0.8775,0.8775,68.0,67.0,56.0,0.837865941
GALR1,2,cg03502002,GALR1,0.875,0.875,71.0,70.0,91.0,0.823094971
CYP1B1,2,cg09799983,CYP1B1,0.866734977,0.866734977,78.0,78.0,68.0,0.882072202
GRIA4,2,cg15603568,GRIA4,0.864779149,0.864779149,82.0,82.0,71.0,0.78998027
KCNIP4,2,cg06482428,KCNIP4,0.845,0.845,98.0,99.5,153.0,0.698128299
LPAR5,2,cg25136495,LPAR5,0.843537415,0.843537415,101.0,103.0,83.0,0.933050712
GRM1,2,cg08958294,GRM1,0.84,0.84,107.0,109.5,70.0,0.590492188
NPY,2,cg05158615,NPY,0.834281812,0.834281812,116.0,119.0,98.0,0.908867914
CMKLR1,2,cg08337166,CMKLR1,0.832061069,0.832061069,121.0,125.0,131.0,0.83829254
PTN,2,cg08991965,PTN,0.831521739,0.831521739,124.0,127.0,129.0,0.82829414
CSMD3,2,cg22052659,CSMD3,0.829145729,0.829145729,130.0,131.0,183.0,0.81530955
CRHBP,2,cg04306063,CRHBP,0.828201061,0.828201061,131.0,132.0,105.0,0.884365168
SSH1,2,cg19256314,SSH1,0.82772846,0.82772846,132.0,133.0,123.0,0.866074761
PTPRN2,2,cg14419740,PTPRN2,0.8275,0.8275,133.5,134.0,106.0,0.865994774
ST8SIA3,2,cg13096208,ST8SIA3,0.8225,0.8225,139.0,139.0,174.0,0.797072468
GALR3,2,cg07879739,GALR3,0.821018767,0.821018767,141.0,141.0,118.0,0.856476297
MIR124-2,2,cg07792478,MIR124-2,0.805,0.805,159.5,156.5,141.0,0.739828294
GRM6,2,cg00582971,GRM6,0.799416446,0.799416446,171.0,170.0,266.0,0.854023356
GRIN1,2,cg13759674,GRIN1,0.797446809,0.797446809,178.0,176.0,151.0,0.881458967
CACNA1C,2,cg12496211,CACNA1C,0.796521739,0.796521739,180.0,178.0,228.0,0.82152189
ACOT7,2,cg10976772,ACOT7,0.793986816,0.793986816,182.0,180.0,219.0,0.838025916
CACNA1B,2,cg05863502,CACNA1B,0.787777778,0.787777778,189.0,189.0,167.0,0.659574468
MIR129-2,2,cg14416371,MIR129-2,0.785,0.785,193.5,192.5,198.0,0.835599637
TAC1,2,cg17437939,TAC1,0.776223404,0.776223404,203.0,202.0,192.0,0.808377326
SLC12A5,2,cg06132069,SLC12A5,0.775,0.775,205.0,204.0,232.0,0.684957074
KCNK9,2,cg04849842,KCNK9,0.773513514,0.773513514,209.0,208.0,256.0,0.883858583
PPP1R14A,2,cg02571816,PPP1R14A,0.770867347,0.770867347,211.0,210.0,182.0,0.787127393
