Unnamed: 0,dbeta,gene,feature
cg10222734,-0.010868249062852194,A1CF,5'UTR
cg11139127,-0.01467338780268137,A2M,Body
cg11756734,-0.014207479603727214,A2ML1,3'UTR
cg10110884,-0.006208532261170809,AADAC,1stExon
cg00309402,-0.014292705961768837,AADAT,3'UTR
cg14437562,0.003424117786505562,AAGAB,Body
cg18673409,-0.01423248413913416,AANAT,TSS1500
cg01748703,-0.009761343780340806,AASS,Body
cg02975268,-0.009066310446755838,AATF,Body
cg07439546,-0.008646895108440158,ABAT,5'UTR
cg14065382,-0.006999899258196223,ABCA1,Body
cg14105458,0.01102909837417016,ABCA2,Body
cg02715407,-0.013058803821285164,ABCA3,Body
cg04592706,-0.00853602574780241,ABCA4,1stExon
cg03805929,-0.007437961088569543,ABCA5,5'UTR
cg17334372,-0.01091125776265568,ABCA8,Body
cg22093121,-0.008560895074491202,ABCA9,TSS200
cg22899422,-0.008269961051603918,ABCB1,5'UTR
cg24334048,-0.011851624332523302,ABCB11,Body
cg04438814,0.007653978297027306,ABCB4,TSS200
cg25840822,-0.007496079726101979,ABCB5,Body
cg26544277,0.009319701905000428,ABCB6,TSS200
cg00649632,-0.0138890110402972,ABCC1,Body
cg00050375,-0.01415380991318809,ABCC10,Body
cg07032488,-0.007826638699714648,ABCC11,3'UTR
cg05914069,-0.0136747020936298,ABCC2,TSS1500
cg25928474,-0.01094720000316897,ABCC3,Body
cg16708465,-0.008011944781617169,ABCC4,Body
cg13792075,0.010111515430260084,ABCC5,TSS200
cg07965331,-0.008383504478914327,ABCC6,Body
cg14469826,-0.012777210325708527,ABCC8,TSS1500
cg07702259,-0.007121315901284282,ABCE1,5'UTR
cg27243685,0.014521313117552127,ABCG1,Body
cg04064583,-0.008483669959707738,ABCG2,Body
cg25462896,-0.015659596463763335,ABCG4,Body
cg21273125,0.007459139385105261,ABHD2,1stExon
cg24822001,0.009692576474668122,ABHD5,TSS200
cg17574812,-0.004139444316327426,ABHD6,Body
cg06020978,-0.008240122142184506,ABI1,Body
cg12625293,0.005291527702374761,ABI2,TSS200
cg25616535,-0.008473442820048813,ABI3,Body
cg23634451,-0.016091734376131886,ABI3BP,TSS1500
cg02915920,0.008744192301387598,ABL1,Body
cg11243304,-0.004778138883402649,ABL2,3'UTR
cg12020464,0.026433774364737185,ABO,Body
cg10687217,-0.01546604946403157,ABR,5'UTR
cg07834934,-0.012807276285008488,ACACA,Body
cg21165395,-0.016381237003404152,ACACB,Body
cg20307448,-0.008048228509850085,ACAD8,Body
cg01812328,-0.01066115321847047,ACADL,TSS1500
cg10523679,-0.029587032201332603,ACADM,TSS1500
cg21721566,-0.013775528020418029,ACADS,TSS1500
cg27219955,-0.015346099969508076,ACAN,5'UTR
cg04180462,0.006643329995919855,ACAT1,Body
cg26476574,-0.006228942906346266,ACBD5,3'UTR
cg08632680,0.0026557217668999418,ACCS,5'UTR
cg04265926,0.005076901705508184,ACD,TSS1500
cg19826045,-0.012848010676866382,ACE,Body
cg25772769,0.005282306952217343,ACER2,Body
cg23549117,-0.012654968869413887,ACHE,Body
cg16502747,0.008468216482649333,ACIN1,Body
cg14583225,-0.009924621420006658,ACLY,5'UTR
cg13572911,0.008160076218393889,ACO1,TSS1500
cg05365887,0.0027408423913433235,ACO2,TSS200
cg15490897,-0.012507417813289979,ACOT11,Body
cg08886676,-0.010255811867586331,ACOT7,Body
cg12452675,0.008117671681467478,ACOX1,1stExon
cg00431236,0.007619874931603712,ACP1,1stExon
cg10644885,0.012504710146405414,ACP5,Body
cg08423507,-0.007013239392831433,ACR,Body
cg25683185,0.009670028825804687,ACRBP,Body
cg27257408,-0.011015274058012534,ACSBG1,1stExon
cg01899937,0.015529504029713568,ACSL1,Body
cg20707765,0.004554275232019903,ACSL5,TSS1500
cg16336752,-0.010267157647703598,ACSL6,Body
cg06478823,-0.015619598464792953,ACSM3,TSS1500
cg03750993,-0.005585708632488184,ACSS1,TSS1500
cg09801828,-0.010534486046565624,ACSS2,TSS200
cg11649376,-0.013936268978872868,ACSS3,Body
cg02970384,0.006311220674080981,ACTA1,Body
cg06003197,0.006038585305436552,ACTB,5'UTR
cg26657920,-0.009437066006647128,ACTBL2,TSS1500
cg19415364,0.00898259986915387,ACTG1,TSS200
cg24691835,-0.008104483599068645,ACTG2,TSS1500
cg25198545,0.006252134587794156,ACTL6A,TSS200
cg15867698,0.012139201330815311,ACTN1,Body
cg20482698,0.010376965400116943,ACTN2,1stExon
cg26831416,0.009771029186996374,ACTN4,Body
cg16199879,0.0033071056502897737,ACTR10,Body
cg06698844,-0.006053968628237568,ACTR1B,TSS1500
cg08053057,-0.012070942286025082,ACTR2,Body
cg13288906,-0.010998916355193523,ACTR3,Body
cg26993105,-0.006545359114276323,ACTR3B,Body
cg02393907,-0.010276500291286812,ACTR3C,5'UTR
cg09499849,-0.006174324881758088,ACVR1,5'UTR
cg24433265,-0.008019956594181362,ACVR1B,3'UTR
cg07568040,-0.00760662214756493,ACVR1C,Body
cg02093647,0.007524630435154933,ACVR2A,TSS200
cg01850202,-0.008495710491138956,ACVR2B,Body
cg20131897,-0.01000916338011492,ACVRL1,TSS1500
cg13151269,-0.012148791465670857,ACY1,Body
cg03933203,-0.008512048241251033,ACY3,3'UTR
cg13006717,-0.004804683949323981,ACYP2,Body
cg11091439,0.002622024171232062,ADA,5'UTR
cg02625641,0.008016845813409468,ADAM10,Body
cg04618277,-0.011395531759727075,ADAM11,Body
cg05525648,-0.0142905606612548,ADAM12,3'UTR
cg18832152,0.004997387239161299,ADAM15,3'UTR
cg07078329,-0.012886371406543789,ADAM17,TSS1500
cg25559421,-0.0097606378806552,ADAM19,TSS1500
cg03512208,-0.0095135163817098,ADAM21,TSS1500
cg06315606,-0.007137435134868848,ADAM22,Body
cg12243681,-0.00968048636417266,ADAM23,Body
cg17969683,-0.009884386664872834,ADAM28,TSS200
cg09975995,-0.011236432087320046,ADAM29,3'UTR
cg25765819,-0.005218356464608363,ADAM32,Body
cg04505348,-0.009105530269069868,ADAM33,Body
cg03312251,-0.008686665685951278,ADAM8,Body
cg00687766,0.00781821409354124,ADAM9,Body
cg00952789,-0.0074650913367128955,ADAMTS1,Body
cg03592903,-0.022772292205016597,ADAMTS12,Body
cg14647253,-0.011058863757914579,ADAMTS13,Body
cg00618155,-0.010942425415613057,ADAMTS14,Body
cg10773249,-0.010295126866545025,ADAMTS15,Body
cg17627328,-0.011688679040279187,ADAMTS16,Body
cg05496543,-0.010819289427926017,ADAMTS18,Body
cg12613839,-0.0153968598536882,ADAMTS2,Body
cg24116870,0.00626479046849255,ADAMTS20,TSS1500
cg07771160,-0.016723908164703177,ADAMTS5,Body
cg21033632,-0.005387314650152935,ADAMTS6,Body
cg02147292,-0.012403914640239634,ADAMTS8,Body
cg14187266,-0.010984972315753808,ADAMTS9,Body
cg21123577,-0.007967281588432486,ADAMTSL3,Body
cg24441324,-0.004978942018240177,ADAMTSL4,5'UTR
cg24304309,0.007200070468408989,ADAR,5'UTR
cg21913632,-0.010826629821644838,ADARB1,5'UTR
cg25065716,-0.021894520935065956,ADARB2,Body
cg23949519,-0.010218928792267257,ADAT2,Body
cg04556393,-0.013194223047950846,ADCY10,Body
cg11023668,0.01253774342178197,ADCY3,Body
cg03551401,-0.01825884138689025,ADCY8,Body
cg18319029,0.007918693175279715,ADCYAP1,TSS1500
cg13886135,-0.011370536491172986,ADCYAP1R1,Body
cg06017699,-0.011186874191822987,ADD1,Body
cg16230755,-0.006097455721343276,ADD3,5'UTR
cg23949936,-0.006293096468006864,ADH1A,TSS1500
cg05641529,-0.014572827583352316,ADH1B,TSS1500
cg03415545,-0.008361909796344965,ADH1C,TSS200
cg09112717,0.005704869251650906,ADH5,TSS200
cg25223878,-0.013713131516641448,ADH6,3'UTR
cg16642695,-0.01428794455188811,ADHFE1,TSS1500
cg02063365,-0.013809847946790814,ADI1,Body
cg21978128,-0.010901695694150447,ADIPOQ,TSS200
cg27392775,0.013258304378111714,ADIPOR1,5'UTR
cg16939112,-0.0034614667704035,ADIPOR2,5'UTR
cg04733624,0.007733337283837193,ADK,TSS200
cg03780905,0.005132296468346239,ADM,TSS200
cg19089314,0.0059942869596689855,ADM2,TSS200
cg01854842,0.00939919197603031,ADNP,TSS200
cg21538902,0.00963789219728061,ADO,1stExon
cg19678564,-0.013862491661463035,ADORA1,Body
cg26354221,0.007988296632868555,ADORA2A,TSS1500
cg19245381,0.008677570680057874,ADORA2B,TSS1500
cg14669379,-0.007993871056907234,ADORA3,Body
cg16904330,-0.011279910310955243,ADPRH,5'UTR
