ID,dbeta,UCSC_RefGene_Name,UCSC_RefGene_Group
cg24411946,0.43742008117543696,A1CF,5'UTR
cg12187098,0.45726352232940354,A2M,Body
cg27629124,0.4544116273113949,A2ML1,Body
cg12136764,0.44643775644760136,AADAC,Body
cg14239811,-0.5091308664934308,AADAT,TSS1500
cg16926284,-0.5043839972273361,AAGAB,1stExon
cg04631389,-0.5002019133778053,AANAT,TSS1500
cg17174775,-0.5140646426310299,AASS,TSS1500
cg06971602,-0.5211338763183625,AATF,TSS200
cg16704802,-0.5129815752792483,ABAT,TSS200
cg20211653,-0.5098900632326876,ABCA1,5'UTR
cg14019757,-0.42209359990870426,ABCA10,5'UTR
cg15428653,-0.5086421428693784,ABCA2,TSS1500
cg05093254,0.45451152175522563,ABCA3,Body
cg12085314,-0.4947265371471147,ABCA4,Body
cg06001310,-0.5180374648409317,ABCA5,5'UTR
cg03850529,0.4469852594714926,ABCA8,5'UTR
cg06213598,0.4493287595166693,ABCA9,TSS1500
cg00862116,-0.5121564527781443,ABCB1,5'UTR
cg20118424,0.45640112142597916,ABCB11,5'UTR
cg25679366,-0.5018882579982787,ABCB4,5'UTR
cg08888968,0.45841321779260485,ABCB5,TSS1500
cg08290072,-0.5146298672646012,ABCB6,TSS200
cg24874689,-0.5000785258268892,ABCC1,TSS200
cg08073652,0.4458869865096057,ABCC10,3'UTR
cg08404739,0.4475291183970614,ABCC11,TSS1500
cg07520093,-0.5200550736683239,ABCC2,Body
cg00126959,-0.4989350769544622,ABCC3,TSS200
cg17370322,-0.513431775604371,ABCC4,Body
cg12783640,-0.5201168804299636,ABCC5,1stExon
cg10024478,0.3416167165539359,ABCC6,3'UTR
cg03790908,-0.4980254123724072,ABCC8,TSS200
cg24540120,-0.522086735955013,ABCE1,5'UTR
cg06030219,-0.5193696657783065,ABCG1,TSS1500
cg11000292,-0.517039067758852,ABCG2,TSS1500
cg02341038,-0.5145295219625688,ABCG4,TSS200
cg25523753,-0.5186627653133031,ABHD2,TSS200
cg24770703,-0.5183359107069326,ABHD5,TSS200
cg19178320,-0.5146333047119755,ABHD6,5'UTR
cg20318353,-0.5123245735085976,ABI1,1stExon
cg09845946,-0.5138743926379815,ABI2,TSS200
cg06952307,-0.4967627305013708,ABI3,5'UTR
cg10678718,0.4552953637069627,ABI3BP,Body
cg10288784,-0.5207594441886063,ABL1,Body
cg10832007,-0.5127838992006408,ABL2,Body
cg07241568,-0.4657286418518524,ABO,TSS200
cg24437429,-0.5124892676256609,ABR,Body
cg24455359,-0.5189443179913542,ACACA,1stExon
cg23435821,-0.5134786822940268,ACACB,Body
cg21759430,0.44418547560894167,ACAD8,3'UTR
cg21933859,-0.49739413244764685,ACADL,TSS200
cg05467918,-0.518518531408606,ACADM,TSS200
cg10174836,-0.5125910180962958,ACADS,1stExon
cg16968596,-0.5041219052263434,ACAN,TSS200
cg19958696,-0.5151718585180568,ACAT1,TSS200
cg05886574,-0.5208693602449134,ACBD5,TSS1500
cg12287025,-0.5161460088527633,ACCS,TSS200
cg05322697,-0.5194560036156936,ACD,5'UTR
cg09920557,-0.5080184169713915,ACE,TSS1500
cg04674056,-0.513682591168298,ACER2,TSS200
cg27220968,-0.5142874170411827,ACHE,TSS200
cg25140501,-0.5172077428436236,ACIN1,5'UTR
cg11610739,-0.5154359392776771,ACLY,TSS200
cg15714041,-0.5163907545924042,ACO1,TSS1500
cg05593780,-0.5180185209253186,ACO2,TSS200
cg26045205,0.44457659129873867,ACOT11,Body
cg17236617,-0.5152825875226276,ACOT7,TSS1500
cg15269548,-0.5189129146897848,ACOX1,1stExon
cg03468349,-0.5123898053142187,ACP1,TSS1500
cg00487737,-0.5083449316532711,ACP5,TSS1500
cg08423507,0.42957576290483285,ACR,Body
cg12007596,-0.4349965622256512,ACRBP,TSS200
cg14517390,0.4386551665123523,ACSBG1,3'UTR
cg19487718,-0.5136301905917485,ACSL1,TSS1500
cg00022688,-0.5106765608471336,ACSL5,5'UTR
cg01573938,-0.5137134898963318,ACSL6,TSS1500
cg21644826,-0.5124805439438446,ACSM3,5'UTR
cg15273280,-0.5192618828425123,ACSS1,Body
cg13777294,-0.4952730837128236,ACSS2,Body
cg25358039,-0.49976712917634536,ACSS3,TSS200
cg05347845,-0.46680850620787234,ACTA1,TSS200
cg02356111,-0.5148701560041583,ACTB,TSS200
cg22108809,0.45755679144933953,ACTBL2,1stExon
cg00671759,-0.519452130624439,ACTG1,Body
cg24691835,0.42625030447148304,ACTG2,TSS1500
cg01568846,-0.5152250504550676,ACTL6A,5'UTR
cg21350283,-0.5101408086915922,ACTN1,1stExon
cg18770350,-0.45883869895094664,ACTN2,1stExon
cg24224907,-0.5108732007079986,ACTN4,TSS200
cg10739033,-0.5209979138372482,ACTR10,TSS1500
cg13781389,-0.514742992382206,ACTR1B,TSS200
cg23158051,-0.5140381376852722,ACTR2,TSS200
cg15517836,-0.5214563179029907,ACTR3,TSS200
cg10896886,-0.5195481416068694,ACTR3B,TSS200
cg22893248,-0.5093267194339822,ACTR3C,1stExon
cg01956267,-0.5130179964306562,ACVR1,TSS1500
cg17389218,-0.5187002807498274,ACVR1B,TSS1500
cg18004523,-0.5138286442162621,ACVR1C,TSS200
cg16081228,-0.5184076890835742,ACVR2A,TSS1500
cg25352216,-0.5087331045254466,ACVR2B,Body
cg10999429,-0.5018962220205763,ACVRL1,TSS1500
cg01458759,-0.5147256360927234,ACY1,TSS1500
cg23879118,-0.464142198772792,ACY3,Body
cg04620717,-0.5130719169745849,ACYP2,Body
cg08283932,-0.5165665376577071,ADA,TSS1500
cg06253734,-0.5205673787970057,ADAM10,TSS200
cg04776990,-0.5121349921357954,ADAM11,Body
cg02953302,-0.5140749984186249,ADAM12,Body
cg16095542,-0.5157232790288196,ADAM15,TSS1500
cg17603321,-0.5218774494359282,ADAM17,TSS1500
cg07540118,-0.5039499270440835,ADAM19,1stExon
cg03512208,0.4232054809603992,ADAM21,TSS1500
cg27410756,-0.518852840911594,ADAM22,Body
cg07319626,-0.5092140485832981,ADAM23,TSS200
