ID,dbeta,gene,"J,J","J,CZ","J,ER","J,F1","CZ,J","CZ,CZ","CZ,ER","CZ,F1","ER,J","ER,CZ","ER,ER","ER,F1","F1,J","F1,CZ","F1,ER","F1,F1","J,J_rank","J,CZ_rank","J,ER_rank","J,F1_rank","CZ,J_rank","CZ,CZ_rank","CZ,ER_rank","CZ,F1_rank","ER,J_rank","ER,CZ_rank","ER,ER_rank","ER,F1_rank","F1,J_rank","F1,CZ_rank","F1,ER_rank","F1,F1_rank",train_AUC,test_AUC,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,methylation_level,regulation
cg13670057,0.3591697018830469,ABL1,0.8399999999999999,0.8399999999999999,0.8525,0.8399999999999999,0.846,0.846,0.8577499999999999,0.846,0.116619037896906,0.116619037896906,0.1060954758696147,0.116619037896906,0.9195652173913044,0.9195652173913044,0.9260458839406208,0.9195652173913044,41.0,40.5,25.5,38.5,38.0,38.0,25.0,36.0,27.0,27.0,16.0,28.0,36.0,36.0,24.0,35.0,0.8547432410814271,0.8262749999999999,0.357592926909496,0.602471154553401,19.6415901027628,9.51621722823545e-72,1.12305201851648e-69,152.549130773328,0.284610775078295,0.64220370198779,0.357592926909494,9,133721945,F,II,Body,opensea,Body-opensea,,,True,,,,Hyper,Up
cg10266490,0.4034024083818783,ACOT11,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.6749999999999998,0.7009,0.7009,0.7009,0.7009,0.2320021551624036,0.2320021551624036,0.2320021551624036,0.2320021551624036,0.8368955223880598,0.8368955223880598,0.8368955223880598,0.8368955223880598,259.0,258.0,231.0,255.0,250.0,250.0,224.0,246.0,230.0,230.0,210.0,227.0,243.0,243.0,221.0,240.0,0.915826801045166,0.8287999999999999,0.397852777121372,0.609750969389138,24.1214225263042,1.5701973261401e-99,7.403082505912692e-97,216.310290544781,0.256104056392363,0.653956833513735,0.397852777121372,1,55013709,R,II,TSS200,opensea,TSS200-opensea,,,,,,,Hyper,Up
cg10976772,0.3655126995093372,ACOT7,0.7024999999999999,0.7024999999999999,0.675,0.7024999999999999,0.7236499999999999,0.7236499999999999,0.6981,0.7236499999999999,0.2149563909261597,0.2149563909261597,0.2437724348649781,0.2149563909261597,0.8501027900146843,0.8501027900146843,0.8335522388059702,0.8501027900146843,224.0,224.0,228.0,219.0,222.0,220.0,229.5,215.0,202.0,204.0,231.5,204.0,215.0,215.0,230.5,211.0,0.8380259158534633,0.8121,0.34135357003271,0.728363532234461,20.1801788166659,5.47461002206858e-75,7.60430509267102e-73,159.983222900269,0.424938136649831,0.76629170668254,0.341353570032709,1,6390595,F,II,Body,opensea,Body-opensea,,True,True,,,,Hyper,Up
cg18770350,0.3750856406953129,ACTN2,0.76,0.76,0.7050000000000001,0.76,0.774,0.774,0.7257,0.774,0.1720465053408525,0.1720465053408525,0.2136000936329383,0.1720465053408525,0.8795454545454545,0.8795454545454545,0.8512609970674486,0.8795454545454545,139.0,139.0,189.0,136.5,137.0,137.0,189.0,132.0,114.0,115.0,184.0,113.0,130.0,131.0,188.0,129.0,0.7371353916706661,0.8332749999999999,0.351760161672094,0.412920876551361,13.666400883336,9.02058484102578e-39,1.97794977765598e-37,76.9591633141278,0.100245177287277,0.452005338959372,0.351760161672095,1,236849966,F,I,1stExon,island,1stExon-island,chr1:236849472-236850323,True,True,high-CpG:234916417-234916759,,,Hyper,Up
cg09499849,0.3836613032333275,ACVR1,0.6875,0.6875,0.6875,0.6875,0.7106,0.7106,0.7106,0.7106,0.2268397011107182,0.2268397011107182,0.2268397011107182,0.2268397011107182,0.8421925925925926,0.8421925925925926,0.8421925925925926,0.8421925925925926,238.5,238.0,214.5,235.0,236.0,236.0,214.0,233.0,226.0,225.0,203.0,222.0,232.0,232.0,210.0,229.0,0.7933930571108623,0.794525,0.318218259551085,0.582731117626166,15.9864999351067,8.08118981027837e-51,3.36574760974646e-49,104.554281575895,0.299870442469646,0.618088702020731,0.318218259551085,2,158695158,R,II,5'UTR,opensea,5'UTR-opensea,,,True,,,,Hyper,Up
cg13667243,0.3587279132649087,ADAM19,0.5274999999999999,0.5274999999999999,0.1474999999999999,0.5274999999999999,0.5698,0.5698,0.2178,0.5698,0.3723657476191923,0.3723657476191923,0.7656084181877836,0.3723657476191923,0.7460556464811784,0.7460556464811784,0.3796078431372549,0.7460556464811784,368.0,364.0,387.0,360.0,369.0,364.0,388.0,360.0,368.0,366.0,388.0,362.0,370.0,366.0,388.0,362.0,0.7598250946515225,0.7629499999999999,0.344478296469505,0.59680290070119,21.6110313323948,9.5518157264944e-84,2.0364908942686799e-81,180.081344713933,0.290599970506073,0.635078266975579,0.344478296469506,5,157001561,F,I,Body,island,Body-island,chr5:157001468-157001756,,,,,,Hyper,Up
cg26573704,0.408026455075554,ADAMTS12,0.6375,0.6375,0.6375,0.6375,0.66415,0.66415,0.66415,0.66415,0.2794749541551085,0.2794749541551085,0.2794749541551085,0.2794749541551085,0.811175572519084,0.811175572519084,0.811175572519084,0.811175572519084,299.0,298.5,263.0,294.0,301.0,301.0,267.0,298.0,302.0,302.0,275.0,301.0,304.0,304.0,272.0,302.0,0.8579693915640163,0.9052750000000002,0.375576223598088,0.410433405049393,11.4071030422429,3.03156203818651e-28,3.66569708119202e-27,52.8887740221955,0.0765878729622045,0.452164096560292,0.375576223598087,5,33892223,R,II,TSS200,island,TSS200-island,chr5:33892191-33892403,True,,high-CpG:33927847-33928066,,,Hyper,Up
cg22784954,0.4065454756161215,ADAMTS16,0.6025,0.6025,0.6025,0.6025,0.63825,0.63825,0.63825,0.63825,0.2941194485238947,0.2941194485238947,0.2941194485238947,0.2941194485238947,0.7965678627145085,0.7965678627145085,0.7965678627145085,0.7965678627145085,330.5,329.5,294.0,323.5,325.0,323.0,292.0,318.0,315.0,315.0,291.0,313.0,320.0,320.0,291.0,318.0,0.6753586092891803,0.7681499999999999,0.331940133165451,0.493512135301748,10.8733678765946,5.869207489308501e-26,6.21881973497004e-25,47.6674919800243,0.198454239154681,0.530394372320132,0.331940133165451,5,5140646,R,I,1stExon,island,1stExon-island,chr5:5139441-5140941,,,,,,Hyper,Up
cg19619405,0.4464036345843648,ADAMTS20,0.74,0.74,0.6775,0.74,0.756,0.756,0.70005,0.756,0.188679622641132,0.188679622641132,0.2427060979868449,0.188679622641132,0.8689655172413793,0.8689655172413793,0.8346348733233978,0.8689655172413793,173.0,170.5,223.5,167.5,170.0,167.0,225.0,163.5,149.5,153.5,230.0,156.5,164.5,164.5,228.0,162.5,0.7847277768890311,0.8761,0.445127075755061,0.510165687858122,19.1247561150116,1.13489263344057e-68,1.15865672624412e-66,145.491171825147,0.114497176075845,0.559624251830906,0.445127075755062,12,43945892,F,I,TSS200,island,TSS200-island,chr12:43944719-43946285,,,,rs275603,rs71455455,Hyper,Up
cg11859607,0.3850621663193557,ADCYAP1,0.6425000000000001,0.6425000000000001,0.5049999999999999,0.6425000000000001,0.674,0.674,0.5487,0.674,0.2545707170905561,0.2545707170905561,0.3970201506221063,0.2545707170905561,0.8207001522070015,0.8207001522070015,0.7291694352159469,0.8207001522070015,287.0,285.5,348.0,283.0,282.0,282.0,350.0,280.0,263.0,265.0,352.0,263.0,275.0,276.0,351.0,275.0,0.839492347891004,0.8731249999999999,0.397043097738852,0.520981990847627,16.8588629678389,1.2712252550766099e-55,6.725028439210611e-54,115.564330466563,0.168054792857537,0.565097890596388,0.397043097738851,18,909154,R,II,Body,island,Body-island,chr18:904578-909574,,,,,rs3833194,Hyper,Up
