Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
ACOT11,2,cg10266490,ACOT11,0.650742115,0.650742115,324.0,323.0,302.0,0.915826801
ACOT7,2,cg10976772,ACOT7,0.793986816,0.793986816,182.0,180.0,219.0,0.838025916
ACTN2,2,cg18770350,ACTN2,0.8675,0.8675,76.0,76.0,57.0,0.737135392
ADAM19,2,cg13667243,ADAM19,0.66,0.66,319.0,318.0,345.0,0.759825095
ADAMTS12,2,cg26573704,ADAMTS12,0.725786447,0.725786447,268.0,269.0,246.0,0.857969392
ADAMTS16,2,cg22784954,ADAMTS16,0.737340426,0.737340426,254.0,254.0,231.0,0.675358609
ADAMTS20,2,cg19619405,ADAMTS20,0.800555556,0.800555556,167.5,166.5,195.0,0.784727777
ADORA2B,2,cg07563400,ADORA2B,0.905128205,0.923076923,37.0,27.0,39.0,0.942329227
ADORA3,2,cg14669379,ADORA3,0.929919137,0.929919137,22.0,21.0,97.0,0.903908708
APCS,2,cg21291134,APCS,0.78,0.78,197.5,198.0,253.0,0.676345118
ASPG,2,cg20965743,ASPG,0.851744186,0.851744186,94.0,94.0,94.0,0.700047992
ATP4A,2,cg02770054,ATP4A,0.693333333,0.693333333,300.5,300.5,275.0,0.840478857
BCAT1,2,cg20399616,BCAT1,0.918367347,0.918367347,30.0,30.0,23.0,0.868661014
CA3,2,cg18674980,CA3,0.529602122,0.529602122,361.0,360.0,356.0,0.826774383
CACNA1A,2,cg00350503,CACNA1A,0.5975,0.6175,349.0,341.0,366.5,0.81219005
CACNA1B,2,cg05863502,CACNA1B,0.787777778,0.787777778,189.0,189.0,167.0,0.659574468
CACNA1C,2,cg12496211,CACNA1C,0.796521739,0.796521739,180.0,178.0,228.0,0.82152189
CACNA1E,2,cg11388802,CACNA1E,0.9,0.9,41.0,40.0,135.0,0.819708847
CACNA1I,2,cg00058879,CACNA1I,0.6125,0.6125,343.5,342.0,325.0,0.650989175
CD38,2,cg26043257,CD38,0.769318182,0.769318182,214.0,214.0,186.0,0.789393697
CDH23,2,cg15323528,CDH23,0.8375,0.8375,111.0,114.0,93.0,0.758865248
CDH4,2,cg07198552,CDH4,0.857881137,0.857881137,88.0,88.0,308.0,0.89337706
CDH5,2,cg00044665,CDH5,0.84,0.84,107.0,109.5,87.0,0.7985389
CDO1,2,cg02792792,CDO1,0.8325,0.8325,119.0,122.5,116.0,0.806697595
CFTR,2,cg00735923,CFTR,0.989769821,0.989769821,2.0,2.0,27.0,0.861648803
CHRNA4,2,cg22348992,CHRNA4,0.725277778,0.725277778,269.0,270.0,331.0,0.81885565
CHST2,2,cg17373442,CHST2,0.891867392,0.891867392,49.0,49.0,43.0,0.767930464
CMKLR1,2,cg08337166,CMKLR1,0.832061069,0.832061069,121.0,125.0,131.0,0.83829254
CNGA3,2,cg19370054,CNGA3,0.895774648,0.895774648,46.0,45.0,113.0,0.797819016
