Gene,Cluster,Probe_ID,gene_x,"J,J","J,CZ","J,J_rank","J,CZ_rank","J,ER_rank",train_AUC
NEUROD1,1,cg06714480,NEUROD1,1.0,1.0,1.0,1.0,1.0,0.866474697
NKX6-2,1,cg11174855,NKX6-2,0.980392157,0.980392157,4.0,5.0,12.0,0.860235696
TLX1,1,cg14861089,TLX1,0.956852792,0.956852792,6.0,6.0,4.0,0.884738442
HOXA9,1,cg26521404,HOXA9,0.954545455,0.954545455,9.0,9.0,7.0,0.811096891
LEMD2,1,cg07979401,LEMD2,0.935145119,0.935145119,16.0,16.0,125.0,0.824934677
SALL3,1,cg10717463,SALL3,0.934383202,0.934383202,17.0,17.0,35.0,0.822961659
PAX3,1,cg15133719,PAX3,0.923705722,0.923705722,26.0,25.0,20.0,0.875113315
PTF1A,1,cg06550984,PTF1A,0.913842239,0.913842239,33.0,33.0,215.0,0.800671892
PITX1,1,cg00396667,PITX1,0.909547739,0.909547739,34.0,34.0,26.0,0.891670666
FBXO39,1,cg02374745,FBXO39,0.906832298,0.906832298,35.0,35.0,181.0,0.901402442
ONECUT2,1,cg25547580,ONECUT2,0.8956743,0.8956743,47.0,46.0,49.0,0.856876233
MYF6,1,cg05860723,MYF6,0.8875,0.8875,54.0,54.0,44.0,0.78387458
PAX2,1,cg04436818,PAX2,0.881283069,0.881283069,61.0,61.0,111.0,0.814616328
STAT5A,1,cg20388732,STAT5A,0.8801646,0.846188067,65.0,98.0,132.0,0.889617661
WT1,1,cg10244666,WT1,0.880102041,0.880102041,66.0,65.0,52.0,0.724684051
SOX1,1,cg24604013,SOX1,0.87628866,0.87628866,70.0,69.0,25.0,0.797632379
FLI1,1,cg19897940,FLI1,0.872613904,0.872613904,72.0,72.0,60.0,0.884391831
SALL2,1,cg00800229,SALL2,0.868586957,0.868586957,75.0,75.0,189.0,0.825147976
LHX2,1,cg14425564,LHX2,0.8653125,0.8653125,80.0,80.0,69.0,0.907001546
ESRRG,1,cg09106903,ESRRG,0.865,0.865,81.0,81.0,160.0,0.690849464
RFX1,1,cg18642503,RFX1,0.8625,0.8625,84.0,84.0,72.0,0.806324321
BNC1,1,cg09180848,BNC1,0.861333333,0.861333333,85.0,85.0,178.0,0.807604117
HOXD9,1,cg22674699,HOXD9,0.861031023,0.861031023,86.0,86.0,73.0,0.877966192
PRDM16,1,cg03082523,PRDM16,0.854636591,0.853410121,92.0,93.0,78.0,0.898309604
ST7,1,cg00764217,ST7,0.847866419,0.847866419,96.0,96.0,237.0,0.806910894
LHX6,1,cg01549227,LHX6,0.8475,0.8475,97.0,97.0,58.0,0.819735509
HOXC4,1,cg07080050,HOXC4,0.84414972,0.84414972,100.0,102.0,75.0,0.861542153
FEZF2,1,cg20072171,FEZF2,0.8425,0.8425,104.0,106.0,84.0,0.676265131
LHX1,1,cg19760241,LHX1,0.8425,0.8425,104.0,106.0,112.0,0.876873034
TBX18,1,cg06733419,TBX18,0.83998227,0.83998227,109.0,112.0,89.0,0.820322082
CSMD1,1,cg09159022,CSMD1,0.837739241,0.837739241,110.0,113.0,268.0,0.812989922
NKX2-8,1,cg18396984,NKX2-8,0.835,0.835,115.0,118.0,351.0,0.800485256
SHISA3,1,cg14866200,SHISA3,0.831658291,0.789346734,123.0,187.0,163.0,0.76321122
NR5A2,1,cg06880420,NR5A2,0.830769231,0.871794872,125.0,74.0,62.0,0.944648856
FOXQ1,1,cg26422161,FOXQ1,0.83,0.8325,127.0,122.5,101.0,0.795179438
TLX3,1,cg26844246,TLX3,0.829931973,0.829931973,128.0,129.0,103.0,0.78398123
TMEM45B,1,cg18282388,TMEM45B,0.8275,0.84,133.5,109.5,87.0,0.736708793
RUNX1,1,cg15242225,RUNX1,0.824244186,0.824244186,138.0,138.0,133.0,0.771663201
OTX2,1,cg13023623,OTX2,0.818832796,0.782670963,144.0,195.0,173.0,0.868421053
NTM,1,cg05184519,NTM,0.818055556,0.818055556,147.0,145.0,124.0,0.872233776
SALL1,1,cg01146232,SALL1,0.81763285,0.81763285,148.0,146.0,126.0,0.878686077
TCF7L1,1,cg07847030,TCF7L1,0.81524428,0.81524428,149.0,147.0,155.0,0.667839812
