ID,dbeta,UCSC_RefGene_Name
cg24411946,0.43742008117543696,A1CF
cg12187098,0.45726352232940354,A2M
cg27629124,0.4544116273113949,A2ML1
cg12136764,0.44643775644760136,AADAC
cg14239811,-0.5091308664934308,AADAT
cg16926284,-0.5043839972273361,AAGAB
cg04631389,-0.5002019133778053,AANAT
cg17174775,-0.5140646426310299,AASS
cg06971602,-0.5211338763183625,AATF
cg16704802,-0.5129815752792483,ABAT
cg20211653,-0.5098900632326876,ABCA1
cg14019757,-0.42209359990870426,ABCA10
cg15428653,-0.5086421428693784,ABCA2
cg05093254,0.45451152175522563,ABCA3
cg12085314,-0.4947265371471147,ABCA4
cg06001310,-0.5180374648409317,ABCA5
cg03850529,0.4469852594714926,ABCA8
cg06213598,0.4493287595166693,ABCA9
cg00862116,-0.5121564527781443,ABCB1
cg20118424,0.45640112142597916,ABCB11
cg25679366,-0.5018882579982787,ABCB4
cg08888968,0.45841321779260485,ABCB5
cg08290072,-0.5146298672646012,ABCB6
cg24874689,-0.5000785258268892,ABCC1
cg08073652,0.4458869865096057,ABCC10
cg08404739,0.4475291183970614,ABCC11
cg07520093,-0.5200550736683239,ABCC2
cg00126959,-0.4989350769544622,ABCC3
cg17370322,-0.513431775604371,ABCC4
cg12783640,-0.5201168804299636,ABCC5
cg10024478,0.3416167165539359,ABCC6
cg03790908,-0.4980254123724072,ABCC8
cg24540120,-0.522086735955013,ABCE1
cg06030219,-0.5193696657783065,ABCG1
cg11000292,-0.517039067758852,ABCG2
cg02341038,-0.5145295219625688,ABCG4
cg25523753,-0.5186627653133031,ABHD2
cg24770703,-0.5183359107069326,ABHD5
cg19178320,-0.5146333047119755,ABHD6
cg20318353,-0.5123245735085976,ABI1
cg09845946,-0.5138743926379815,ABI2
cg06952307,-0.4967627305013708,ABI3
cg10678718,0.4552953637069627,ABI3BP
cg10288784,-0.5207594441886063,ABL1
cg10832007,-0.5127838992006408,ABL2
cg07241568,-0.4657286418518524,ABO
cg24437429,-0.5124892676256609,ABR
cg24455359,-0.5189443179913542,ACACA
cg23435821,-0.5134786822940268,ACACB
cg21759430,0.44418547560894167,ACAD8
cg21933859,-0.49739413244764685,ACADL
cg05467918,-0.518518531408606,ACADM
cg10174836,-0.5125910180962958,ACADS
cg16968596,-0.5041219052263434,ACAN
