<<<<<<< HEAD
Probe_ID,import_level_in_forest
cg03520644,0.0005281014007433636
cg05047401,0.0004175067772680742
cg06355129,0.0
cg07790615,0.0
cg09106903,0.0
cg14156405,0.0
cg14669379,0.0
cg15031661,0.0
cg17154724,0.0
cg18279094,0.002591603979616598
cg18770350,0.00048258917224434467
cg23049458,0.000414771622358576
cg24932457,0.0
cg26841013,0.0
cg00097146,0.0
cg04037038,0.0
cg07974511,0.0002519462137296533
cg09238180,0.0002934663885269667
cg09799983,0.00023627011780321893
cg10364040,0.0
cg11546137,0.0
cg19053239,0.0020227272727272733
cg21185289,0.0036574249169364637
cg22511877,0.0
cg22674699,0.0
cg00907288,0.0
cg02164046,0.0005662706780751033
cg04738965,0.0
cg12338417,0.0
cg12702981,0.0008294501397949674
cg16768018,0.03422631762532492
cg17373442,0.0
cg20072171,1.6168119980821622e-05
cg27083087,0.0
cg00875805,0.0
cg03544320,0.0
cg05164933,0.0
cg05835105,0.0
cg06083330,0.006955647860063863
cg14866200,0.0
cg17265829,0.0
cg00396667,0.0005214899181185575
cg00582971,0.002067770251913474
cg03604011,0.0
cg08862890,0.0
cg10530883,0.0
cg13667243,0.0
cg14502484,0.0
cg16126280,0.0
cg22784954,0.0002742338441039306
cg26844246,0.0
cg05452406,0.0
cg06392169,0.0002716002288765975
cg08481075,0.0019228966579269004
cg08958294,0.00024129458612217228
cg17264670,0.0002787201837256642
cg17302155,0.0
cg18675097,0.038759845987664555
cg26422161,0.0
cg27252696,0.0
cg00840332,0.0
cg04778012,0.0
cg06173663,0.000758010976853499
cg13476133,0.0037459992692729263
cg14625175,0.0
cg15564098,0.00023568354849387625
cg18952796,0.0
cg21637392,0.001470747953506575
cg26521404,0.0
cg27494647,0.0
cg04842146,0.00025356125356125383
cg07792478,0.0
cg13267264,0.0
cg16783744,0.0
cg22052659,0.0008762593469644116
cg23290344,0.0009166507724585163
cg24848035,0.020733960435474964
cg05863502,0.0003251735476799415
cg13482308,0.0003005910498170562
cg13759674,0.0
cg13791254,0.0
cg14416311,0.0
cg14425564,0.0
cg06304097,0.00023267973856209157
cg09053680,0.0
