Unnamed: 0_tissue_liquid,dbeta_tissue_liquid,gene,Unnamed: 0_liquid_liquid,dbeta_liquid_liquid,dbeta_tissue_normalized_liquid,dbeta_liquid_normalized_liquid,Unnamed: 0_tissue_milk,dbeta_tissue_milk,Unnamed: 0_liquid_milk,dbeta_liquid_milk,dbeta_tissue_normalized_milk,dbeta_liquid_normalized_milk
cg13670057,0.359169702,ABL1,cg02915920,-0.026769908611664,0.8423251414935664,0.5971568802781758,cg13670057,0.359169702,cg14483856,-0.0618992683913651,0.8423251414935664,0.34484740051887
cg10266490,0.403402408,ACOT11,cg10710218,-0.0190991203491499,0.8882023163398793,0.6186489338575799,cg10266490,0.403402408,cg01517571,-0.0670506737708822,0.8882023163398793,0.3265485230508027
cg10976772,0.3655127,ACOT7,cg18148314,-0.0184972662628431,0.8489039573656005,0.620335211698555,cg10976772,0.3655127,cg08679807,-0.0963335888363527,0.8489039573656005,0.222529437924736
cg18770350,0.375085641,ACTN2,cg11215976,-0.0452630610995131,0.8588327979852641,0.5453426715529467,cg18770350,0.375085641,cg18412431,-0.0574641033810641,0.8588327979852641,0.3606020412615415
cg09499849,0.383661303,ACVR1,cg09499849,-0.0363605646373613,0.867727283097635,0.5702857314324685,cg09499849,0.383661303,cg13287763,-0.0619346549228614,0.867727283097635,0.3447217001019613
cg22784954,0.406545476,ADAMTS16,cg01085224,-0.0479396557015016,0.8914622362776252,0.5378433751797957,cg22784954,0.406545476,cg06758605,-0.033655995000379,0.8914622362776252,0.4451734593325966
cg19619405,0.446403635,ADAMTS20,cg02925039,-0.0241386854503251,0.932802228669118,0.6045290547180854,cg19619405,0.446403635,cg01345315,-0.0389641341329576,0.932802228669118,0.4263178305450182
cg11859607,0.385062166,ADCYAP1,cg11859607,-0.0236839674673309,0.8691802269167794,0.6058030858762374,,,,,,
cg07563400,0.350357633,ADORA2B,cg08826152,-0.0301484033363332,0.8331854603203013,0.5876909965703486,cg07563400,0.350357633,cg23353570,-0.1070350750002588,0.8331854603203013,0.1845155039372904
cg14669379,0.415591024,ADORA3,cg07314829,-0.0371786503055597,0.9008440766555734,0.5679936148452613,cg14669379,0.415591024,cg26233373,-0.0617746590108062,0.9008440766555734,0.3452900392976556
cg23750206,0.355067174,AFAP1,cg07109358,-0.0285841950950263,0.8380700910707437,0.5920736031788245,cg23750206,0.355067174,cg06651522,-0.0786523116340463,0.8380700910707437,0.2853370605378619
cg09651145,0.409494803,AFAP1L1,cg09651145,-0.041629977781526,0.894521212376848,0.5555218628767633,cg09651145,0.409494803,cg23520478,-0.0453122502523038,0.894521212376848,0.4037679843452093
cg03604011,0.393768616,AHRR,cg24980413,-0.0310894295862703,0.8782103624219569,0.5850544244357601,cg03604011,0.393768616,cg07599136,-0.0715554991228104,0.8782103624219569,0.3105464340950885
cg08076018,0.461529788,ANGPTL2,cg08076018,-0.0134983025550619,0.9484907367593324,0.6343413336474768,cg08076018,0.461529788,cg08076018,-0.0193394972951428,0.9484907367593324,0.4960286761092934
cg20399616,0.422694011,BCAT1,cg27093403,-0.027631213398638,0.9082111361461253,0.594743672144104,cg20399616,0.422694011,cg15845673,-0.069517622896268,0.9082111361461253,0.3177853998951518
cg11718030,0.381226283,BDNF,cg02613510,-0.1277204719867495,0.8652017347331675,0.3143130782231743,cg11718030,0.381226283,cg11806762,-0.0441910173979536,0.8652017347331675,0.4077508397222111
cg26492446,0.364956671,BHLHE23,cg06550340,-0.0417104357239608,0.8483272565041922,0.555296435404316,,,,,,
cg09180848,0.383298203,BNC1,cg04090392,-0.0339581972798987,0.8673506838864835,0.5770166965167629,cg09180848,0.383298203,cg08633249,-0.0316597117166463,0.8673506838864835,0.4522646782348838
cg20624391,0.35382542,BVES,cg14869949,-0.0103694309151456,0.8367821715531336,0.6431078221264742,cg20624391,0.35382542,cg14869949,-0.0374238916184995,0.8367821715531336,0.4317890965329841
cg00164949,0.350407505,C1QL1,cg13818573,-0.0384328784742016,0.8332371864449462,0.5644795119814163,cg00164949,0.350407505,cg25541078,-0.0326219242698352,0.8332371864449462,0.4488466964780898
cg05863502,0.420555562,CACNA1B,cg13811936,-0.0780868834585851,0.9059931845997532,0.4533767190745756,cg05863502,0.420555562,cg13960084,-0.085880643447026,0.9059931845997532,0.2596605027056675
cg25839439,0.365080126,CAPZB,cg00968167,-0.0240872939223042,0.8484553012731613,0.6046730437627511,cg25839439,0.365080126,cg11962640,-0.0778426651908262,0.8484553012731613,0.2882130953216611
cg08351336,0.364171347,CARTPT,cg02762440,-0.0180008217039641,0.8475127359894625,0.621726152589307,cg08351336,0.364171347,cg14999396,-0.0371757141136093,0.8475127359894625,0.4326706753290101
cg16260298,0.392803802,CAV2,cg00917413,-0.0108481972980914,0.877209678887647,0.6417664120389904,,,,,,
cg03576469,0.484583812,CCDC8,cg03576469,-0.0250329747531521,0.9724018556033638,0.6020234303996863,cg03576469,0.484583812,cg03576469,-0.0533567272651421,0.9724018556033638,0.3751923067761472
cg13391820,0.392484716,CCND2,cg09799980,-0.0193853470474459,0.8768787300143629,0.6178469824381025,,,,,,
cg26043257,0.363787123,CD38,cg20931972,-0.0231462250931281,0.847114227437258,0.6073097351960681,cg26043257,0.363787123,cg27473538,-0.0476113497680614,0.847114227437258,0.3956010983740483
cg07198552,0.412855358,CDH4,cg01730668,-0.0177895533608419,0.8980067049740148,0.6223180853079042,cg07198552,0.412855358,cg10754505,-0.0873186072663474,0.8980067049740148,0.2545525521961033
cg25630910,0.355796472,CDK2AP1,cg04464465,-0.0363027913500813,0.8388265026694613,0.5704476009226939,cg25630910,0.355796472,cg14017077,-0.0344978715400489,0.8388265026694613,0.4421829364543322
cg24973993,0.396548227,CIT,cg10923838,-0.0347160222677663,0.8810933128761239,0.5748934186102855,cg24973993,0.396548227,cg14997376,-0.0390001888581963,0.8810933128761239,0.4261897565631276
cg25032595,0.459546713,CLDN10,cg24426691,-0.0325357299590176,0.9464339356559056,0.5810021726932761,,,,,,
cg20486569,0.369454322,CLDN5,cg17577122,-0.0154826575692494,0.8529921196786201,0.6287815576732277,cg20486569,0.369454322,cg09446908,-0.0596005706520093,0.8529921196786201,0.353012859295585
cg02732252,0.379190565,CLDN6,cg02732252,-0.0345676161616897,0.8630903334857787,0.5753092235933139,cg02732252,0.379190565,cg17865114,-0.0176836023896479,0.8630903334857787,0.5019107637617485
cg03520644,0.356679775,COL11A1,cg27229407,-0.0142371944151242,0.8397426448148972,0.6322711026748075,cg03520644,0.356679775,cg16968885,-0.0263939091617831,0.8397426448148972,0.4709699185767942
cg08481075,0.424805679,COL11A2,cg17161718,-0.0293020471651189,0.910401311037378,0.5900623215967332,cg08481075,0.424805679,cg10143146,-0.0996523311743957,0.910401311037378,0.210740565778621
cg09211763,0.36629603,COL5A2,cg07875385,-0.0343341179544947,0.8497164097480607,0.5759634400581659,cg09211763,0.36629603,cg07466651,-0.0359008613307625,0.8497164097480607,0.4371992210644896
cg24319381,0.354493681,CPEB1,cg04140663,-0.0285496365248669,0.8374752769385463,0.5921704295565153,cg24319381,0.354493681,cg07624612,-0.0690150109755829,0.8374752769385463,0.3195707833532615
cg18091615,0.372070338,CREB3L2,cg18851730,-0.0191859968631658,0.8557053930522353,0.6184055227986218,cg18091615,0.372070338,cg05222850,-0.0773661473055654,0.8557053930522353,0.2899057872671253
cg03544320,0.393826578,CRMP1,cg22680204,-0.0468619010394003,0.8782704793139338,0.5408630336751982,cg03544320,0.393826578,cg09883987,-0.0584843954111969,0.8782704793139338,0.3569777489635054
cg12034943,0.351844977,CRTC1,cg02705909,-0.0122336604570349,0.8347281003013284,0.6378846143116543,cg12034943,0.351844977,cg14292368,-0.0492747082114379,0.8347281003013284,0.3896924986622402
cg16596604,0.379361932,CRYM,cg06490869,-0.055995628672853,0.863268071511164,0.5152721091235262,cg16596604,0.379361932,cg00800759,-0.14437520281327,0.863268071511164,0.0518755012286867
cg09159022,0.364693078,CSMD1,cg23495279,-0.0276271030011281,0.8480538637312232,0.594755188676759,cg09159022,0.364693078,cg06710438,-0.0854982861372947,0.8480538637312232,0.2610187164443131
cg22052659,0.375865314,CSMD3,cg23282837,-0.0614870639659099,0.8596414574089934,0.4998861777815069,cg22052659,0.375865314,cg15943335,-0.0343931557581789,0.8596414574089934,0.44255490897838
cg06173663,0.428116723,CUX1,cg23445003,-0.037281588537143,0.913835451931038,0.5677052019843082,cg06173663,0.428116723,cg02775353,-0.1583138072606752,0.913835451931038,0.0023626409375722
cg09799983,0.351652162,CYP1B1,cg03890222,-0.03731563519957,0.8345281168893257,0.5676098098723062,cg09799983,0.351652162,cg05062676,-0.0504009934818397,0.8345281168893257,0.3856916960387232
cg12290311,0.437089518,DAB2,cg19805179,-0.0196230119654401,0.923141834522126,0.6171810916617351,cg12290311,0.437089518,cg18264728,-0.0779250827228656,0.923141834522126,0.2879203308799408
cg02874376,0.363179789,DLK1,cg10528576,-0.0424924747932524,0.8464843141756069,0.5531053143613146,cg02874376,0.363179789,cg13546977,-0.058108183865657,0.8464843141756069,0.358314131652641
cg17154724,0.480495345,DNM3,cg06320175,-0.0157215675257898,0.9681613889357268,0.6281121785415273,cg17154724,0.480495345,cg16679515,-0.0683202762160597,0.9681613889357268,0.3220386276211326
cg08862890,0.406195338,DOCK2,cg04730794,-0.0326535515429502,0.8910990809634027,0.580672059579991,cg08862890,0.406195338,cg21131622,-0.1195650026515205,0.8910990809634027,0.140006560477733
cg16783744,0.364772563,DPYS,cg10303487,-0.0113963042512357,0.8481363037981424,0.6402307231891511,cg16783744,0.364772563,cg09929374,-0.0858365021149562,0.8481363037981424,0.2598173020191198
cg07581623,0.358339673,DPYSL2,cg10789956,-0.023877048496862,0.8414642539512012,0.6052621104653885,cg07581623,0.358339673,cg14967899,-0.0761135326593725,0.8414642539512012,0.2943553384549488
cg11814235,0.379666472,DSC3,cg25970832,-0.0232733412156828,0.8635839335980934,0.6069535805971852,,,,,,
cg26186239,0.375045506,EEF1A2,cg19089985,-0.0119239317396225,0.8587911708595698,0.6387524138078596,cg26186239,0.375045506,cg20015424,-0.1082026433246077,0.8587911708595698,0.1803680552065403
cg05385513,0.355733877,EFEMP1,cg24719005,-0.0340779700832312,0.8387615805333499,0.5766811164670361,cg05385513,0.355733877,cg16947612,-0.0771706685882767,0.8387615805333499,0.2906001688643306
cg06998282,0.449691453,ENPP2,cg20048037,-0.0159826842259484,0.9362122800742674,0.6273805804425796,cg06998282,0.449691453,cg20162626,-0.0660764833534949,0.9362122800742674,0.3300090527053348
cg15540820,0.386713975,EOMES,cg16971668,-0.0278069132159595,0.870893446322929,0.5942513955020515,cg15540820,0.386713975,cg01176458,-0.0379779988871347,0.870893446322929,0.4298207907472975
cg02374745,0.350576723,FBXO39,cg21985295,-0.0148322730805916,0.8334126955755234,0.6306038082424106,cg02374745,0.350576723,cg13823366,-0.0881812799920411,0.8334126955755234,0.2514881568826844
cg09293816,0.36445231,FCGRT,cg18081863,-0.0251403997984,0.8478041445385199,0.6017224463613808,,,,,,
cg20072171,0.416587878,FEZF2,cg11374425,-0.0125329978523805,0.9018779913623574,0.6370459292744821,cg20072171,0.416587878,cg08681924,-0.0593501926983417,0.9018779913623574,0.3539022545493708
cg07100000,0.393301978,FGF18,cg12364324,-0.0162058618621528,0.8777263759094444,0.6267552802060355,cg07100000,0.393301978,cg14665812,-0.0541991807080762,0.8777263759094444,0.3721997346159171
cg06169131,0.385280342,FGF8,cg16584573,-0.0133245311127639,0.8694065141916133,0.6348282073585776,,,,,,
cg19897940,0.367303035,FLI1,cg16024530,-0.0200446001044142,0.8507608528453496,0.6159998838691082,cg19897940,0.367303035,cg11478199,-0.0501891231717712,0.8507608528453496,0.3864443040276966
cg01537995,0.406090974,FLRT2,cg04862347,-0.0436523991287355,0.8909908369532882,0.5498554324569891,cg01537995,0.406090974,cg13232249,-0.0282694712362155,0.8909908369532882,0.4643075268496244
cg15031661,0.405572536,FMN2,cg13966628,-0.0256096358451495,0.8904531246375873,0.6004077384183378,cg15031661,0.405572536,cg04406200,-0.0584155187257726,0.8904531246375873,0.3572224134645748
cg03774514,0.471647257,FOXA2,cg20504791,-0.0342111265751592,0.958984349660048,0.5763080379305124,,,,,,
cg18279094,0.4636172,FOXD3,cg26789332,-0.0162361613250906,0.9506557538690767,0.6266703870166265,cg18279094,0.4636172,cg21836358,-0.0378320077697605,0.9506557538690767,0.4303393819610426
cg13791254,0.492265018,FOXE1,cg13791254,-0.0162344890868095,0.9803686309277708,0.6266750723023501,,,,,,
cg07489048,0.398116529,FOXG1,cg16804284,-0.0412110775323803,0.8827199206867747,0.5566955397259943,cg07489048,0.398116529,cg08120263,-0.0303719740754182,0.8827199206867747,0.4568389937025708
cg26422161,0.439198021,FOXQ1,cg03730958,-0.0481868261439988,0.9253287267460604,0.537150851776516,cg26422161,0.439198021,cg27336026,-0.0294701090695488,0.9253287267460604,0.4600426082541962
cg04037038,0.368369372,FRZB,cg04037038,-0.021297757181381,0.8518668337680201,0.6124887819953677,,,,,,
cg21739530,0.359282625,GALNT7,cg08422745,-0.0361965060038794,0.8424422627073391,0.570745391746414,cg21739530,0.359282625,cg08422745,-0.0711652356370925,0.8424422627073391,0.3119327322369136
cg03502002,0.500378019,GALR1,cg10390058,-0.0525394860539781,0.9887832543832136,0.5249555470963763,cg03502002,0.500378019,cg03175653,-0.049109119324644,0.9887832543832136,0.3902807052828186
cg07879739,0.368367797,GALR3,cg09341580,-0.0237055137067038,0.8518652002131935,0.6057427175131449,,,,,,
cg14416311,0.353770832,GAS1,cg26447413,-0.0337562439487917,0.8367255540986078,0.5775825303873054,,,,,,
cg13476133,0.416435633,GCK,cg14871932,-0.0226099311624662,0.9017200862483344,0.608812326259417,cg13476133,0.416435633,cg26992186,-0.0362085743568726,0.9017200862483344,0.4361061595511197
cg17152757,0.353777712,GHSR,cg22070855,-0.0221265805331777,0.8367326898809617,0.6101665805116263,cg17152757,0.353777712,cg00901598,-0.0646603173398632,0.8367326898809617,0.3350395728156192
cg13713922,0.446561633,GLI2,cg26228577,-0.0417901545596233,0.9329661006662636,0.5550730787649835,cg13713922,0.446561633,cg06391871,-0.0724279533033739,0.9329661006662636,0.3074472929927179
cg08578734,0.411500024,GRIA1,cg26343183,-0.0358732238587255,0.8966009828169044,0.5716511653054192,cg08578734,0.411500024,cg21146273,-0.0724557288402027,0.8966009828169044,0.3073486284327396
cg08958294,0.397115204,GRM1,cg21714266,-0.0435532964249612,0.8816813687586385,0.5501330989166135,cg08958294,0.397115204,cg13830799,-0.0396641597516802,0.8816813687586385,0.4238311920303235
cg00582971,0.409883565,GRM6,cg19806642,-0.0132761051264311,0.8949244276413088,0.6349638875334542,cg00582971,0.409883565,cg00986191,-0.0594496198845445,0.8949244276413088,0.3535490682316032
cg17508991,0.42353812,HCK,cg17326769,-0.0179252155642819,0.9090866271500524,0.6219379862561183,,,,,,
cg21899596,0.403477089,HOPX,cg19978674,-0.0730137391577077,0.8882797738052828,0.4675906805866315,,,,,,
