Unnamed: 0_tissue_liquid,dbeta_tissue_liquid,gene,Unnamed: 0_liquid_liquid,dbeta_liquid_liquid,dbeta_tissue_normalized_liquid,dbeta_liquid_normalized_liquid,Unnamed: 0_tissue_milk,dbeta_tissue_milk,Unnamed: 0_liquid_milk,dbeta_liquid_milk,dbeta_tissue_normalized_milk,dbeta_liquid_normalized_milk
cg01556466,-0.362418419,ADCYAP1R1,cg02418899,-0.0226201601842389,0.0939100570956245,0.6087836665341736,cg01556466,-0.362418419,cg02846790,-0.0415206973074915,0.0939100570956245,0.4172363794023488
cg26231761,-0.3778983,AJAP1,cg12665669,-0.036589979556421,0.0778546702233604,0.5696429555450879,cg26231761,-0.3778983,cg02482718,-0.101112576426605,0.0778546702233604,0.2055534669240537
cg14856606,-0.375462304,C4BPA,cg26430305,-0.0200902468612586,0.0803812308732315,0.6158719905535516,cg14856606,-0.375462304,cg22332276,-0.0234153854118617,0.0803812308732315,0.4815502626033498
cg00350503,-0.359148438,CACNA1A,cg22187630,-0.0200820698669059,0.0973016083627145,0.6158949008979298,cg00350503,-0.359148438,cg20099906,-0.0901517399387495,0.0973016083627145,0.2444886679152813
cg12496211,-0.405980877,CACNA1C,cg27470433,-0.0425406139138223,0.04872804850675,0.5529704379283918,cg12496211,-0.405980877,cg07267600,-0.0721236087603642,0.04872804850675,0.3085283889442718
cg11388802,-0.382487025,CACNA1E,cg18533386,-0.0228432482659748,0.073095347130022,0.608158617211795,cg11388802,-0.382487025,cg14528916,-0.0357374959365379,0.073095347130022,0.4377795293709035
cg06203976,-0.380759255,CADM3,cg03789420,-0.0213117328548457,0.0748873515889899,0.6124496248823524,,,,,,
cg09149672,-0.364094162,CD1C,cg16993682,-0.0142736520586189,0.0921720138791754,0.632168955463784,cg09149672,-0.364094162,cg27534912,-0.0219931653489161,0.0921720138791754,0.4866022879725721
cg05799811,-0.39125384,CD247,cg02648847,-0.0316458313199113,0.0640026023949321,0.5834954952277249,cg05799811,-0.39125384,cg21108412,-0.0626311614563902,0.0640026023949321,0.3422475621194548
cg08337166,-0.373463915,CMKLR1,cg08110272,-0.0218312159031959,0.0824539153154619,0.6109941346345906,cg08337166,-0.373463915,cg26329192,-0.0470100775051521,0.0824539153154619,0.3977369441585159
cg19313373,-0.374184431,DDR2,cg04510153,-0.0249360245731008,0.0817066122110222,0.6022950659073926,cg19313373,-0.374184431,cg21140079,-0.0367108082420396,0.0817066122110222,0.4343221189548341
cg22719314,-0.366671189,FLG,cg22719314,-0.0119579475567555,0.0894991790256471,0.6386571081183593,,,,,,
cg24749089,-0.352747442,FMNL2,cg00612751,-0.0285251029913262,0.1039405784651213,0.5922391677356053,cg24749089,-0.352747442,cg26204803,-0.0623940001113586,0.1039405784651213,0.3430900091942183
cg21253043,-0.354227832,GALNT6,cg01777341,-0.0510537626840005,0.1024051510175956,0.5291182543930663,,,,,,
cg01549227,-0.39048488,LHX6,cg13817952,-0.0331795257921896,0.0648001505343072,0.5791983822525536,cg01549227,-0.39048488,cg00115194,-0.0346761543880871,0.0648001505343072,0.4415496382084048
cg02196651,-0.383818323,LNX1,cg13998003,-0.0315725777895252,0.0717145545753331,0.5837007373418415,cg02196651,-0.383818323,cg14748746,-0.0987597378001631,0.0717145545753331,0.2139112455408536
cg11201447,-0.399030089,MIR1204,cg23283234,-0.0143345618430475,0.0559372505934515,0.6319982981198906,cg11201447,-0.399030089,cg26900458,-0.0450761178955392,0.0559372505934515,0.4046067762368088
cg12280471,-0.391068171,NLRP3,cg21991396,-0.0304935829011843,0.0641951741353212,0.5867238707094317,cg12280471,-0.391068171,cg14413862,-0.0258505633308528,0.0641951741353212,0.4728999974679862
cg06880420,-0.452962267,NR5A2,cg00001583,-0.0194750791059032,0.0,0.6175955707002009,cg06880420,-0.452962267,cg04857472,-0.059349979413271,0.0,0.3539030121828876
cg25581330,-0.363809032,PDLIM3,cg16785698,-0.0128659899917225,0.0924677443475743,0.6361129502043606,cg25581330,-0.363809032,cg17264240,-0.0364556880826991,0.0924677443475743,0.435228359522499
cg06974428,-0.43151157,PIP4K2A,cg20641026,-0.0205211235584003,0.0222481838855682,0.6146647580313946,,,,,,
cg12636785,-0.376016621,PLD5,cg07137606,-0.0420425788523423,0.0798063056599904,0.5543658350974231,cg12636785,-0.376016621,cg23840812,-0.0319816319030009,0.0798063056599904,0.4511211498944385
cg03082523,-0.382252891,PRDM16,cg21609526,-0.1431798199054549,0.0733381856860775,0.2709989985743938,,,,,,
cg25305774,-0.351587219,RAD54B,cg25305774,-0.0100422610359984,0.105143935850304,0.6440244883583608,cg25305774,-0.351587219,cg25305774,-0.0219164949266694,0.105143935850304,0.4868746374692154
cg21646032,-0.377417377,RARB,cg18094781,-0.0195761521566048,0.0783534728188565,0.6173123837125313,cg21646032,-0.377417377,cg20981919,-0.0455786166702668,0.0783534728188565,0.4028217946969836
cg10019467,-0.371359533,RBM47,cg20789700,-0.021476275082487,0.0846365333302275,0.6119886096318308,cg10019467,-0.371359533,cg22056336,-0.0680048784630486,0.0846365333302275,0.3231589869038639
cg00936935,-0.38737773,SGMS1,cg18776286,-0.0162805737329727,0.0680228171245836,0.6265459521062722,cg00936935,-0.38737773,cg06371346,-0.0367764052246275,0.0680228171245836,0.4340891046493741
cg13590228,-0.369181029,SIAH2,cg00676042,-0.0102573401285492,0.0868960290280804,0.6434218786626271,cg13590228,-0.369181029,cg07532067,-0.034163979961426,0.0868960290280804,0.4433689897028562
cg06389019,-0.372967109,SLC9A3R1,cg08698015,-0.0270112588957563,0.0829691914038544,0.5964806638243252,,,,,,
cg18282388,-0.371558062,TMEM45B,cg25124966,-0.016893841315461,0.0844306234850315,0.6248276958736292,cg18282388,-0.371558062,cg04351131,-0.0426616871012651,0.0844306234850315,0.4131833432131185
