Sample_Name,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
1,,Normal,,6026818108,R03C02
2,,Normal,,6026818108,R03C02
3,,Normal,,6026818135,R04C02
4,,Normal,,6026818135,R04C02
5,,Normal,,6026818144,R05C02
6,,Normal,,6026818144,R05C02
7,,Normal,,6026818135,R05C02
8,,Normal,,6026818135,R05C02
9,,Normal,,6026818139,R01C02
10,,Normal,,6026818139,R01C02
11,,Normal,,6026818144,R06C02
12,,Normal,,6026818144,R06C02
13,,Normal,,6026818129,R01C01
14,,Normal,,6026818129,R01C01
15,,Normal,,6026818129,R03C02
16,,Normal,,6026818129,R03C02
17,,Normal,,6026818135,R05C01
18,,Normal,,6026818135,R05C01
19,,Normal,,6026818128,R06C01
20,,Normal,,6026818128,R06C01
21,,Normal,,6026818132,R02C01
22,,Normal,,6026818132,R02C01
23,,Normal,,6026818144,R06C01
24,,Normal,,6026818144,R06C01
25,,Normal,,6026818144,R01C02
26,,Normal,,6026818144,R01C02
27,,Normal,,6026818145,R03C01
28,,Normal,,6026818145,R03C01
29,,Normal,,6026818129,R04C01
30,,Normal,,6026818129,R04C01
31,,Normal,,6026818055,R02C01
32,,Normal,,6026818055,R02C01
33,,Normal,,6026818102,R03C02
34,,Normal,,6026818102,R03C02
35,,Normal,,6026818122,R01C02
36,,Normal,,6026818122,R01C02
37,,Normal,,6026818122,R05C02
38,,Normal,,6026818122,R05C02
39,,Normal,,6026818111,R01C01
40,,Normal,,6026818111,R01C01
41,,Normal,,6026818111,R06C01
42,,Normal,,6026818111,R06C01
43,,Normal,,6026818111,R04C02
44,,Normal,,6026818111,R04C02
45,,Normal,,6026818111,R05C02
46,,Normal,,6026818111,R05C02
47,,Normal,,6026818070,R01C01
48,,Normal,,6026818070,R01C01
49,,Normal,,6057833101,R02C01
50,,Normal,,6057833101,R02C01
51,,Normal,,6057833101,R06C02
52,,Normal,,6057833101,R06C02
53,,Normal,,6042316130,R04C01
54,,Normal,,6042316130,R04C01
55,,Normal,,6042316130,R02C02
56,,Normal,,6042316130,R02C02
57,,Normal,,6042316130,R04C02
58,,Normal,,6042316130,R04C02
59,,Normal,,6042316130,R06C02
60,,Normal,,6042316130,R06C02
61,,Normal,,6042316157,R02C01
62,,Normal,,6042316157,R02C01
63,,Normal,,6042316157,R04C01
64,,Normal,,6042316157,R04C01
65,,Normal,,6042316157,R06C01
66,,Normal,,6042316157,R06C01
67,,Normal,,6042316157,R04C02
68,,Normal,,6042316157,R04C02
69,,Normal,,6042316157,R06C02
70,,Normal,,6042316157,R06C02
71,,Normal,,6042324005,R03C01
72,,Normal,,6042324005,R03C01
73,,Normal,,6042324005,R04C02
74,,Normal,,6042324005,R04C02
75,,Normal,,6042324006,R03C01
76,,Normal,,6042324006,R03C01
77,,Normal,,6042324006,R04C01
78,,Normal,,6042324006,R04C01
79,,Normal,,6042324006,R05C02
80,,Normal,,6042324006,R05C02
81,,Normal,,6057833134,R03C02
82,,Normal,,6057833134,R03C02
83,,Normal,,6057833134,R04C02
84,,Normal,,6057833134,R04C02
85,,Normal,,6057833155,R06C02
86,,Normal,,6057833155,R06C02
87,,Normal,,6057833159,R05C02
88,,Normal,,6057833159,R05C02
89,,Normal,,6057833166,R01C01
90,,Normal,,6057833166,R01C01
91,,Normal,,6057833166,R03C01
92,,Normal,,6057833166,R03C01
93,,Normal,,6285633051,R02C01
94,,Normal,,6285633051,R02C01
95,"",tumor_TNBC,"",200514090096,R01C02
96,"",tumor_TNBC,"",200514090096,R01C02
97,"",tumor_TNBC,"",200514090100,R06C01
98,"",tumor_TNBC,"",200514090100,R06C01
99,"",tumor_TNBC,"",200514090099,R01C01
100,"",tumor_TNBC,"",200514090099,R01C01
101,"",tumor_TNBC,"",200514090100,R05C02
102,"",tumor_TNBC,"",200514090100,R05C02
103,"",tumor_TNBC,"",200514090100,R02C01
104,"",tumor_TNBC,"",200514090100,R02C01
