Unnamed: 0,dbeta,gene,"J,J","J,CZ","J,ER","J,F1","CZ,J","CZ,CZ","CZ,ER","CZ,F1","ER,J","ER,CZ","ER,ER","ER,F1","F1,J","F1,CZ","F1,ER","F1,F1","J,J_rank","J,CZ_rank","J,ER_rank","J,F1_rank","CZ,J_rank","CZ,CZ_rank","CZ,ER_rank","CZ,F1_rank","ER,J_rank","ER,CZ_rank","ER,ER_rank","ER,F1_rank","F1,J_rank","F1,CZ_rank","F1,ER_rank","F1,F1_rank",train_AUC,test_AUC,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10
cg18759209,0.3739319822804813,BMP7,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.6950000000000001,0.7137,0.7137,0.7137,0.7137,0.235849528301415,0.235849528301415,0.235849528301415,0.235849528301415,0.8421238938053097,0.8421238938053097,0.8421238938053097,0.8421238938053097,228.0,228.0,201.5,225.0,232.0,232.0,207.0,229.0,234.0,235.0,220.5,232.0,233.0,233.0,211.0,230.0,0.823228283474644,0.8841750000000002,0.418275784204826,0.489037663875459,20.0245518189784,4.76457894586118e-74,6.307948612520679e-72,157.827171719494,0.117236966804502,0.535512751009329,0.418275784204827,20,55842071,R,I,TSS1500,shore,TSS1500-shore,chr20:55840216-55841794,True,,,,
cg09293816,0.3644523098334973,FCGRT,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7749999999999999,0.7876,0.7876,0.7876,0.7876,0.1594521871910197,0.1594521871910197,0.1594521871910197,0.1594521871910197,0.8874366197183099,0.8874366197183099,0.8874366197183099,0.8874366197183099,116.5,115.5,91.5,111.5,113.0,112.0,89.0,107.0,90.0,92.0,81.0,90.0,110.0,109.0,89.0,105.0,0.8989761638137898,0.8203250000000001,0.346437273517655,0.641543533327885,19.6136291638464,1.39876832275599e-71,1.6385823402044198e-69,152.165341583842,0.333599290201082,0.680036563718736,0.346437273517654,19,50015532,F,II,TSS200,shore,TSS200-shore,chr19:50016531-50016851,True,,,,
cg26405020,0.3690032323414888,FES,0.74,0.74,0.74,0.74,0.756,0.756,0.756,0.756,0.188679622641132,0.188679622641132,0.188679622641132,0.188679622641132,0.8689655172413793,0.8689655172413793,0.8689655172413793,0.8689655172413793,173.0,170.5,146.5,167.5,170.0,167.0,144.5,163.5,149.5,153.5,138.0,156.5,164.5,164.5,143.0,162.5,0.6762651309123874,0.7732,0.373747707369203,0.543356126904875,17.8889774488542,1.84903668572441e-61,1.32022673114763e-59,128.949034031842,0.211135942576695,0.584883649945898,0.373747707369203,15,91427363,F,II,TSS1500,shore,TSS1500-shore,chr15:91427540-91427905,True,,,,
cg04037038,0.3683693722461723,FRZB,0.675,0.675,0.675,0.675,0.6981,0.6981,0.6981,0.6981,0.2437724348649781,0.2437724348649781,0.2437724348649781,0.2437724348649781,0.8335522388059702,0.8335522388059702,0.8335522388059702,0.8335522388059702,257.0,256.0,228.0,252.5,255.0,255.0,229.5,251.0,248.0,249.0,231.5,246.0,251.0,253.0,230.5,249.0,0.9029221991148084,0.8394499999999998,0.335562417497304,0.37324925424171,11.6050684262083,4.102013482557e-29,5.2165581587615095e-28,54.8729825359559,0.0749715497996619,0.410533967296966,0.335562417497304,2,183732062,R,I,TSS1500,island,TSS1500-island,chr2:183731819-183732093,True,,,,
cg01158680,0.4073946771569954,MAGI2,0.6375000000000002,0.6375000000000002,0.6375000000000002,0.6375000000000002,0.6688500000000001,0.6688500000000001,0.6688500000000001,0.6688500000000001,0.2621187707891214,0.2621187707891214,0.2621187707891214,0.2621187707891214,0.8169160305343511,0.8169160305343511,0.8169160305343511,0.8169160305343511,297.0,295.5,261.0,290.5,288.0,288.0,261.0,287.0,273.0,276.0,255.0,276.0,285.0,285.0,259.0,284.0,0.7714765637498,0.7887000000000001,0.400918228063138,0.466653982650067,16.1998174221791,5.566297845871721e-52,2.4578768502731297e-50,107.217269305564,0.110282224371722,0.51120045243486,0.400918228063138,7,79083997,R,II,TSS1500,shore,TSS1500-shore,chr7:79082174-79082427,,,,,
cg07792478,0.4380577739941506,MIR124-2,0.835,0.835,0.835,0.835,0.84,0.84,0.84,0.84,0.1312440474840669,0.1312440474840669,0.1312440474840669,0.1312440474840669,0.9155313351498636,0.9155313351498636,0.9155313351498636,0.9155313351498636,45.0,44.0,38.0,42.0,44.0,43.5,38.5,41.5,35.5,36.5,41.5,36.5,44.5,45.5,39.5,43.5,0.837865941449368,0.813975,0.408226234100952,0.542718440752939,17.2032103901962,1.48581232681466e-57,8.666814423163009e-56,119.994452508271,0.179850677107649,0.5880769112086,0.408226234100951,8,65290484,F,I,TSS1500,island,TSS1500-island,chr8:65290108-65290946,,,,,
cg18710784,0.4134293453131063,OPCML,0.7974999999999999,0.7174999999999998,0.7174999999999998,0.7174999999999998,0.80605,0.7371,0.7371,0.7371,0.1546164609606622,0.2015099253138664,0.2015099253138664,0.2015099253138664,0.8968567454798332,0.8583406113537119,0.8583406113537119,0.8583406113537119,82.0,199.5,170.5,194.5,81.0,196.0,167.0,191.0,80.0,175.0,156.0,173.0,82.0,191.0,162.0,187.0,0.868421052631579,0.8330749999999999,0.367406690215914,0.444992947804712,13.9879050875291,2.26434071549094e-40,5.42507304475315e-39,80.6224041377104,0.118409223168343,0.485815913384258,0.367406690215915,11,132813563,R,II,TSS1500,island,TSS1500-island,chr11:132813562-132814395,,,,,
cg02571816,0.3557841129347949,PPP1R14A,0.7675000000000001,0.7675000000000001,0.7675000000000001,0.7675000000000001,0.7797000000000001,0.7797000000000001,0.7797000000000001,0.7797000000000001,0.1722099009929452,0.1722099009929452,0.1722099009929452,0.1722099009929452,0.8822630834512023,0.8822630834512023,0.8822630834512023,0.8822630834512023,130.0,129.0,103.5,123.5,125.0,125.0,103.0,122.0,116.0,117.0,106.0,115.0,124.0,124.0,104.0,122.0,0.7871273929504613,0.7407249999999999,0.359480437150263,0.433530776840735,13.8067387583411,1.81813834502776e-39,4.14017780283895e-38,78.5513835519399,0.113992610484946,0.473473047635209,0.359480437150263,19,38747378,R,I,TSS1500,island,TSS1500-island,chr19:38746638-38747379,True,,,,
cg27494647,0.4199243365622295,RARRES2,0.6349999999999998,0.6349999999999998,0.6349999999999998,0.6349999999999998,0.6682999999999999,0.6682999999999999,0.6682999999999999,0.6682999999999999,0.2581181899828062,0.2581181899828062,0.2581181899828062,0.2581181899828062,0.8174923547400611,0.8174923547400611,0.8174923547400611,0.8174923547400611,304.0,304.0,265.0,299.0,290.0,290.0,262.0,289.0,267.0,270.0,247.0,270.0,284.0,284.0,257.0,283.0,0.7846744520876658,0.7547749999999999,0.370545457678151,0.623712137135612,20.949658590427,1.13181098455945e-79,1.9739311438665697e-77,170.73268677734,0.294338396977256,0.664883854655406,0.37054545767815,7,150038898,F,I,TSS200,island,TSS200-island,chr7:150037459-150039031,True,,,,
cg24848035,0.4359278126134535,RGS22,0.6475,0.6475,0.5549999999999999,0.6475,0.67855,0.67855,0.5984999999999999,0.67855,0.2493115520789199,0.2493115520789199,0.3332041416309227,0.2493115520789199,0.823732928679818,0.823732928679818,0.7697749196141478,0.823732928679818,280.5,280.5,321.5,278.5,276.0,276.0,321.0,274.0,257.0,259.0,319.0,257.0,271.0,271.0,320.0,270.0,0.8348530901722392,0.8412500000000002,0.397815206520279,0.589097407861623,24.4621902682092,1.05151950171455e-101,5.58598499864165e-99,221.30107857112,0.235483890954709,0.633299097474988,0.397815206520279,8,101118525,F,I,TSS200,island,TSS200-island,chr8:101117922-101118693,,True,,rs2980532,
