gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO,cluster
ACAN,cg16968596,0.336745,TSS200,cg14914908,-0.235108,TSS1500,3
ADD2,cg15170605,0.515789,TSS200,cg15170605,0.243897,TSS200,2
ADHFE1,cg01588438,0.525348,TSS200,cg09383816,0.307724,TSS200,3
ARHGDIB,cg08251901,0.367434,TSS1500,cg08251901,0.324358,TSS1500,2
BOLL,cg13356896,0.412031,TSS200,cg24589459,0.296851,TSS1500,2
C4orf39,cg12861945,0.393963,TSS200,cg12861945,0.329719,TSS200,3
CD96,cg05655806,0.387013,TSS200,cg04039397,0.265298,TSS200,2
CHRNA6,cg06523556,-0.320406,TSS200,cg06523556,-0.232255,TSS200,3
CLDN10,cg16232183,0.318245,TSS200,cg06428163,0.286633,TSS200,2
CNR1,cg14186641,0.508649,TSS1500,cg14186641,0.330345,TSS1500,3
COL23A1,cg10730712,0.373727,TSS1500,cg25437410,0.252138,TSS200,3
CSPP1,cg07896832,-0.310948,TSS1500,cg07896832,-0.33847,TSS1500,2
DDX25,cg23727983,0.320124,TSS200,cg23727983,0.234554,TSS200,3
DLX5,cg19962750,0.380188,TSS1500,cg10243939,0.253603,TSS1500,1
EVX1,cg27100227,0.405969,TSS1500,cg27100227,0.340353,TSS1500,1
FAM159A,cg11279444,0.385328,TSS200,cg11279444,0.240068,TSS200,3
FGF12,cg08002883,0.484957,TSS1500,cg23207710,0.259892,TSS200,3
FNDC1,cg09107912,0.406124,TSS1500,cg09107912,0.254106,TSS1500,3
GALR1,cg10486998,0.340936,TSS1500,cg06562865,0.223514,TSS1500,2
GDNF,cg21319053,0.340969,TSS1500,cg18121355,0.240205,TSS1500,3
GREB1,cg02584498,-0.326457,TSS200,cg02584498,-0.289347,TSS200,3
GREM1,cg03884132,0.352584,TSS1500,cg18145505,0.377632,TSS1500,3
HOXA5,cg19643053,0.384208,TSS1500,cg19643053,0.245714,TSS1500,1
HOXD10,cg10364040,0.348189,TSS1500,cg13217260,0.255662,TSS200,1
HOXD13,cg07802350,0.326175,TSS1500,cg07802350,0.254203,TSS1500,1
HOXD8,cg18448949,0.342928,TSS1500,cg18448949,0.245371,TSS1500,1
HOXD9,cg09578028,0.37868,TSS200,cg09968620,0.239183,TSS200,1
IKZF1,cg07589773,0.513666,TSS1500,cg18607529,0.350527,TSS1500,1
IMMP2L,cg21342392,-0.336445,TSS1500,cg21342392,-0.291716,TSS1500,3
INA,cg24680586,0.372169,TSS200,cg23003534,0.236149,TSS200,2
KCNK12,cg04431946,0.492807,TSS200,cg04431946,0.235877,TSS200,3
KCNN2,cg16430072,0.424209,TSS1500,cg16430072,0.329128,TSS1500,3
LRRC4,cg07871590,0.466277,TSS200,cg07871590,0.366619,TSS200,3
MIR129-2,cg14416371,0.496045,TSS200,cg15556502,0.224298,TSS200,3
MYOM1,cg10677144,0.337647,TSS200,cg19876649,0.237739,TSS200,2
NPBWR1,cg15531403,0.383122,TSS1500,cg16330450,0.26233,TSS1500,2
NPY,cg00355281,0.477628,TSS200,cg16964348,0.263299,TSS200,3
PIK3R5,cg26239391,0.433603,TSS1500,cg26239391,0.257034,TSS1500,2
PIWIL1,cg16244664,-0.310851,TSS1500,cg24229701,-0.232316,TSS1500,3
PRDM2,cg00922376,0.356511,TSS200,cg00922376,0.26404,TSS200,1
RAB5A,cg15227848,-0.361626,TSS1500,cg15227848,-0.259383,TSS1500,2
REC8,cg16425038,0.314533,TSS200,cg16425038,0.237444,TSS200,3
RIMS2,cg20129213,0.436394,TSS1500,cg01566592,0.229256,TSS200,3
SALL1,cg05151154,0.391502,TSS1500,cg00124695,0.282815,TSS1500,1
SALL3,cg13634602,0.363598,TSS1500,cg16433156,0.25295,TSS200,1
SERPINB5,cg19022006,-0.33356,TSS200,cg19022006,-0.269755,TSS200,2
SH3D19,cg14270293,0.409414,TSS1500,cg14270293,0.32541,TSS1500,2
SLCO4C1,cg04621020,0.373832,TSS200,cg04621020,0.334368,TSS200,3
SLFN13,cg02380585,0.35768,TSS1500,cg02380585,0.232774,TSS1500,2
SMAD9,cg01034396,0.349873,TSS1500,cg01034396,0.225092,TSS1500,1
ST8SIA1,cg17079833,0.433474,TSS200,cg21521683,0.282042,TSS200,3
ST8SIA5,cg09275869,0.4407,TSS200,cg09275869,0.315726,TSS200,3
TBX18,cg04515996,0.337546,TSS200,cg04515996,0.281241,TSS200,1
TUBB6,cg03507241,0.328086,TSS1500,cg16546503,0.229627,TSS1500,2
WSB1,cg02789515,-0.391313,TSS1500,cg23536675,-0.268107,TSS1500,2
ZIK1,cg18579862,0.383385,TSS200,cg18579862,0.263925,TSS200,1
ZNF132,cg07878486,0.364369,TSS1500,cg12042659,0.230533,TSS200,1
ZNF154,cg12506930,0.45961,TSS200,cg03234186,0.305859,TSS200,1
ZNF529,cg02587316,0.421893,TSS200,cg05020604,0.388788,TSS200,1
ZNF542,cg26309134,0.467587,TSS200,cg26309134,0.285709,TSS200,1
ZNF582,cg20984085,0.481092,TSS200,cg20984085,0.342295,TSS200,1
ZNF626,cg01808171,0.425442,TSS200,cg01808171,0.264823,TSS200,1
ZNF793,cg14732998,0.355619,TSS200,cg24588375,0.248084,TSS200,1
ZNF829,cg20154403,0.363187,TSS1500,cg20154403,0.226897,TSS1500,1
