Feature,Cluster
ABL1,2
ACOT11,1
ACOT7,2
ACTN2,2
ACVR1,2
ADAM19,2
ADAMTS12,2
ADAMTS16,1
ADAMTS20,1
ADCYAP1,2
ADCYAP1R1,2
ADORA2B,2
ADORA3,1
AHNAK,2
AHRR,0
AIM2,2
AJAP1,2
ALX3,0
ANGPTL2,2
APCS,2
ASPG,2
ATP4A,1
ATXN1,2
BCAS3,2
BCAT1,1
BDNF,2
BMP7,2
BNC1,-1
BVES,2
C1QL1,2
C4BPA,2
CA3,2
CACNA1A,2
CACNA1B,2
CACNA1C,2
CACNA1E,1
CACNA1I,2
CADM3,2
CAPZB,2
CARTPT,2
CAV2,2
CCDC8,-1
CCND2,2
CD1B,2
CD1C,2
CD1D,2
CD247,2
CD38,2
CD40,2
CDH23,2
CDH4,2
CDH5,2
CDK2AP1,2
CDK6,2
CDO1,1
CFTR,2
CHRNA4,2
CHST2,1
CIT,2
CLDN10,2
CLDN5,2
CLDN6,2
CLEC14A,2
CMKLR1,2
CNGA3,2
COL11A1,2
COL11A2,2
COL5A2,2
CPEB1,2
CPXM1,1
CREB3L2,0
CRHBP,2
CRMP1,2
CRTC1,2
CRYM,2
CSMD1,-1
CSMD3,-1
CUX1,0
CYP1B1,2
CYP26A1,1
CYTL1,-1
CYYR1,2
DAB2,2
DDR2,2
DGKI,2
DLEU7,2
DLK1,2
DNM3,2
DOCK2,2
DPYS,2
DPYSL2,2
DSC3,2
EBF1,0
EEF1A2,2
EFEMP1,2
ENPP2,2
EOMES,0
EPHA1,2
EPHB1,2
ESRRG,0
EVX1,0
EZR,2
F7,2
FAIM2,-1
FAT4,2
FBXO39,-1
FCGRT,2
FCRL3,2
FES,2
FEZF2,-1
FGF18,2
FGF8,2
FLG,2
FLI1,0
FLRT2,2
FLT4,2
FMN2,2
FMNL2,2
FOXA2,0
FOXD3,0
FOXE1,0
FOXG1,0
FOXQ1,0
FRZB,2
GALNT6,2
GALNT7,2
GALR1,2
GALR3,1
GAS1,-1
GCK,2
GCM2,0
GHSR,1
GLI2,0
GNG4,2
GRIA1,2
GRIA4,1
GRIN1,2
GRM1,2
GRM6,2
GSTA4,2
HAPLN4,1
HCK,2
HOPX,2
HOXA1,0
HOXA10,0
HOXA4,0
HOXA9,0
HOXC4,0
HOXD10,0
HOXD11,0
HOXD8,0
HOXD9,0
HS3ST2,1
ID4,2
IGF1,2
IGF2BP1,2
IGFBP4,2
INA,2
IRF4,0
IRX1,0
ITGAM,2
ITIH5,1
ITPKA,2
KCNE3,2
KCNIP4,2
KCNK9,1
KCNQ1DN,2
KIF5C,2
L1TD1,2
LAMA4,2
LEMD2,-1
LEP,2
LEPR,2
LHX1,0
LHX2,0
LHX6,0
LILRA2,2
LIMD2,2
LNX1,2
LOXL1,2
LOXL2,2
LPAR5,2
LTBP2,2
MAGI2,2
MAML3,2
MAP3K11,2
MAST1,2
MGAT5B,2
MIR124-2,1
MIR129-2,1
MIR196A1,-1
MMP9,2
MPZ,2
MSC,0
MYF6,0
MYH11,2
MYT1,-1
MYT1L,-1
NBEAL2,2
NCOR2,2
NDRG2,2
NEFM,2
NES,2
NEUROD1,0
NFIL3,0
NID2,2
NKAPL,2
NKX2-1,0
NKX2-2,0
NKX2-8,0
NKX6-2,0
NLRP3,2
NOTCH3,2
NOX4,2
NPTX2,2
NPY,2
NR1H3,0
NR1I2,0
NR5A2,0
NT5E,2
NTM,-1
ONECUT2,0
OPCML,-1
OTX1,0
OTX2,0
PACS2,2
PAX2,0
PAX3,0
PAX5,0
PAX6,0
PAX9,0
PBX1,0
PCDH17,2
PCDH8,2
PDE4B,2
PDE4C,1
PDLIM2,2
PDLIM3,2
PDPN,2
PDX1,0
PENK,2
