Feature,Cluster
ABL1,3
ACOT11,3
ACOT7,3
ACTN2,3
ACVR1,3
ADAM19,3
ADAMTS12,3
ADAMTS16,3
ADAMTS20,3
ADCYAP1,3
ADCYAP1R1,3
ADORA2B,3
ADORA3,3
AHNAK,3
AHRR,1
AIM2,3
AJAP1,3
ALX3,0
ANGPTL2,3
APCS,3
ASPG,3
ATP4A,3
ATXN1,3
BCAS3,3
BCAT1,3
BDNF,3
BMP7,3
BNC1,0
BVES,3
C1QL1,3
C4BPA,3
CA3,3
CACNA1A,3
CACNA1B,3
CACNA1C,3
CACNA1E,3
CACNA1I,3
CADM3,3
CAPZB,3
CARTPT,3
CAV2,3
CCDC8,2
CCND2,3
CD1B,3
CD1C,3
CD1D,3
CD247,3
CD38,3
CD40,3
CDH23,3
CDH4,3
CDH5,3
CDK2AP1,3
CDK6,3
CDO1,3
CFTR,3
CHRNA4,3
CHST2,3
CIT,3
CLDN10,3
CLDN5,3
CLDN6,3
CLEC14A,3
CMKLR1,3
CNGA3,3
COL11A1,3
COL11A2,3
COL5A2,3
CPEB1,3
CPXM1,3
CREB3L2,0
CRHBP,3
CRMP1,3
CRTC1,3
CRYM,3
CSMD1,2
CSMD3,3
CUX1,0
CYP1B1,3
CYP26A1,3
CYTL1,2
CYYR1,3
DAB2,3
DDR2,3
DGKI,3
DLEU7,3
DLK1,3
DNM3,3
DOCK2,3
DPYS,3
DPYSL2,3
DSC3,3
EBF1,1
EEF1A2,3
EFEMP1,3
ENPP2,3
EOMES,0
EPHA1,3
EPHB1,3
ESRRG,1
EVX1,0
EZR,3
F7,3
FAIM2,2
FAT4,3
FBXO39,2
FCGRT,3
FCRL3,3
FES,3
FEZF2,0
FGF18,3
FGF8,3
FLG,3
FLI1,1
FLRT2,3
FLT4,3
FMN2,3
FMNL2,3
FOXA2,0
FOXD3,1
FOXE1,1
FOXG1,1
FOXQ1,0
FRZB,3
GALNT6,3
GALNT7,3
GALR1,3
GALR3,3
GAS1,2
GCK,3
GCM2,1
GHSR,3
GLI2,1
GNG4,3
GRIA1,3
GRIA4,3
GRIN1,3
GRM1,3
GRM6,3
GSTA4,3
HAPLN4,3
HCK,3
HOPX,3
HOXA1,1
